N	4gram	Losev_Dial_4	KulturaY
1	т д и т	2	2
2	д и т д	2	2
3	и т д и	3	2
4	для того чтобы дать	1	2
5	в то же время	6	2
6	только для того чтобы	1	1
7	не может уже быть	1	1
8	как это делается в	1	1
9	поскольку речь идет о	1	1
10	заключается не в том	1	1
11	ни то ни другое	1	1
12	и в то же	2	1
13	не что иное как	8	1
14	и т д все	2	1
15	и т д это	1	1
16	в том случае если	1	1
17	что с точки зрения	1	1
18	в этом смысле есть	1	1
19	с этой точки зрения	2	1
20	не в том что	4	1
21	с точки зрения законов	1	1
22	т д все это	1	1
23	о том как должно	1	1
24	вовсе не в том	2	1
25	и с этой точки	1	1
