1	в то же время	3	5
2	и в то же	1	3
3	в связи с этим	1	3
4	в том смысле что	3	2
5	и то и другое	1	2
6	сам по себе а	1	2
7	все более и более	1	1
8	то же и в	1	1
9	есть не что иное	2	1
10	во что бы то	1	1
11	и до сих пор	1	1
12	все новые и новые	1	1
13	не говоря уже о	2	1
14	что бы то ни	1	1
15	в самом деле с	1	1
16	не в том что	1	1
17	не что иное как	3	1
18	с самого начала что	1	1
19	же в таком случае	1	1
20	не выходя за пределы	2	1
21	бы то ни стало	1	1
22	быть во что бы	1	1
23	иметь в виду что	2	1
