N	3gram	Berdyaev_O_1	VrazhdaK
1	и все же	1	5
2	он не только	1	2
3	не может быть	2	2
4	в том что	1	2
5	самим собой в	1	1
6	н к михайловского	1	1
7	в самом достоевском	1	1
8	что это за	1	1
9	к михайловского жестокий	1	1
10	не было такой	1	1
11	достоевский прежде всего	2	1
12	и не может	1	1
13	преступлении и наказании	3	1
14	он и не	1	1
15	к творчеству достоевского	1	1
16	в этом отношении	1	1
17	в этот период	1	1
18	в преступлении и	3	1
19	и то что	1	1
20	записках из подполья	3	1
21	о том как	1	1
22	но он подошел	1	1
23	преступления и наказания	1	1
24	и в этом	2	1
25	то что достоевский	1	1
26	прежде всего художник	1	1
27	во всяком случае	1	1
28	что у него	2	1
29	о достоевском и	1	1
30	как бы в	1	1
31	записки из подполья	1	1
32	преступление и наказание	1	1
33	у него в	5	1
34	о том что	1	1
35	и никогда не	2	1
36	и в самом	1	1
37	из мертвого дома	2	1
38	на то что	1	1
39	записки из мертвого	2	1
40	из подполья но	1	1
41	и все что	1	1
