N	3gram	Bakhtin_KF_1	PoTuStor
1	с точки зрения	9	6
2	на самом деле	3	4
3	в чем не	4	3
4	в этом смысле	3	3
5	во всяком случае	1	3
6	не может быть	11	3
7	и пр и	1	3
8	ни в чем	4	3
9	в большинстве случаев	1	3
10	и может быть	2	2
11	связанных с ними	1	2
12	в его целом	10	2
13	но отнюдь не	1	2
14	в конечном счете	1	2
15	и только для	1	2
16	и в этом	3	2
17	во всех его	1	2
18	форму и содержание	1	1
19	сводится к следующему	1	1
20	со всем его	1	1
21	и того же	1	1
22	и на своем	1	1
23	и связанных с	1	1
24	биологический и психологический	1	1
25	то что я	2	1
26	своем месте и	1	1
27	его жизни в	1	1
28	зависит от того	1	1
29	уже не может	2	1
30	дело в том	1	1
31	в нем и	3	1
32	имеем в виду	2	1
33	он может быть	2	1
34	одного и того	1	1
35	то же самое	1	1
36	ориентируется в нем	1	1
37	конечно не может	1	1
38	бы то ни	2	1
39	не может иметь	1	1
40	и та же	1	1
41	как это было	1	1
42	свой смысл и	1	1
43	и говорить о	1	1
44	она может быть	1	1
45	со всех сторон	1	1
46	может быть только	7	1
47	вместе с тем	1	1
48	вытекает из предшествующего	1	1
49	том что мы	1	1
50	то ни было	2	1
51	на своем месте	2	1
52	что может быть	1	1
53	все что есть	1	1
54	и теряет свою	1	1
55	ничего общего не	2	1
56	в себя и	1	1
57	не имеет места	1	1
58	с ним и	1	1
59	моей жизни и	1	1
60	в этот момент	1	1
61	бы оно ни	1	1
62	в единую ткань	1	1
63	в том что	2	1
64	оно ни было	1	1
65	и ни в	2	1
66	мы не можем	1	1
67	одна и та	1	1
68	он не дает	1	1
69	изнутри ее самой	1	1
70	на этом пути	1	1
71	в том смысле	1	1
72	в него т.е	1	1
73	быть не может	1	1
74	для того чтобы	1	1
75	и входит в	1	1
76	той или иной	2	1
