N	2gram	Vinokur_Ku_2	UchenyiS
1	и в	23	14
2	а не	10	10
3	не только	20	10
4	прежде всего	8	8
5	и не	16	8
6	не может	9	7
7	вот почему	3	7
8	в этом	18	7
9	то что	9	7
10	может быть	15	6
11	в искусстве	1	6
12	то же	6	5
13	и только	1	5
14	все это	5	5
15	хотя бы	9	5
16	перестает быть	1	5
17	с другой	8	4
18	но и	7	4
19	что такое	3	4
20	в их	2	4
21	в конечном	2	4
22	конечном счете	2	4
23	в этой	6	4
24	конечно не	2	4
25	то ни	1	3
26	вряд ли	4	3
27	и то	5	3
28	это не	6	3
29	было бы	15	3
30	как и	2	3
31	для этого	3	3
32	в частности	2	3
33	в своей	2	3
34	бы то	1	3
35	очевидно что	2	3
36	к сожалению	1	3
37	этой области	4	3
38	в то	4	3
39	все же	7	3
40	но в	11	3
41	не следует	5	3
42	же время	3	3
43	в области	11	3
44	у нас	12	3
45	другой стороны	7	3
46	для него	1	3
47	не как	2	3
48	ни было	1	3
49	как такового	1	3
50	что все	5	2
51	крайней мере	6	2
52	и с	7	2
53	до сих	1	2
54	а как	1	2
55	самом деле	9	2
56	в буквальном	2	2
57	пишет он	2	2
58	противном случае	1	2
59	должна быть	5	2
60	превращается в	2	2
61	мы не	1	2
62	не приходится	1	2
63	если бы	12	2
64	что мы	6	2
65	ничего не	4	2
66	если не	1	2
67	том что	11	2
68	материал для	2	2
69	сводится к	3	2
70	но даже	2	2
71	мы и	1	2
72	этого термина	2	2
73	меньшей степени	3	2
74	в широком	2	2
75	нас в	1	2
76	но конечно	1	2
77	с его	1	2
78	но не	6	2
79	не все	3	2
80	в его	5	2
81	по крайней	6	2
82	по существу	5	2
83	что и	3	2
84	по себе	10	2
85	приемов и	2	2
86	более чем	1	2
87	конце концов	3	2
88	сих пор	1	2
89	но это	3	2
90	этом смысле	5	2
91	в противном	1	2
92	могли бы	2	2
93	в том	19	2
94	тех или	1	2
95	с проблемой	1	2
96	и для	2	2
97	что он	5	2
98	в себе	1	2
99	в самом	12	2
100	к голому	1	2
101	между тем	6	2
102	и у	2	2
103	только в	5	2
104	мы получаем	1	2
105	не в	8	2
106	вопроса о	6	2
107	как принцип	1	2
108	все они	2	2
109	не есть	1	2
110	этом отношении	3	2
111	или иных	1	2
112	фактов и	1	2
113	его и	1	2
114	бы и	4	2
115	всех этих	3	2
116	сколько угодно	1	2
117	не могут	5	2
118	могут быть	4	2
119	в конце	4	2
120	смысле этого	2	2
121	не случайно	1	2
122	как раз	3	2
123	тем что	3	2
124	что она	3	2
125	таким образом	5	2
126	даже и	2	2
127	и это	3	1
128	в последние	1	1
129	и своеобразным	1	1
130	единицы и	1	1
131	литературы а	1	1
132	об этом	5	1
133	же как	2	1
134	связанных с	1	1
135	в виду	3	1
136	сам по	1	1
137	первую очередь	1	1
138	данном случае	2	1
139	или иначе	3	1
140	в период	1	1
141	сюда же	2	1
142	есть язык	1	1
143	но нам	1	1
144	и прежде	1	1
145	наука о	1	1
146	или меньшей	3	1
147	самыми разнообразными	1	1
148	установка на	2	1
149	в пределах	4	1
150	это для	1	1
151	и др	1	1
152	еще одно	3	1
153	свое место	2	1
154	сам автор	1	1
155	что для	2	1
156	слова а	1	1
157	объясняется и	1	1
158	никогда не	2	1
159	этот и	1	1
160	явления стиля	1	1
161	так и	4	1
162	по его	1	1
163	одной стороны	1	1
164	той же	2	1
165	бы послужить	1	1
166	достоевского и	2	1
167	в сфере	3	1
168	относится к	1	1
169	этого не	3	1
170	отсюда и	2	1
171	до конца	3	1
172	у других	1	1
173	с тем	2	1
174	мы имеем	5	1
175	место и	1	1
176	к вопросам	1	1
177	убедительно в	1	1
178	и вне	1	1
179	именно этот	2	1
180	и даже	2	1
181	должно быть	4	1
182	споров о	1	1
183	и слово	1	1
184	можно сказать	4	1
185	пройти мимо	1	1
186	вообще во	1	1
187	все элементы	1	1
188	один пример	1	1
189	этой же	1	1
190	тех кто	1	1
191	как на	1	1
192	приводит к	5	1
193	о том	1	1
194	в ней	3	1
195	и потому	2	1
196	в котором	1	1
197	только для	2	1
198	нужно будет	1	1
199	и что	8	1
200	к простому	1	1
201	он был	1	1
202	и содержание	1	1
203	все его	1	1
204	и революция	2	1
205	из которых	3	1
206	в значительной	1	1
207	признать что	1	1
208	как таковая	1	1
209	слово как	1	1
210	в той	2	1
211	словами как	1	1
212	пишет в	1	1
213	он может	1	1
214	отказ от	2	1
215	в данном	4	1
216	учителя и	1	1
217	этих слов	1	1
218	что же	5	1
219	не то	2	1
220	бы в	1	1
221	переходит в	1	1
222	того что	3	1
223	стихи маяковского	1	1
224	в которых	2	1
225	поскольку он	1	1
226	не без	1	1
227	речи в	6	1
228	их в	1	1
229	нового в	1	1
230	тому чтобы	1	1
231	что этот	1	1
232	нет и	1	1
233	язык в	2	1
234	к проблеме	1	1
235	формы как	1	1
236	на то	4	1
237	быть не	2	1
238	определяется не	1	1
239	л толстой	1	1
240	свое оправдание	1	1
241	и вся	1	1
242	еще один	1	1
243	пишут и	1	1
244	отнюдь не	4	1
245	она не	2	1
246	толстого и	1	1
247	еще раз	1	1
248	этом случае	2	1
249	то содержание	1	1
250	независимо от	1	1
251	явно недостаточно	1	1
252	как элементы	1	1
253	большей или	3	1
254	в своем	2	1
255	она сводится	1	1
256	но для	3	1
257	в большей	3	1
258	которой и	1	1
259	эмоциональную и	1	1
260	и все	2	1
261	обе эти	1	1
262	того как	2	1
263	что только	1	1
264	тот же	5	1
265	которое мы	1	1
266	всего лишь	3	1
267	он уже	2	1
268	по мнению	1	1
269	в которой	1	1
270	о котором	2	1
271	быть материалом	1	1
272	не было	4	1
273	так или	2	1
274	довести до	1	1
275	тогда когда	1	1
276	с одной	2	1
277	в качестве	8	1
278	тем более	1	1
279	случае он	1	1
280	в известном	1	1
281	что по	1	1
282	бы только	1	1
283	же остается	1	1
284	буквальном смысле	1	1
285	уже не	8	1
286	далеко не	1	1
287	тут мы	1	1
288	но также	4	1
289	то и	3	1
290	наша задача	1	1
291	же в	3	1
292	в процессе	3	1
293	в виде	1	1
294	языковых фактов	1	1
295	широком смысле	4	1
296	в нем	4	1
297	связанные с	2	1
298	или даже	1	1
299	он не	3	1
300	сказать что	4	1
301	от вопроса	1	1
302	только как	2	1
303	именно такой	1	1
304	они в	1	1
305	очень часто	2	1
306	одно из	1	1
307	в первую	1	1
308	не значит	1	1
309	себе известное	1	1
310	он и	2	1
