N	2gram	Vinokur_Vv_1	Otkroven
1	о человеке	1	29
2	у него	1	22
3	человеческой природы	1	20
4	и в	27	19
5	но и	5	13
6	и не	13	13
7	в этом	34	12
8	не в	8	11
9	не только	21	11
10	может быть	24	11
11	а не	3	11
12	человека и	1	10
13	вопрос о	8	10
14	в нем	13	10
15	и все	1	10
16	в самой	1	9
17	прежде всего	8	9
18	к человеку	1	9
19	не было	1	9
20	никогда не	3	9
21	потому что	14	9
22	он был	1	8
23	в его	10	7
24	в глубине	1	7
25	лишь в	1	7
26	до конца	3	7
27	ни с	2	7
28	но он	1	7
29	человеческой личности	1	6
30	как и	5	6
31	все это	6	6
32	отношение к	3	5
33	в том	31	5
34	в самом	12	5
35	в этой	3	5
36	человеке и	1	5
37	для него	1	5
38	в россии	1	5
39	него в	2	5
40	а в	5	5
41	то что	17	5
42	он сам	3	4
43	все в	1	4
44	все эти	3	4
45	что не	5	4
46	не может	13	4
47	т е	38	4
48	того чтобы	21	4
49	есть лишь	2	4
50	и его	5	4
51	что в	11	4
52	и есть	3	3
53	достоевского в	1	3
54	различие между	1	3
55	о том	15	3
56	еще не	4	3
57	к нему	2	3
58	было бы	5	3
59	того что	12	3
60	что он	4	3
61	и ее	4	3
62	в себе	4	3
63	о природе	7	3
64	человеческого духа	1	3
65	и вот	3	3
66	не могут	5	3
67	для того	21	3
68	это было	1	3
69	это не	8	3
70	чем на	1	3
71	мысли и	2	3
72	могут быть	4	3
73	как бы	5	3
74	с ним	1	3
75	и от	1	3
76	в этих	3	3
77	хотя бы	5	3
78	в своих	2	3
79	все что	1	3
80	и с	2	2
81	из всего	1	2
82	и то	5	2
83	в ее	11	2
84	что у	1	2
85	так и	1	2
86	и о	1	2
87	по себе	9	2
88	с разных	1	2
89	быть человек	1	2
90	и на	3	2
91	природы и	1	2
92	совсем не	3	2
93	что и	3	2
94	в истории	9	2
95	как к	1	2
96	в своем	3	2
97	все же	8	2
98	и к	1	2
99	в этот	2	2
100	должен был	4	2
101	и этим	1	2
102	в которой	1	2
103	в уста	1	2
