N	3gram	Berdyaev_M_1	Analitik
1	не может быть	17	16
2	в том что	1	9
3	в отличие от	1	6
4	что иное как	1	5
5	по отношению к	2	5
6	и не может	2	4
7	не что иное	1	4
8	о том что	1	3
9	а не в	4	3
10	и т п	1	3
11	для того чтобы	2	3
12	не в том	1	3
13	лишь в том	1	3
14	нет и не	1	2
15	в самом деле	1	2
16	но и в	4	2
17	не могут быть	2	2
18	по природе своей	1	2
19	в области литературной	1	1
20	ни с какой	1	1
21	а вовсе не	1	1
22	как бы не	1	1
23	имеем в виду	1	1
24	выходит за пределы	1	1
25	а не к	1	1
26	до сих пор	2	1
27	том случае если	1	1
28	в зависимости от	1	1
29	и быть может	1	1
30	в том случае	1	1
31	и та же	1	1
32	между тем как	1	1
33	они приходят к	1	1
34	вместе с тем	5	1
35	быть может наиболее	1	1
36	не только в	2	1
37	в себе в	1	1
38	как будто бы	2	1
39	если в основе	1	1
40	так и не	1	1
41	несет в себе	1	1
42	прежде всего в	2	1
43	во всяком случае	1	1
44	одна и та	1	1
45	принадлежит к тем	1	1
46	он обращен к	1	1
47	но не может	1	1
48	и вместе с	4	1
49	и в самом	3	1
50	мы имеем в	1	1
51	или лучше сказать	1	1
52	себя в них	1	1
53	в этом все	1	1
54	не так как	1	1
