N	3gram	Bakhtin_Fr_1	VelikijI
1	то что мы	1	3
2	а между тем	1	2
3	но и в	2	2
4	том что он	1	2
5	в нем нет	1	2
6	в вопросе о	1	2
7	в том что	6	2
8	но прежде всего	1	1
9	но все же	2	1
10	для него не	1	1
11	в ней и	1	1
12	находится в состоянии	1	1
13	самой жизни в	1	1
14	но от этого	1	1
15	человека в его	1	1
16	его связь с	2	1
17	в xx веке	1	1
18	в известном смысле	1	1
19	не могут быть	1	1
20	с другой стороны	1	1
21	как бы в	1	1
22	так и в	2	1
23	есть еще и	1	1
24	жизни в этом	1	1
25	мы видим что	1	1
26	и в духе	1	1
27	в духе его	1	1
28	во всех формах	1	1
