N	4gram	Vinokur_Ku_1	Psycholo
1	о том что он	1	2
2	сводится к тому что	1	2
3	заключается в том что	2	2
4	и в самом деле	2	2
5	смысле этого слова и	1	2
6	т д все это	1	1
7	в том что он	3	1
8	и с точки зрения	1	1
9	а с другой стороны	2	1
10	чтобы ответить на этот	1	1
11	прав когда указывает на	1	1
12	когда речь идет о	1	1
13	и то обстоятельство что	1	1
14	точно так же как	1	1
15	вовсе не то что	1	1
16	свидетельствуют о том что	1	1
17	ни в какой мере	1	1
18	не что иное как	1	1
19	и т д все	1	1
20	и вместе с тем	1	1
21	с этой точки зрения	1	1
22	можно было бы сказать	1	1
23	в то же время	2	1
24	только для того чтобы	1	1
25	ответить на этот вопрос	1	1
