N	3gram	Nazirov_Tv_2	Vvedenie
1	и т д	11	36
2	в том что	2	12
3	о том что	2	12
4	не может быть	3	8
5	до сих пор	3	6
6	в самом деле	2	6
7	в применении к	1	6
8	то же время	7	6
9	в то же	7	6
10	и т п	2	5
11	с другой стороны	2	5
12	по отношению к	3	4
13	можно было бы	1	4
14	на этот вопрос	2	4
15	по крайней мере	2	4
16	и в этом	1	4
17	во всяком случае	2	4
18	именно в этом	2	3
19	но в то	1	3
20	в известном смысле	1	3
21	и в том	1	3
22	в другом месте	1	2
23	в чем же	1	2
24	дело в том	1	2
25	не может служить	1	2
26	в соответствии с	4	2
27	влечет за собой	2	2
28	как будто бы	1	2
29	по самой своей	2	2
30	что в нем	1	2
31	точно так же	1	2
32	в известной мере	2	2
33	в начале xix	1	2
34	в первом из	1	2
35	не могут быть	1	2
36	в связи с	1	2
37	т д все	1	2
38	в целом ряде	1	2
39	ответ на этот	1	2
40	это еще не	1	2
41	может быть в	1	2
42	т д в	1	2
43	той или иной	1	2
44	по себе не	1	1
45	мы говорим о	1	1
46	только потому что	1	1
47	как уже говорилось	1	1
48	потому что в	1	1
49	в том же	2	1
50	может быть назван	1	1
51	в стороне все	1	1
52	то или иное	1	1
53	в таком случае	2	1
54	нет сомнений что	2	1
55	в отличие от	2	1
56	и в дальнейшем	1	1
57	только то что	1	1
58	но ведь в	1	1
59	больших романов достоевского	1	1
60	человека в его	1	1
61	д все это	1	1
62	не то что	1	1
63	это не просто	1	1
64	так же как	2	1
65	ни та ни	1	1
66	же ясно что	1	1
67	и потому что	1	1
68	но уже в	1	1
69	та ни другая	1	1
70	потому что они	1	1
71	в частности в	1	1
72	в свою очередь	1	1
73	того или иного	1	1
74	не только с	1	1
75	и никогда не	1	1
76	с самого начала	1	1
77	нужно сказать что	1	1
78	и прежде всего	1	1
79	самое же существенное	1	1
80	именно потому что	1	1
81	т д и	1	1
82	в каждом из	1	1
83	не значит что	1	1
84	в предисловии к	1	1
85	все это делает	1	1
86	соответствии с этим	1	1
87	вывода к которому	1	1
88	не теряет от	1	1
