N	3gram	Losev_Dial_4	Russkaja
1	то же время	6	10
2	в то же	6	10
3	с точки зрения	9	9
4	в том что	9	7
5	для того чтобы	5	6
6	на то что	3	4
7	в том случае	1	4
8	не может быть	6	4
9	не может не	1	3
10	в этом случае	1	3
11	в лучшем случае	1	3
12	том случае если	1	3
13	и не может	1	3
14	и то что	1	3
15	в данном случае	1	3
16	в конце концов	1	3
17	той или иной	1	3
18	точно так же	2	2
19	в себе и	1	2
20	из которых каждый	1	2
21	и вместе с	1	2
22	лишь в том	1	2
23	о том что	1	2
24	и не будет	1	2
25	ни одна из	1	2
26	друг от друга	1	2
27	сама по себе	5	2
28	даже тогда когда	1	1
29	из всего этого	1	1
30	в силу этого	1	1
31	заключается не в	1	1
32	прежде всего в	1	1
33	дело в том	1	1
34	в свою очередь	2	1
35	на том же	1	1
36	точки зрения в	1	1
37	он не может	1	1
38	и не только	1	1
39	что с точки	1	1
40	и то и	1	1
41	чем больше в	1	1
42	это значило бы	1	1
43	но для этого	1	1
44	совершенно ясно что	1	1
45	именно так как	1	1
46	перед нами не	1	1
47	и на нем	1	1
48	по крайней мере	7	1
49	то и другое	2	1
50	только для того	1	1
51	что оно будет	1	1
52	есть то что	5	1
53	он всегда будет	1	1
54	говорить не о	1	1
55	не есть только	1	1
56	и в частности	2	1
57	но в то	2	1
58	сделать это она	1	1
59	и в этом	3	1
60	того что не	1	1
61	и как бы	1	1
62	в связи с	1	1
63	также и то	1	1
64	что же будет	1	1
65	они оказались бы	1	1
66	что он есть	4	1
67	того и другого	1	1
68	что оно есть	2	1
69	от того что	2	1
70	его жизни и	1	1
71	есть по существу	1	1
72	тех или иных	1	1
73	это и есть	4	1
74	и ни один	1	1
75	в себе черты	1	1
76	как бы ни	1	1
77	вопрос о том	1	1
78	он еще не	1	1
79	речь идет о	1	1
80	но все же	1	1
81	это она может	1	1
82	совершенно очевидно что	1	1
83	мы не знаем	1	1
84	прежде всего с	1	1
85	как же может	1	1
86	тем не менее	2	1
87	и прежде всего	1	1
88	которую можно назвать	1	1
