N	3gram	Tiupa_Narr_1	Russkaja
1	друг с другом	1	14
2	то же время	4	10
3	в то же	4	10
4	с точки зрения	1	9
5	в том что	5	7
6	на самом деле	1	6
7	во всяком случае	2	6
8	для того чтобы	3	6
9	до сих пор	2	5
10	в последние дни	1	5
11	более или менее	1	4
12	на то что	2	4
13	бы то ни	1	4
14	в том случае	1	4
15	не может быть	4	4
16	том случае если	1	3
17	и не может	1	3
18	и то что	1	3
19	в данном случае	8	3
20	той или иной	4	3
21	точно так же	1	2
22	все что может	1	2
23	лишь в том	1	2
24	о том что	2	2
25	и тем самым	4	2
26	ни одна из	1	2
27	друг от друга	1	2
28	к тому что	1	2
29	этом и состоит	3	1
30	и того же	1	1
31	что вся эта	1	1
32	никогда не было	1	1
33	и в жизни	1	1
34	но и от	2	1
35	состоит в том	2	1
36	то хотя бы	1	1
37	ему что он	1	1
38	дело в том	2	1
39	в свою очередь	2	1
40	по отношению к	3	1
41	в самом деле	2	1
42	в том числе	1	1
43	то же самое	2	1
44	точки зрения в	1	1
45	мы уже знаем	1	1
46	он не может	1	1
47	и не только	1	1
48	до известной степени	1	1
49	только то что	1	1
50	в этом отношении	3	1
51	что не только	1	1
52	в его жизни	1	1
53	том числе и	1	1
54	заключает в себе	2	1
55	перед нами не	2	1
56	по крайней мере	1	1
57	не подлежит сомнению	1	1
58	в значительной степени	1	1
59	то ни было	1	1
60	жизни но и	1	1
61	но при этом	1	1
62	и как бы	1	1
63	к одному из	1	1
64	в связи с	2	1
65	об этом и	1	1
66	и все же	2	1
67	его жизни и	1	1
68	в этом и	3	1
69	так как это	1	1
70	речь идет о	3	1
71	но все же	1	1
72	одного и того	1	1
73	мы не знаем	1	1
74	тем не менее	3	1
75	подлежит сомнению и	1	1
76	к тому же	5	1
77	не только от	2	1
