N	4gram	Tiupa_Disk_1	Literetu
1	в то же время	3	9
2	состоит в том что	1	3
3	одно и то же	1	2
4	не говоря уже о	2	2
5	мы имеем дело с	1	1
6	же самое можно сказать	1	1
7	с одной стороны и	2	1
8	в чем и состоит	1	1
9	можно сказать и о	1	1
10	и т.п такого рода	1	1
11	едва ли не наиболее	1	1
12	и не может быть	1	1
13	гегель именовал веком героев	1	1
14	самое можно сказать и	1	1
15	по крайней мере двух	1	1
16	состоит в том чтобы	1	1
17	то же самое можно	1	1
18	при таком взгляде на	1	1
19	не может быть ни	1	1
20	в начале х годов	1	1
21	в том числе и	2	1
22	и в то же	1	1
23	первого и второго лица	1	1
24	в принципе не может	1	1
25	нет и не может	1	1
26	в том что в	2	1
27	одной стороны и к	1	1
