N	3gram	Potebnia_M_1	Problema
1	о том что	1	14
2	тем не менее	6	12
3	в таком случае	2	10
4	во всяком случае	1	10
5	то что мы	1	7
6	по крайней мере	2	6
7	и т д	4	6
8	в этом смысле	4	5
9	с одной стороны	3	5
10	в связи с	1	5
11	с другой стороны	5	5
12	в языке и	1	4
13	более или менее	1	4
14	только в том	6	4
15	до сих пор	1	4
16	говоря уже о	1	4
17	на то что	1	4
18	в то же	3	4
19	сама по себе	3	4
20	в том что	13	4
21	не говоря уже	1	4
22	что иное как	2	3
23	одной стороны и	1	3
24	если бы не	2	3
25	но и в	4	3
26	только то что	1	3
27	точно так же	1	3
28	и в этом	6	3
29	или по крайней	1	3
30	не может быть	9	3
31	это значит что	1	3
32	не что иное	2	3
33	только тогда когда	4	3
34	не во всех	1	2
35	имея в виду	1	2
36	и той же	3	2
37	на самом деле	1	2
38	всяком случае не	1	2
39	так что в	2	2
40	с самого начала	3	2
41	сами по себе	1	2
42	бы то ни	2	2
43	в данное время	1	2
44	можно было бы	1	2
45	может быть только	1	2
46	еще не есть	1	2
47	для того чтобы	2	2
48	не только в	3	2
49	само по себе	4	2
50	по себе и	1	2
51	уже с самого	2	2
52	то есть только	1	2
53	не совпадает с	1	2
54	того или другого	1	2
55	одной и той	3	2
56	заключается в том	1	2
57	то есть если	2	2
58	и независимо от	1	2
59	не только не	2	2
60	вопрос о том	1	2
61	подобно тому как	3	2
62	друг от друга	2	2
63	каждая из этих	1	1
64	таким образом что	2	1
65	на том что	1	1
66	что в истории	1	1
67	только потому что	2	1
68	того что в	1	1
69	то ни стало	1	1
70	во всех проявлениях	1	1
71	это было бы	1	1
72	возможно только в	1	1
73	но то что	1	1
74	членораздельных звуков которые	1	1
75	то есть по	1	1
76	и всякая наука	1	1
77	а в том	3	1
78	в языке есть	3	1
79	в живой речи	1	1
80	потому что не	4	1
81	во что бы	1	1
82	и не только	1	1
83	видно что в	1	1
84	вообще может быть	1	1
85	в речи и	1	1
86	сказать несколько слов	1	1
87	между тем как	1	1
88	а так как	3	1
89	в этом отношении	1	1
90	то что в	1	1
91	что не только	2	1
92	в собственном смысле	1	1
93	что в нем	1	1
94	но это не	1	1
95	собственно говоря только	1	1
96	только при помощи	1	1
97	тогда когда есть	1	1
98	и притом если	1	1
99	то и другое	2	1
100	бы даже и	1	1
101	что язык не	1	1
102	и в этих	1	1
103	случае то есть	1	1
104	о значении слова	1	1
105	что бы то	1	1
106	этого видно что	1	1
107	так же как	1	1
108	мы можем даже	1	1
109	в одно время	1	1
110	в этих словах	1	1
111	можем ли мы	1	1
112	но всегда в	1	1
113	то ни было	1	1
114	что у нас	1	1
115	и в отношении	1	1
116	и многое другое	1	1
117	ли в этом	1	1
118	то тем самым	1	1
119	уже о том	1	1
120	ни стало свести	1	1
121	все более и	2	1
122	в языке именно	1	1
123	с такой точки	1	1
124	наука о языке	1	1
125	есть только в	1	1
126	то что на	1	1
127	потому что мы	2	1
128	должны сказать что	1	1
129	до такой степени	1	1
130	хотя бы даже	2	1
131	оно не имеет	1	1
132	для нас в	1	1
133	это должно быть	1	1
134	совмещает в себе	1	1
135	что в языке	2	1
136	не есть нечто	1	1
137	значения то есть	1	1
138	то не только	1	1
139	но тем не	3	1
140	мы не можем	1	1
141	не получает от	1	1
142	от того что	1	1
143	не потому что	1	1
144	для нас не	1	1
145	в то время	1	1
146	так и в	3	1
147	ничего общего между	1	1
148	и тем самым	1	1
149	не существует и	1	1
150	и тем более	1	1
151	более и более	2	1
152	не менее в	1	1
153	но все же	1	1
154	не менее он	1	1
155	языка язык это	1	1
156	в каждом из	1	1
157	нужно было бы	1	1
158	мы в то	1	1
159	так что для	1	1
160	весь язык как	1	1
161	не впасть в	1	1
162	но в них	1	1
163	которая хотя и	1	1
164	такой точки зрения	1	1
165	со стороны их	1	1
