N	4gram	Vygotskiy__7	Vvedenie
1	в той мере в	2	5
2	той мере в какой	2	5
3	не что иное как	1	4
4	с одной стороны и	3	3
5	состоит в том что	3	2
6	есть не что иное	1	2
7	одной и той же	2	2
8	сомнений в том что	1	2
9	заключается в том что	4	2
10	для того чтобы понять	1	2
11	потому что в этом	1	1
12	по отношению к отдельным	1	1
13	представляет собой движение от	1	1
14	в лучшем случае она	1	1
15	именно в этом смысле	1	1
16	о чем говорится в	3	1
17	до тех пор пока	1	1
18	того что представляет собой	1	1
19	точно так же как	2	1
20	в гораздо большей мере	1	1
21	все же в них	1	1
22	одно и то же	3	1
23	не может быть никакой	1	1
24	прийти к выводу что	1	1
25	только после того как	1	1
26	то же самое что	2	1
27	собственном смысле этого слова	3	1
28	в том что если	1	1
29	находящим свое выражение в	1	1
30	но вместе с тем	1	1
31	ясность в этот вопрос	1	1
32	с этой точки зрения	4	1
33	приводят к тому что	1	1
34	возможно только потому что	1	1
35	одном и том же	1	1
36	для того чтобы сделать	2	1
37	в собственном смысле этого	3	1
38	представление о том что	2	1
