N	3gram	Tiupa_Lite_1	formyVre
1	с точки зрения	2	8
2	в связи с	4	7
3	не только в	4	5
4	в том же	3	4
5	то же время	5	4
6	в то же	5	4
7	к себе самому	1	3
8	в том числе	1	3
9	и в этом	1	3
10	и прежде всего	3	3
11	в большинстве случаев	1	3
12	в том что	11	3
13	в другом месте	1	2
14	прежде всего в	3	2
15	до сих пор	1	2
16	все же в	2	2
17	в этом отношении	2	2
18	тем более что	1	2
19	жизни но и	1	1
20	во время чумы	1	1
21	и того же	1	1
22	а отнюдь не	1	1
23	на самом деле	1	1
24	как и во	1	1
25	том что он	1	1
26	и не только	1	1
27	только в том	2	1
28	тот или иной	1	1
29	в отличие от	5	1
30	между тем как	1	1
31	по аналогии с	3	1
32	себе самому и	1	1
33	он не мог	1	1
34	с этой точки	3	1
35	в xviii веке	1	1
36	не переставая быть	1	1
37	в данном случае	4	1
38	с одной стороны	2	1
39	человека и общества	1	1
40	на первый взгляд	1	1
41	в себя и	1	1
42	а также и	1	1
43	но при этом	2	1
44	все более и	1	1
45	к прошлому и	1	1
46	но только в	1	1
47	с другой стороны	1	1
48	не может быть	1	1
49	бы не было	1	1
50	именно в том	1	1
51	но в то	1	1
52	этой точки зрения	3	1
53	в свою очередь	1	1
54	о том что	2	1
55	с самого начала	1	1
56	более и более	1	1
57	себя в них	1	1
58	но все же	1	1
59	не выходит за	1	1
60	одного и того	1	1
61	в основе этой	1	1
62	все что ему	1	1
63	тем более не	1	1
64	иной раз и	1	1
65	на одном из	1	1
