N	3gram	Losev_Prob_5	VLabPisa
1	и т д	1	15
2	в этом отношении	1	13
3	с другой стороны	5	8
4	не может быть	2	8
5	по этому поводу	2	7
6	по отношению к	2	7
7	в то же	1	5
8	то же время	1	5
9	можно сказать что	3	4
10	в связи с	7	4
11	в том что	8	4
12	равно как и	2	4
13	это и есть	1	3
14	о том что	9	3
15	о том как	1	3
16	не удивительно что	1	3
17	в значительной мере	2	3
18	хотя бы в	1	3
19	вместе с тем	3	3
20	же говорит и	1	3
21	с одной стороны	3	2
22	таким образом даже	1	2
23	в том числе	2	2
24	также и в	2	2
25	одному тому что	1	2
26	от того что	1	2
27	в конце концов	6	2
28	в результате чего	2	2
29	вот что пишет	1	2
30	до сих пор	2	2
31	этой точки зрения	1	2
32	можно было бы	1	2
33	уже по одному	1	2
34	в силу чего	1	2
35	говорить не о	1	2
36	чуть ли не	1	2
37	по одному тому	1	2
38	для того чтобы	2	2
39	том числе и	1	2
40	во всяком случае	2	2
41	по крайней мере	4	2
42	том что и	1	1
43	не чем иным	2	1
44	том смысле что	1	1
45	в таком случае	2	1
46	в этом смысле	3	1
47	так или иначе	1	1
48	чтобы покончить с	1	1
49	вопрос о том	1	1
50	человека вообще и	1	1
51	в новое время	3	1
52	области художественного творчества	1	1
53	художественного творчества и	1	1
54	мы встречаемся с	1	1
55	но в то	1	1
56	в виду не	1	1
57	но даже и	2	1
58	и никогда не	2	1
59	в силу того	1	1
60	и вместе с	1	1
61	об этом же	1	1
62	к тому же	1	1
63	уже о том	1	1
64	в результате этого	1	1
65	бросается в глаза	1	1
66	как это мы	1	1
67	сама по себе	1	1
68	в то время	3	1
69	другой стороны он	1	1
70	дошедших до нас	1	1
71	он говорит как	1	1
72	чем иным как	2	1
73	в том смысле	1	1
74	не только в	1	1
75	как будто бы	3	1
76	далеко не всегда	3	1
77	то или иное	1	1
78	творчества таким образом	1	1
79	той или иной	1	1
80	в области художественного	1	1
81	говоря уже о	1	1
82	при всем своем	2	1
83	по его мнению	1	1
84	никак не могут	2	1
85	человека а не	1	1
86	в самом деле	1	1
87	после того как	3	1
88	только тогда когда	3	1
89	по аналогии с	1	1
90	ни в какой	1	1
91	все же не	3	1
92	что об этом	1	1
93	но и в	2	1
94	не говоря уже	1	1
95	то время как	3	1
96	тогда когда все	1	1
97	ту или иную	1	1
98	таким образом уже	1	1
99	в данном случае	2	1
100	художественное творчество как	1	1
101	этого типа мы	1	1
102	с этой точки	1	1
103	хотя и не	1	1
