N	2gram	Medvedev_V_1	EvropaiE
1	и в	26	37
2	в пределах	5	25
3	точки зрения	3	23
4	что в	10	21
5	не только	25	18
6	в то	6	16
7	то же	10	15
8	хотя бы	19	15
9	в своем	8	14
10	но в	2	14
11	же время	5	14
12	в качестве	11	14
13	но и	10	14
14	и не	19	14
15	в этом	26	12
16	в их	5	11
17	в области	2	11
18	в том	15	11
19	так и	5	10
20	отнюдь не	3	9
21	в себе	6	9
22	только в	7	9
23	прежде всего	13	9
24	не может	17	9
25	так же	3	9
26	т е	18	9
27	в ее	4	8
28	было бы	7	8
29	в своей	4	8
30	к тому	4	8
31	между тем	5	8
32	с одной	2	8
33	одной стороны	2	8
34	также и	2	7
35	а также	1	7
36	того что	3	7
37	с другой	11	7
38	как и	7	7
39	по своему	1	7
40	между прочим	2	7
41	может быть	22	6
42	во всех	6	6
43	стороны и	2	6
44	на то	1	6
45	то есть	1	6
46	том что	8	6
47	того чтобы	3	6
48	вслед за	2	6
49	вовсе не	3	6
50	для того	3	6
51	и даже	2	6
52	как бы	5	6
53	с этой	1	6
54	то что	6	6
55	же как	2	5
56	но не	2	5
57	не в	6	5
58	и по	3	5
59	как мы	1	5
60	одной из	1	5
61	в виде	1	5
62	в частности	11	5
63	и потому	2	5
64	в течение	2	5
65	в той	1	5
66	этой точки	2	5
67	то в	1	4
68	вопрос о	1	4
69	но даже	3	4
70	в ней	2	4
71	в самом	4	4
72	того или	2	4
73	несмотря на	1	4
74	лежат в	1	4
75	как совокупность	1	4
76	даже в	5	4
77	не имеет	1	4
78	в процессе	16	4
79	к ней	1	4
80	той или	1	4
81	по себе	2	4
82	можно сказать	4	4
83	именно в	2	4
84	или иной	2	4
85	мира в	1	4
86	как это	12	4
87	для нас	1	4
88	сказать что	5	4
89	или иного	1	4
90	в каком	1	4
91	в применении	1	3
92	в сфере	2	3
93	с более	2	3
94	бы и	6	3
95	в деле	1	3
96	на себя	1	3
97	в общем	2	3
98	как в	1	3
99	когда он	3	3
100	и к	3	3
101	или иную	1	3
102	всего лишь	3	3
103	в известном	1	3
104	но на	1	3
105	в определенном	1	3
106	не дает	1	3
107	этом смысле	1	3
108	в них	4	3
109	с тем	3	3
110	мы видели	3	3
111	и некоторые	1	3
112	в которых	3	3
113	можно ли	2	3
114	никогда не	4	3
115	потому что	1	3
116	заключает в	1	3
117	ли это	2	3
118	можно было	2	3
119	о том	10	3
120	как было	1	3
121	от них	2	3
122	что и	3	3
123	отметить что	2	3
124	в стороне	1	3
125	всяком случае	1	3
126	в данной	1	3
127	из них	9	3
128	ту или	1	3
129	очевидно что	7	3
130	себе в	1	3
131	в известной	1	3
132	к ним	1	3
133	тем что	1	3
134	этом отношении	13	3
135	в свою	1	3
136	говорит о	7	3
137	связано с	1	3
138	в данном	1	3
139	применении к	1	3
140	к настоящему	1	3
141	не является	5	3
142	и для	2	3
143	и от	3	3
144	в результате	5	3
145	мира и	3	3
146	на своем	1	3
147	ее в	4	3
148	как на	3	3
149	в таком	1	3
150	во всяком	1	3
151	данной области	1	2
152	и то	1	2
153	бы отчасти	1	2
154	что эти	1	2
155	и этот	2	2
156	что если	1	2
157	именно к	1	2
158	из того	1	2
159	меньшей степени	2	2
160	между собой	1	2
161	он сам	2	2
162	но как	3	2
163	в свои	1	2
164	в истории	1	2
165	более чем	1	2
166	с этим	3	2
167	хотя и	2	2
168	целый ряд	1	2
169	и как	3	2
170	в этой	4	2
171	этот процесс	2	2
172	и если	1	2
173	как оно	1	2
174	главным образом	7	2
175	он не	2	2
176	и еще	1	2
177	в силу	11	2
178	но было	1	2
179	таким образом	31	2
180	поскольку она	1	2
181	это значит	1	2
182	заключается в	2	2
183	с другими	2	2
184	например с	1	2
185	и творчества	1	2
186	для них	1	2
187	далеко не	2	2
188	в своих	2	2
189	духовной жизни	1	2
190	в этих	1	2
191	или точнее	1	2
192	в котором	3	2
193	одном из	3	2
194	она не	3	2
195	тогда когда	2	2
196	и имеет	1	2
197	на язык	2	2
198	как будто	1	2
199	что на	1	2
200	в порядке	5	2
201	не могут	7	2
202	могут быть	5	2
203	одну и	1	2
204	утверждать что	4	2
205	но по	1	2
206	как не	1	2
207	свою очередь	1	2
208	говоря уже	1	2
209	данном случае	1	2
210	на основе	5	2
211	и ту	1	2
212	по сравнению	1	2
213	если бы	3	2
214	и поэтому	1	2
215	и та	1	2
216	и что	1	2
217	кажется что	1	2
218	в значительной	3	2
219	и во	1	2
220	высокой и	1	2
221	в его	14	2
222	во всей	2	2
223	в сферу	1	2
224	но с	2	2
225	этот вопрос	3	2
226	в какой	1	2
227	есть в	1	2
228	если в	2	2
229	при помощи	3	2
230	и других	1	2
231	следует отметить	1	2
232	в одном	4	2
233	в существе	1	2
234	заметить что	1	2
235	а именно	1	2
236	производства в	1	2
237	как же	1	2
238	на основании	8	2
239	на этот	1	2
240	а не	7	2
241	не означает	1	2
242	с а	1	2
243	что все	3	2
244	можно утверждать	3	2
245	начиная с	2	2
246	вместе с	7	2
247	относятся к	1	2
248	сравнению с	1	2
249	войны и	2	2
250	совершенно очевидно	1	2
251	происходит в	1	2
252	или в	3	2
253	и все	1	2
254	наблюдения над	1	2
255	бы в	3	2
256	еще более	1	2
257	стороны в	2	2
258	и наконец	2	2
259	исключительно в	1	2
260	же в	6	2
261	мы видим	1	2
262	а в	3	2
263	между ними	3	2
264	не говоря	1	2
265	другой стороны	8	2
266	частности в	2	2
267	жизни и	3	2
268	как известно	2	1
269	ту же	2	1
270	также что	2	1
271	и т	23	1
272	например в	3	1
273	связана с	2	1
274	исключительно к	1	1
275	получает в	2	1
276	некоторые из	3	1
277	и это	1	1
278	же по	1	1
279	указанных выше	1	1
280	речь идет	1	1
281	противном случае	2	1
282	отдельных элементов	2	1
283	и связанное	1	1
284	или ее	1	1
285	смотреть на	1	1
286	эту же	2	1
287	дает оснований	1	1
288	точнее и	1	1
289	или наоборот	1	1
290	неизбежно приводит	1	1
291	это что	1	1
292	ответить на	1	1
293	чтобы не	2	1
294	в основных	3	1
295	почти все	1	1
296	сводится именно	1	1
297	время как	1	1
298	говорить о	2	1
299	нельзя ограничиться	1	1
300	а для	2	1
301	мы получаем	1	1
302	которое не	1	1
303	то это	2	1
304	не способен	1	1
305	в каждой	1	1
306	бы еще	2	1
307	быть в	1	1
308	что его	2	1
309	с его	3	1
310	видели что	3	1
311	любой области	1	1
312	это вопрос	1	1
313	значение и	1	1
314	силу этого	4	1
315	по отношению	7	1
316	протекать в	1	1
317	быть сведена	1	1
318	за пределы	1	1
319	к сожалению	2	1
320	относится к	2	1
321	которые не	1	1
322	интересно сопоставить	1	1
323	как этап	1	1
324	нужно признать	1	1
325	отдельные этапы	1	1
326	что нет	2	1
327	все же	5	1
328	в противном	2	1
329	кроме того	1	1
330	а блок	1	1
331	что по	1	1
332	не являются	1	1
333	говорит об	2	1
334	этого мира	1	1
335	более или	6	1
336	и детей	1	1
337	эти положения	2	1
338	таковы например	1	1
339	бы с	1	1
340	отличной от	1	1
