N	3gram	Potebnia_M_2	slovoVRo
1	и т п	3	33
2	не может быть	2	15
3	в отличие от	1	12
4	в этом случае	1	6
5	с одной стороны	3	5
6	в большинстве случаев	1	5
7	то же время	2	4
8	но все же	1	4
9	в то же	2	4
10	в том что	7	4
11	сама по себе	2	3
12	в собственном смысле	1	3
13	в нем в	1	3
14	так и в	2	3
15	одной стороны и	1	3
16	и связанные с	1	2
17	в свою очередь	6	2
18	более или менее	8	2
19	не только о	1	2
20	до сих пор	4	2
21	на каждом шагу	1	2
22	не могут быть	3	2
23	во всяком случае	7	2
24	в связи с	1	2
25	для того чтобы	2	2
26	и т д	3	2
27	не может ни	1	1
28	и может быть	2	1
29	не менее в	1	1
30	и не в	1	1
31	мы говорим о	1	1
32	имеет дело с	1	1
33	а не с	2	1
34	то есть не	3	1
35	далеко не все	1	1
36	и все остальные	2	1
37	бы она ни	1	1
38	том что он	1	1
39	том что оно	1	1
40	то есть к	1	1
41	то прежде всего	1	1
42	то есть именно	1	1
43	сами по себе	7	1
44	связанные с этим	2	1
45	как бы она	1	1
46	между тем как	2	1
47	и не может	1	1
48	можем сказать в	1	1
49	на то что	3	1
50	могли бы быть	1	1
51	со всех сторон	1	1
52	может быть только	1	1
53	их отношение к	1	1
54	может и не	1	1
55	чем перейти к	1	1
56	в применении к	1	1
57	в себе как	1	1
58	тогда когда это	1	1
59	есть не только	1	1
60	не для того	1	1
61	при этом и	1	1
62	с другой стороны	2	1
63	прежде чем перейти	1	1
64	мы видели что	1	1
65	тем не менее	5	1
66	о том что	1	1
67	а в том	1	1
68	во всех этих	1	1
69	друг к другу	1	1
70	себя и для	1	1
71	таким образом в	2	1
72	мы не можем	3	1
73	большей или меньшей	1	1
74	как и в	1	1
75	она ни была	1	1
76	как предмета в	1	1
77	выйти за пределы	1	1
78	мы можем сказать	1	1
79	не связано с	1	1
80	с самого начала	2	1
81	отличие от слова	1	1
82	нельзя себе представить	1	1
83	это как бы	1	1
84	мы не знаем	1	1
85	о которых мы	1	1
