N	3gram	Tiupa_Lite_2	slovoVRo
1	и т п	2	23
2	в то же	9	12
3	то же время	9	12
4	той или иной	1	9
5	с точки зрения	3	8
6	и в то	1	5
7	с одной стороны	6	4
8	с другой стороны	4	4
9	в данном случае	3	3
10	и в сущности	1	2
11	своего и чужого	1	2
12	к тому что	1	2
13	и не может	1	2
14	и то же	2	2
15	можно было бы	1	2
16	не могут быть	1	2
17	в этом случае	2	2
18	единым и единственным	1	2
19	в свою очередь	1	2
20	одно и то	2	2
21	о том что	2	1
22	и не было	1	1
23	в одном из	1	1
24	строит свое высказывание	1	1
25	бы то ни	1	1
26	и сам в	1	1
27	в сознании людей	1	1
28	слова так и	1	1
29	своих и чужих	1	1
30	не исключают друг	1	1
31	у него нет	1	1
32	себя в своей	1	1
33	тех или иных	1	1
34	исключают друг друга	1	1
35	для того чтобы	1	1
36	то ни было	1	1
37	же время он	1	1
38	но с другой	3	1
39	и прежде всего	1	1
40	в том что	5	1
41	не может быть	7	1
42	этой точки зрения	1	1
43	не только не	1	1
44	в отличие от	1	1
45	никогда не бывает	1	1
46	в этом отношении	3	1
47	себя в них	1	1
48	прежде всего в	1	1
49	как мы видели	1	1
50	в свое время	2	1
51	никто его не	1	1
52	в первый раз	2	1
53	во всех этих	1	1
54	то есть в	1	1
55	тем не менее	2	1
56	и некоторые другие	1	1
57	с этой точки	1	1
58	обстоит дело и	1	1
59	по крайней мере	2	1
