N	3gram	Potebnia_M_2	PoTuStor
1	на самом деле	2	4
2	с самого начала	2	4
3	в этом смысле	2	3
4	до сих пор	4	3
5	по крайней мере	5	3
6	по сравнению с	1	3
7	во всяком случае	7	3
8	не может быть	2	3
9	в большинстве случаев	1	3
10	и может быть	2	2
11	нам кажется что	2	2
12	друг на друга	1	2
13	на две группы	1	2
14	не могут быть	3	2
15	в переводе на	1	2
16	в сознание и	2	2
17	о том что	1	2
18	мы можем сказать	1	2
19	и в этом	1	2
20	если бы он	1	1
21	и того же	6	1
22	то что я	1	1
23	и связанные с	1	1
24	без всякого участия	1	1
25	прежде всего на	1	1
26	дело в том	1	1
27	подобно тому как	4	1
28	но даже и	1	1
29	должен искать в	1	1
30	одного и того	6	1
31	во многих случаях	1	1
32	что если б	1	1
33	с теми которые	1	1
34	ни в ком	1	1
35	бы то ни	1	1
36	и др и	1	1
37	в сознание или	1	1
38	со всех сторон	1	1
39	может быть только	1	1
40	с этой точки	1	1
41	вместе с тем	1	1
42	только для того	1	1
43	во время сна	1	1
44	то ни было	1	1
45	что есть в	1	1
46	с одной стороны	3	1
47	все что есть	1	1
48	в связи с	1	1
49	только в одном	1	1
50	в применении к	1	1
51	не имеет места	1	1
52	мы считаем нужным	1	1
53	только как часть	1	1
54	в том что	7	1
55	на вопрос о	1	1
56	мы не можем	3	1
57	так и в	2	1
58	который до сих	1	1
59	рождается вместе с	1	1
60	мы знаем что	1	1
61	есть прежде всего	2	1
62	в том смысле	4	1
63	если б не	2	1
64	для того чтобы	2	1
65	в душе человека	1	1
66	обратим внимание на	1	1
