N	4gram	Trubetskoy_1	Problemy
1	в то же время	10	12
2	но на самом деле	1	4
3	бы то ни было	1	4
4	но в то же	1	3
5	несмотря на то что	1	1
6	одного и того же	1	1
7	именно с точки зрения	1	1
8	и во всяком случае	1	1
9	и прежде всего в	1	1
10	во всяком случае не	1	1
11	и вместе с тем	2	1
12	тем что он на	1	1
13	ни того ни другого	1	1
14	для него прежде всего	1	1
15	он на самом деле	1	1
16	том и в другом	2	1
17	и в том и	2	1
18	с самим собой не	1	1
19	в том и в	2	1
20	что он на самом	1	1
21	с самим собой и	1	1
