N	2gram	Voloshinov_1	BTomashe
1	у нас	4	3
2	и не	14	2
3	в ней	8	2
4	можно было	4	2
5	все это	4	2
6	не то	1	2
7	говорить о	1	1
8	по отдельным	1	1
9	с другой	1	1
10	вопрос о	2	1
11	является только	1	1
12	совершенно не	3	1
13	как всякий	1	1
14	в своей	2	1
15	остановиться на	1	1
16	художественного произведения	1	1
17	по крайней	1	1
18	без понимания	1	1
19	между ними	3	1
20	и о	1	1
21	в области	5	1
22	из имеющихся	1	1
23	своей же	1	1
24	было говорить	1	1
25	и в	38	1
26	будто бы	1	1
27	выпадает из	1	1
28	так и	6	1
29	как часть	1	1
30	за пределы	1	1
31	крайней мере	1	1
32	не о	1	1
33	установка на	1	1
34	также что	1	1
35	об этом	3	1
36	короче говоря	3	1
37	и нет	2	1
38	не было	2	1
39	и во	1	1
40	кроме того	2	1
41	было бы	7	1
42	отнюдь не	10	1
43	о художественной	1	1
44	одной из	2	1
45	бы только	1	1
46	и потому	2	1
47	нет но	1	1
48	в значительной	2	1
49	никак не	1	1
50	все же	7	1
51	его не	2	1
52	о них	1	1
53	забывать что	2	1
54	говорить не	1	1
55	прежде всего	21	1
56	творчества и	1	1
57	что в	1	1
58	таким образом	7	1
59	всего в	3	1
60	а о	1	1
61	еще не	3	1
62	как будто	1	1
63	в речи	1	1
64	интонации от	1	1
65	не только	27	1
66	и на	6	1
67	еще лучше	1	1
68	на самом	3	1
69	другой стороны	1	1
70	из ее	1	1
71	значительной степени	2	1
72	тем более	1	1
73	а не	6	1
