N	3gram	Voloshinov_1	Komedia
1	до сих пор	3	9
2	в том что	4	9
3	в самом деле	1	6
4	в свою очередь	1	6
5	в то же	1	4
6	о том что	1	4
7	то же время	1	4
8	с самого начала	1	4
9	к тому же	1	4
10	по отношению к	11	3
11	с точки зрения	2	3
12	во всяком случае	1	3
13	с одной стороны	2	3
14	тем не менее	3	3
15	то же самое	2	3
16	бы то ни	3	2
17	в этом отношении	1	2
18	то время как	1	2
19	то ни было	3	2
20	с другой стороны	2	2
21	в то время	1	2
22	в конечном счете	1	2
23	но все же	1	2
24	и тому же	1	1
25	более или менее	1	1
26	равно как и	1	1
27	имеем в виду	2	1
28	подобно тому как	1	1
29	одной стороны и	2	1
30	приходится признать что	1	1
31	в зависимости от	2	1
32	в руках у	1	1
33	отнюдь не является	1	1
34	и не требует	1	1
35	и не может	3	1
36	может быть только	1	1
37	по крайней мере	1	1
38	и в частности	1	1
39	того чтобы не	1	1
40	в настоящее время	2	1
41	далеко не всегда	1	1
42	едва ли кто-нибудь	1	1
43	зависимости от того	1	1
44	таким образом для	1	1
45	это не так	2	1
46	к нему в	1	1
47	этой точки зрения	3	1
48	сих пор не	1	1
49	можно сказать что	5	1
50	ничего общего с	1	1
51	в основе своей	1	1
52	мы имеем в	1	1
53	в ней как	2	1
54	если бы не	1	1
55	в отношении к	2	1
56	одно из его	1	1
57	и в этом	1	1
58	но если бы	1	1
59	выходят за пределы	2	1
60	одному и тому	1	1
61	в том же	1	1
