N	3gram	Bakhtin_sl_1	Tragedij
1	то же время	12	5
2	в то же	12	5
3	так и в	3	3
4	в отличие от	1	2
5	отцы и дети	1	2
6	и в частности	1	2
7	в данном случае	3	2
8	но в то	4	2
9	о том что	1	2
10	в том что	1	2
11	в этом случае	2	1
12	а между тем	2	1
13	не только по	1	1
14	в известной степени	2	1
15	и что же?	1	1
16	же время он	1	1
17	слова в виде	1	1
18	у него нет	1	1
19	и не может	2	1
20	в своей книге	1	1
21	хотя бы и	3	1
22	но и на	1	1
23	и т п	23	1
24	и в истории	1	1
25	может быть не	1	1
26	но у него	1	1
27	в виду не	1	1
28	и потому как	1	1
29	во всяком случае	5	1
30	обстоит дело с	1	1
31	и в этом	2	1
32	тем не менее	1	1
33	не могут быть	2	1
34	не может быть	1	1
35	у него есть	1	1
36	в одном из	1	1
37	с самого начала	1	1
38	не только не	1	1
39	могут быть отнесены	1	1
40	до xx века	1	1
41	быть отнесены к	1	1
42	к тому что	2	1
43	друг друга и	1	1
44	как и в	1	1
