N	4gram	Tiupa_Hudo_2	Analitik
1	в то же время	4	6
2	мы имеем дело с	1	3
3	состоит в том что	2	3
4	в другом найдя другого	1	2
5	другом найдя другого в	1	2
6	найти себя в другом	1	2
7	найдя другого в себе	1	2
8	себя в другом найдя	1	2
9	должен найти себя в	1	1
10	только в том что	2	1
11	обойтись без другого не	1	1
12	и дело не только	1	1
13	в себе во взаимоотражении	1	1
14	не могу обойтись без	1	1
15	лишь по отношению к	1	1
16	другого не могу стать	1	1
17	самим собою без другого	1	1
18	в том случае если	1	1
19	я должен найти себя	1	1
20	во взаимоотражении во взаимоприятии	1	1
21	дело не только в	2	1
22	стать самим собою без	1	1
23	представляет собой один из	1	1
24	себе во взаимоотражении во	1	1
25	другого в себе во	1	1
26	личности я не могу	1	1
27	не могу стать самим	1	1
28	без другого не могу	1	1
29	в том числе и	1	1
30	другого я должен найти	1	1
31	не только в том	2	1
32	вновь как и в	1	1
33	так и не наступает	1	1
34	собою без другого я	1	1
35	могу обойтись без другого	1	1
36	без другого я должен	1	1
37	лишь в том случае	1	1
38	я не могу обойтись	1	1
39	могу стать самим собою	1	1
