N	2gram	Medvedev_F_2	VerxiiNi
1	и в	38	26
2	таким образом	20	22
3	с тем	11	18
4	в этом	27	15
5	вместе с	6	15
6	точки зрения	8	13
7	как бы	4	12
8	в том	11	11
9	из этих	3	10
10	не только	9	10
11	и с	9	10
12	может быть	23	10
13	связи с	13	9
14	в области	3	9
15	так как	4	9
16	но и	13	9
17	что в	7	9
18	но не	2	8
19	в общем	5	8
20	главным образом	3	8
21	с другой	3	8
22	и не	20	8
23	как на	1	8
24	но в	4	7
25	связанные с	1	7
26	но все	3	7
27	из них	4	7
28	том что	2	7
29	потому что	2	7
30	в эпоху	2	7
31	к нему	3	7
32	с одной	1	7
33	то что	6	7
34	одной стороны	1	7
35	того же	1	6
36	представление о	2	6
37	все же	8	6
38	все эти	6	6
39	в себе	1	6
40	всяком случае	5	6
41	с точки	7	6
42	к тому	4	6
43	так и	8	6
44	о том	1	6
45	в конце	2	6
46	что и	8	6
47	несмотря на	1	6
48	все это	3	6
49	мы должны	1	6
50	во всяком	5	6
51	отношение к	2	5
52	сих пор	1	5
53	и к	4	5
54	лишь в	7	5
55	или менее	1	5
56	по крайней	1	5
57	не имеет	2	5
58	того чтобы	3	5
59	никогда не	2	5
60	для того	3	5
61	образом в	1	5
62	в его	10	5
63	богов и	1	5
64	крайней мере	1	5
65	до сих	1	5
66	а не	6	5
67	и для	5	5
68	так же	1	5
69	одной из	1	5
70	более или	1	5
71	в котором	2	4
72	то же	6	4
73	целый ряд	1	4
74	в самом	16	4
75	в этой	6	4
76	и по	2	4
77	с другими	10	4
78	должен был	2	4
79	он не	6	4
80	далеко не	1	4
81	в то	5	4
82	в нем	13	4
83	а в	6	4
84	что оно	4	4
85	и только	5	4
86	только в	6	4
87	на этот	1	4
88	ничем не	2	4
89	не может	14	4
90	в смысле	1	4
91	и от	2	4
92	в этих	2	4
93	что он	5	4
94	в виде	1	4
95	же как	3	3
96	не вполне	1	3
97	если в	3	3
98	к сожалению	2	3
99	в своем	1	3
100	и нет	1	3
101	и как	3	3
102	за собой	1	3
103	в которой	2	3
104	что это	3	3
105	так или	1	3
106	при этом	9	3
107	подойти к	2	3
108	и при	1	3
109	тем не	1	3
110	если бы	5	3
111	не менее	1	3
112	как о	4	3
113	в других	7	3
114	и о	2	3
115	по учению	4	3
116	в народных	1	3
117	уже с	1	3
118	с самого	2	3
119	ясно что	1	3
120	можно сказать	1	3
121	в значительной	3	3
122	того что	3	3
123	хотя бы	6	3
124	в качестве	2	3
125	так что	1	3
126	уже не	7	3
127	связывается с	1	3
128	для него	7	3
129	к ним	1	3
130	и даже	4	3
131	или иначе	1	3
132	в связи	10	3
133	а так	1	3
134	в результате	6	3
135	конце концов	2	3
136	и другие	2	3
137	к этому	4	3
138	в таком	2	3
139	одним из	1	2
140	связана с	1	2
141	и это	2	2
142	и больше	1	2
143	всегда на	1	2
144	его не	2	2
145	мы имеем	1	2
146	надо было	1	2
147	так чтобы	1	2
148	и заставляет	1	2
149	и на	3	2
150	бы то	1	2
151	с его	11	2
152	во всех	5	2
153	различия между	1	2
154	силы и	1	2
155	оно является	1	2
156	или иное	1	2
157	общего с	1	2
158	что именно	2	2
159	и наконец	4	2
160	и материальной	1	2
161	он в	2	2
162	на то	1	2
163	не могла	1	2
164	они в	1	2
165	не к	2	2
166	не как	4	2
167	именно из	2	2
168	и связанные	1	2
169	из него	2	2
170	его от	4	2
171	состоит в	2	2
172	то ни	2	2
173	те же	1	2
174	в них	1	2
175	творца и	1	2
176	русской почве	1	2
177	мы видели	4	2
178	но если	1	2
179	что о	2	2
180	которые в	1	2
181	не в	15	2
182	в россии	1	2
183	как от	1	2
184	иной раз	1	2
