1	в то же время	3	5
2	в большей или меньшей	3	2
3	одном и том же	1	2
4	большей или меньшей степени	3	2
5	но с другой стороны	1	1
6	и т п все	1	1
7	в том случае если	2	1
8	приводит к тому что	1	1
9	ответ на этот вопрос	1	1
10	не говоря уже о	2	1
11	только в том что	1	1
12	только в том случае	1	1
13	которое не было бы	1	1
14	хотя бы и в	1	1
15	в то время как	1	1
16	основанием для того чтобы	1	1
17	как бы сами по	1	1
18	с этой точки зрения	2	1
19	в том или ином	1	1
20	бы сами по себе	1	1
21	в одном и том	1	1
22	примеров можно было бы	1	1
23	говоря уже о том	1	1
24	уже о том что	1	1
25	иметь в виду что	1	1
26	для того чтобы понять	1	1
27	дело не в том	1	1
