N	3gram	Bakhtin_fo_2	Literetu
1	в том что	3	11
2	в отличие от	1	5
3	то же время	4	5
4	в то же	4	5
5	в данном случае	1	4
6	не только в	5	4
7	в связи с	7	4
8	прежде всего в	2	3
9	по аналогии с	1	3
10	с этой точки	1	3
11	этой точки зрения	1	3
12	и прежде всего	3	3
13	в том же	4	3
14	с точки зрения	8	2
15	только в том	1	2
16	в этом отношении	2	2
17	все же в	2	2
18	с одной стороны	1	2
19	но при этом	1	2
20	о том что	1	2
21	во время чумы	1	1
22	в другом месте	2	1
23	к себе самому	3	1
24	а отнюдь не	1	1
25	на самом деле	1	1
26	как и во	1	1
27	том что он	1	1
28	и не только	1	1
29	между тем как	1	1
30	тот или иной	1	1
31	он не мог	1	1
32	в xviii веке	1	1
33	не переставая быть	1	1
34	но в то	1	1
35	на первый взгляд	1	1
36	жизни но и	1	1
37	в себя и	1	1
38	а также и	1	1
39	и в этом	3	1
40	все более и	1	1
41	к прошлому и	1	1
42	но только в	1	1
43	с другой стороны	1	1
44	не может быть	1	1
45	именно в том	1	1
46	тем более не	1	1
47	все что ему	1	1
48	себе самому и	1	1
49	в свою очередь	1	1
50	и того же	1	1
51	до сих пор	2	1
52	с самого начала	1	1
53	более и более	1	1
54	себя в них	1	1
55	но все же	1	1
56	не выходит за	1	1
57	одного и того	1	1
58	тем более что	2	1
59	в большинстве случаев	3	1
60	в том числе	3	1
61	иной раз и	1	1
62	бы не было	1	1
63	человека и общества	1	1
64	в основе этой	1	1
65	на одном из	1	1
