N	2gram	Berdyaev_N_1	StatiiOP
1	и в	16	44
2	в том	8	36
3	что в	9	30
4	том что	2	29
5	в этом	7	21
6	то что	4	18
7	не только	5	18
8	а в	2	17
9	о том	4	17
10	было бы	1	17
11	и не	11	16
12	а не	17	16
13	может быть	7	15
14	в области	1	14
15	как в	3	13
16	можно было	2	13
17	не в	6	12
18	у нас	1	11
19	того чтобы	2	11
20	я думаю	1	11
21	в этой	1	11
22	но и	3	10
23	для того	1	10
24	только в	1	10
25	но в	2	10
26	что он	1	10
27	как и	7	9
28	в его	1	9
29	в то	2	9
30	с другой	3	9
31	так и	2	9
32	но также	1	9
33	не может	16	8
34	во всех	3	8
35	и его	1	8
36	это не	4	8
37	но ведь	1	8
38	из них	1	8
39	прежде всего	4	7
40	сих пор	1	7
41	до сих	1	7
42	в самом	1	7
43	в статье	1	7
44	сказать что	3	7
45	другой стороны	2	7
46	я не	2	7
47	во всяком	1	6
48	хотя бы	2	6
49	в своей	3	6
50	потому что	4	6
51	из этих	1	6
52	в той	1	6
53	всяком случае	1	6
54	но это	6	6
55	все эти	2	5
56	жизни и	8	5
57	так же	2	5
58	не менее	4	5
59	в нем	5	5
60	никогда не	6	5
61	и даже	2	5
62	тем что	1	5
63	думаю что	1	5
64	в котором	1	5
65	могут быть	2	5
66	такой же	2	5
67	все это	5	5
68	так как	1	5
69	что мы	1	5
70	того времени	1	5
71	в которой	1	4
72	вопрос о	3	4
73	не было	4	4
74	во времена	1	4
75	к которому	1	4
76	как это	2	4
77	но все	1	4
78	в ее	3	4
79	и очень	1	4
80	но если	1	4
81	в новом	2	4
82	не имеет	4	4
83	это и	2	4
84	времени не	1	4
85	и сейчас	1	4
86	и что	2	4
87	же и	1	4
88	но я	2	4
89	в основу	1	4
90	в россии	3	4
91	что она	2	4
92	как будто	2	4
93	не значит	3	3
94	еще не	3	3
95	должны быть	1	3
96	того же	1	3
97	и для	4	3
98	для себя	1	3
99	эпохи не	1	3
100	должна быть	3	3
101	что не	1	3
102	не по	1	3
103	в конце	1	3
104	не существует	3	3
105	а на	1	3
106	эпохи и	4	3
107	и с	2	3
108	с одной	2	3
109	но не	2	3
110	и только	1	3
111	ни в	6	3
112	и вполне	1	3
113	культуры в	5	3
114	лишь в	6	3
115	возможно что	1	3
116	в чем	1	3
117	своего рода	1	3
118	с этим	2	3
119	с окончанием	1	3
120	стремление к	2	3
121	в истории	3	3
122	то это	1	3
123	вопроса о	1	3
124	в основе	3	3
125	во время	1	3
126	не хочу	1	3
127	эпохи в	1	3
128	будто бы	1	3
129	же как	2	3
130	ведь и	2	3
131	говорит что	1	3
132	значит что	4	3
133	в ней	5	3
134	в каком	1	3
135	должен быть	5	3
136	а во	1	3
137	я уже	2	3
138	не могла	2	2
139	не знает	6	2
140	есть в	2	2
141	говорить о	1	2
142	но он	1	2
143	не всегда	1	2
144	что нет	1	2
145	от этого	1	2
146	время как	2	2
147	и все	4	2
148	не хочет	1	2
149	думать что	2	2
150	и их	1	2
151	числе и	1	2
152	в себе	2	2
153	к нему	1	2
154	и во	1	2
155	мы не	2	2
156	и научной	1	2
157	например во	1	2
158	совсем не	12	2
159	по своей	1	2
160	превращается в	1	2
161	свидетельствует о	1	2
162	должно было	2	2
163	в этих	1	2
164	за пределы	3	2
165	что этот	1	2
166	рода в	1	2
167	в сущности	1	2
168	можно назвать	2	2
169	и потому	4	2
170	в каком-то	1	2
171	такого рода	2	2
172	том смысле	1	2
173	перед собой	1	2
174	в эпоху	9	2
175	который не	1	2
176	и творчества	2	2
177	одной стороны	2	2
178	для этого	2	2
179	нет ни	1	2
180	у него	2	2
181	не для	1	2
182	она не	3	2
183	он не	8	2
184	их в	1	2
185	все в	1	2
186	том числе	1	2
187	в такой	1	2
188	то время	1	2
189	а также	1	2
190	по существу	2	2
191	и у	1	2
192	вообще не	1	2
193	право и	3	2
194	быть в	2	2
195	есть только	1	2
196	что все	2	2
197	и это	2	2
198	уже в	1	2
199	конечно не	3	2
200	гораздо больше	1	2
201	и более	1	2
202	но для	2	2
203	в своем	1	2
204	не означает	3	1
205	и из	1	1
206	в свои	2	1
207	ему не	1	1
208	и этот	1	1
209	лишь те	1	1
210	когда мы	2	1
211	истории как	1	1
212	еще до	2	1
213	должно стать	2	1
214	от всех	1	1
215	в период	1	1
216	всю жизнь	1	1
217	место в	2	1
218	что будет	1	1
219	которые могут	1	1
220	мы говорим	2	1
221	на человека	1	1
222	и начинается	2	1
223	начала xix	1	1
224	оно существует	1	1
225	не должно	1	1
226	как на	1	1
227	потребность в	1	1
228	это время	1	1
229	для них	1	1
230	на ее	1	1
231	нуждается в	1	1
232	том случае	1	1
233	отказаться от	1	1
234	значение для	1	1
235	это тем	1	1
236	же мере	1	1
237	быть признана	1	1
238	этой системе	1	1
239	и другая	1	1
240	говорим о	1	1
241	не были	1	1
242	которая должна	1	1
243	по себе	1	1
244	на нем	1	1
245	людовика xiv	1	1
246	они являются	1	1
247	это была	1	1
248	и стремится	1	1
249	с тем	3	1
250	наше время	4	1
251	нет никакого	1	1
252	нашего времени	2	1
253	явление в	1	1
254	себя на	1	1
255	том и	2	1
256	оно не	1	1
257	нужно быть	1	1
258	всего что	1	1
259	вместе с	2	1
260	этом смысле	2	1
261	на путь	1	1
262	быть не	1	1
263	будет в	1	1
264	сами по	1	1
265	смысле как	1	1
266	не имеют	2	1
267	и имеет	1	1
268	значительной степени	1	1
269	хотя и	2	1
270	культуры она	2	1
271	времени и	2	1
272	получает свое	1	1
273	не могут	1	1
274	на себя	1	1
275	ней нужно	1	1
276	до последних	1	1
277	можно сказать	1	1
278	к самой	2	1
279	и ему	1	1
280	они не	1	1
281	не хотел	1	1
282	нас к	1	1
283	ни одно	1	1
284	ренессанса и	1	1
285	что его	1	1
286	к тому	3	1
287	знаний о	1	1
288	в прошлом	3	1
289	что такое	3	1
290	не на	1	1
291	и от	2	1
292	и поставил	1	1
293	уже давно	1	1
294	зависимости от	1	1
295	господствующей в	1	1
296	связано с	1	1
297	не имел	1	1
298	мы в	1	1
299	характерны для	1	1
300	нет и	2	1
301	к ним	3	1
302	не столько	1	1
303	на них	1	1
304	уже не	2	1
305	россии в	1	1
306	французской революции	3	1
307	это было	3	1
308	как например	1	1
309	xix века	5	1
310	с их	2	1
311	а во-вторых	1	1
312	в наши	3	1
313	к вопросу	1	1
314	в них	4	1
315	и идейной	1	1
316	одна из	2	1
317	слова в	1	1
318	в зависимости	1	1
319	конечно есть	1	1
320	он в	1	1
321	от того	1	1
322	в одну	2	1
323	или нет	1	1
324	истории а	2	1
325	существует что	1	1
326	а по	1	1
327	и было	2	1
328	и на	2	1
329	какой-либо смысл	1	1
330	времени вот	1	1
331	и когда	1	1
332	ближе к	1	1
333	не могу	1	1
334	время когда	1	1
335	в это	1	1
336	времени в	2	1
337	обращение к	2	1
338	с его	6	1
339	и исключительно	1	1
340	в наше	3	1
341	в известном	1	1
342	которая в	1	1
343	во многом	1	1
344	только так	1	1
345	но нет	1	1
346	отнесены к	1	1
347	в духе	3	1
348	и до	1	1
349	себя в	2	1
350	и к	5	1
351	и есть	10	1
352	понять смысл	1	1
353	них нельзя	1	1
354	который в	2	1
355	же стороны	1	1
356	истории но	1	1
357	другой же	1	1
358	как я	1	1
359	не больше	1	1
360	протяжении всей	1	1
361	на протяжении	2	1
362	есть обязанность	1	1
363	николая i	1	1
364	не быть	1	1
365	обратиться к	1	1
366	есть такой	1	1
367	в виду	1	1
368	вероятно будут	1	1
369	еще в	1	1
370	то нужно	1	1
371	не верит	1	1
372	и общего	1	1
373	том чтобы	2	1
