N	4gram	Losev_Prob_3	Problema
1	бы то ни было	3	2
2	ни в чем не	2	2
3	и тем не менее	3	1
4	дело в том что	2	1
5	широком смысле слова и	1	1
6	что бы то ни	1	1
7	на самом же деле	4	1
8	бы то ни стало	1	1
9	таким образом и в	1	1
10	в то время как	4	1
11	на первый план в	1	1
12	на самом деле и	1	1
13	не что иное как	4	1
14	во что бы то	1	1
15	в том смысле что	3	1
16	не чем иным как	1	1
17	выходит и за пределы	1	1
18	при созерцании художественного произведения	1	1
19	есть не что иное	4	1
20	чего бы то ни	2	1
