N	3gram	Losev_Vesc_1	Vladivir
1	о том что	4	7
2	в том что	4	7
3	в свое время	2	5
4	дело в том	2	4
5	и то что	3	4
6	на то что	2	4
7	в то же	1	4
8	более или менее	1	3
9	в конце концов	2	3
10	и потому что	1	3
11	с другой стороны	2	3
12	не может быть	6	3
13	но даже и	2	2
14	как раз и	1	2
15	также и то	1	2
16	и в частности	1	2
17	то что у	2	2
18	в том чтобы	1	2
19	не только в	4	2
20	в то время	1	2
21	еще и потому	1	2
22	во всяком случае	2	2
23	мы уже сказали	1	2
24	что у него	1	2
25	можно сказать что	3	2
26	так что в	3	2
27	тем не менее	3	2
28	для того чтобы	2	2
29	что и в	1	2
30	и т д	19	2
31	но и все	1	1
32	что иное как	7	1
33	а не к	1	1
34	а следовательно и	1	1
35	да и в	1	1
36	да и то	1	1
37	того что в	1	1
38	мы имеем дело	2	1
39	и того что	1	1
40	в самом деле	4	1
41	и в особенности	1	1
42	свидетельствует о том	3	1
43	и что они	1	1
44	знает что в	1	1
45	самом же деле	1	1
46	для тех кто	1	1
47	и для всех	1	1
48	что в те	1	1
49	быть речи о	1	1
50	бы то ни	4	1
51	на самом же	1	1
52	только то что	2	1
53	что не только	1	1
54	может быть речи	1	1
55	что я хочу	3	1
56	вместе с тем	1	1
57	о чем не	1	1
58	одно и то	4	1
59	как раз в	1	1
60	то время как	1	1
61	содержит в себе	4	1
62	не потому что	4	1
63	то ни было	4	1
64	с одной стороны	3	1
65	и то же	4	1
66	не содержит в	1	1
67	и ни с	1	1
68	потому что она	1	1
69	и ничего не	1	1
70	так или иначе	4	1
71	тут же в	1	1
72	но только в	1	1
73	тех кто не	1	1
74	а в том	1	1
75	есть не что	5	1
76	вовсе не есть	6	1
77	заключается в том	1	1
78	даже и в	1	1
79	и что она	1	1
80	в свою очередь	4	1
81	это и есть	1	1
82	с тем что	1	1
83	но и для	1	1
84	не только не	2	1
85	с которой мы	1	1
86	в последние годы	2	1
87	но и здесь	1	1
88	даже больше того	4	1
89	к тому что	2	1
90	легко и быстро	1	1
91	и больше ничего	8	1
92	не что иное	7	1
93	в себе не	1	1
94	в этом отношении	1	1
