N	2gram	Tiupa_Anal_1	OGranits
1	и в	18	13
2	и его	5	12
3	прежде всего	6	9
4	может быть	29	8
5	не может	22	8
6	и не	21	8
7	и т.п	5	7
8	в его	13	7
9	точки зрения	6	7
10	эстетический объект	6	7
11	только в	6	6
12	как бы	5	6
13	не только	15	6
14	то что	6	6
15	мы должны	1	6
16	таким образом	3	6
17	художественного произведения	5	5
18	языка и	1	5
19	и т.д	1	5
20	все же	4	5
21	и наконец	1	5
22	с точки	4	5
23	в процессе	2	5
24	хотя бы	3	5
25	эстетического объекта	11	5
26	и эта	1	5
27	мы не	1	4
28	произведения как	7	4
29	но мы	1	4
30	слов и	1	4
31	тех пор	1	4
32	на фоне	2	4
33	но в	8	4
34	до тех	1	4
35	вопроса о	3	4
36	то же	9	4
37	лишь в	5	4
38	в сознании	2	4
39	в своей	6	4
40	было бы	2	4
41	в двух	2	4
42	не является	2	4
43	и то	2	3
44	в ее	1	3
45	самом деле	2	3
46	в пределах	2	3
47	так и	4	3
48	при анализе	1	3
49	в их	5	3
50	пор пока	1	3
51	по отношению	6	3
52	за пределы	2	3
53	в которой	2	3
54	в себе	11	3
55	языка как	1	3
56	не как	1	3
57	в одном	1	3
58	так как	2	3
59	одно и	1	3
60	здесь мы	1	3
61	материала и	1	3
62	но и	17	3
63	как и	13	3
64	и уже	1	3
65	точку зрения	1	3
66	что же	2	3
67	не в	14	3
68	да и	1	3
69	и для	1	3
70	никогда не	2	3
71	и все	3	3
72	превращается в	1	3
73	отношению к	5	3
74	не столько	2	3
75	что в	5	3
76	в искусстве	2	3
77	смысле слова	1	2
78	для себя	2	2
79	ни одно	2	2
80	и др	1	2
81	данном случае	2	2
82	зависимости от	1	2
83	полном соответствии	1	2
84	в произведении	5	2
85	и может	1	2
86	роль в	2	2
87	мы уже	1	2
88	те же	1	2
89	есть не	8	2
90	если бы	3	2
91	что иное	5	2
92	иное как	5	2
93	не что	4	2
94	к предмету	2	2
95	и должно	1	2
96	в ней	1	2
97	ее в	1	2
98	а также	3	2
99	в чем	1	2
100	между тем	5	2
101	нуждается в	8	2
102	во всей	1	2
103	вслед за	1	2
104	наконец в	1	2
105	может иметь	2	2
106	его на	1	2
107	как в	1	2
108	в которую	1	2
109	в данном	2	2
110	в этом	13	2
111	в лингвистике	1	2
112	творческого сознания	1	2
113	в полном	1	2
114	в том	27	2
115	тот же	1	2
116	в действительности	1	2
117	или иного	3	2
118	во времени	4	2
119	в целом	5	2
120	и тем	1	2
121	все эти	2	2
122	с одной	3	2
123	учение о	1	2
124	думать что	2	2
125	в нем	3	2
126	при этом	12	2
127	языка но	1	2
128	для него	2	2
129	в другом	4	2
130	отношений между	1	2
131	вовсе не	2	2
132	в зависимости	1	2
133	в них	1	2
134	объект и	1	2
135	и внутренняя	1	2
136	в области	4	2
137	с другой	4	2
138	всей своей	1	2
139	а как	2	2
140	в самом	6	2
141	входит в	1	2
142	того или	3	2
143	как индивидуальное	1	2
144	одной стороны	3	2
145	соответствии с	2	2
146	литературное произведение	12	2
147	более того	3	2
148	а не	17	2
149	другой стороны	2	2
150	между собою	1	2
151	несмотря на	2	2
152	в связи	1	2
153	том что	12	2
154	от своего	2	2
155	и при	1	2
156	разрыв между	1	2
157	и ее	1	2
158	в отношении	1	2
159	своего рода	3	2
160	в течение	1	2
161	литературного произведения	41	2
162	их внутренней	1	2
163	описания и	1	2
164	с этой	1	2
165	художественное произведение	5	2
166	не менее	1	2
167	сознания и	1	2
168	собственно говоря	4	2
169	истории литературы	4	2
170	и является	2	2
171	во всем	1	2
172	а в	9	2
173	еще в	2	2
174	в целях	1	2
175	нет ничего	2	2
176	и к	3	2
177	имеет место	5	2
178	могут быть	4	2
179	в своих	1	2
180	к тому	7	2
181	оно может	3	1
182	одним из	3	1
183	также и	2	1
184	зависимость от	1	1
185	человека и	1	1
186	себя как	1	1
187	вне этого	1	1
188	в виду	1	1
189	того же	4	1
190	на нем	1	1
191	и сами	1	1
192	как известно	3	1
193	на основе	2	1
194	в напряженном	1	1
195	науки о	2	1
196	в собственном	3	1
197	границы этого	1	1
198	самый предмет	1	1
199	и есть	3	1
200	в себя	6	1
201	включает в	1	1
202	сознания с	1	1
203	и до	2	1
204	определения эстетического	1	1
205	с языком	1	1
206	он всегда	1	1
207	не имеют	1	1
208	собственном смысле	1	1
209	на том	1	1
210	едва ли	2	1
211	не дано	1	1
212	особенно в	2	1
213	мы имеем	6	1
214	даже у	1	1
215	к тем	1	1
216	и о	2	1
217	возможно только	1	1
218	говоря и	3	1
219	вопрос о	2	1
220	на место	2	1
221	достаточной мере	1	1
222	и всякого	1	1
223	быть может	2	1
224	для этого	2	1
225	по себе	4	1
226	по мере	1	1
227	выходит за	1	1
228	не отвечает	1	1
229	подхода к	3	1
230	на себя	2	1
231	сводится к	5	1
232	из того	4	1
233	событий и	1	1
234	приближается к	1	1
235	данностью произведения	1	1
236	словесного искусства	1	1
237	искусства есть	1	1
238	в мире	8	1
239	теории литературы	1	1
240	внимание на	1	1
241	и что	1	1
242	произведение и	1	1
243	еще не	3	1
244	данности произведения	1	1
245	на втором	1	1
246	в широком	4	1
247	нам представляется	1	1
248	столь же	4	1
249	времени в	1	1
250	в различных	1	1
251	не могу	2	1
252	художественном творчестве	1	1
253	является таким	1	1
254	тем как	1	1
255	в конечном	4	1
256	всего целого	1	1
257	и подобно	1	1
258	как художественного	2	1
259	к нему	3	1
260	рассматривать не	1	1
261	на самом	2	1
262	но не	10	1
263	то он	2	1
264	сознания не	1	1
265	может и	1	1
266	с духом	1	1
267	отношение к	2	1
268	художественного впечатления	14	1
269	тут же	1	1
270	нет и	2	1
271	или иное	1	1
272	язык есть	2	1
273	один и	1	1
274	которая и	1	1
275	и эстетического	1	1
276	событии художественного	1	1
277	течение всего	1	1
278	находят в	1	1
279	внимание к	1	1
280	познания в	1	1
281	до его	2	1
282	своей полноте	1	1
283	то или	1	1
284	по своей	6	1
285	что касается	1	1
286	один из	2	1
287	творца и	1	1
288	и как	5	1
289	его к	2	1
290	что он	3	1
291	более или	1	1
292	есть его	1	1
293	историческом событии	1	1
294	который в	2	1
295	не приходится	1	1
296	в целое	1	1
297	состоит не	1	1
298	в литературоведении	2	1
299	социальное событие	1	1
300	в этой	5	1
301	для всех	1	1
302	само собой	1	1
303	есть чисто	2	1
304	и тот	1	1
