N	2gram	Vinokur_St_2	Marksizm
1	может быть	2	28
2	и пр	8	25
3	и в	29	19
4	и не	9	19
5	как бы	5	19
6	не может	2	18
7	в процессе	2	18
8	точки зрения	5	17
9	и его	6	16
10	то же	2	16
11	как мы	1	15
12	в этом	21	15
13	таким образом	10	14
14	в сущности	1	14
15	связи с	4	13
16	с точки	2	13
17	не только	19	13
18	вовсе не	6	11
19	в нем	4	11
20	если бы	2	11
21	не в	4	10
22	так и	9	10
23	но и	19	10
24	в пределах	1	10
25	том что	27	10
26	как и	2	9
27	самом деле	3	9
28	языка как	1	9
29	для него	4	9
30	на почве	2	9
31	в основе	1	9
32	при этом	2	9
33	а не	5	9
34	отношению к	1	8
35	же время	1	8
36	по отношению	1	8
37	в то	2	8
38	только в	2	8
39	с его	2	8
40	не является	3	8
41	в связи	1	7
42	прежде всего	5	7
43	и для	1	7
44	его в	2	7
45	в таком	1	7
46	на самом	3	7
47	в том	27	7
48	никогда не	3	7
49	в языке	5	7
50	одна из	1	7
51	но в	8	7
52	и более	2	7
53	и все	1	6
54	хотя бы	3	6
55	того чтобы	6	6
56	между тем	5	6
57	к тому	10	6
58	и значение	1	6
59	ни в	3	6
60	для того	7	6
61	ни было	2	6
62	в самом	7	6
63	мы можем	1	6
64	и как	2	6
65	в свою	1	6
66	как слово	1	5
67	и здесь	3	5
68	все же	6	5
69	отношении к	3	5
70	так же	3	5
71	в их	3	5
72	в форме	1	5
73	совершенно не	2	5
74	на этой	1	5
75	этой почве	1	5
76	в той	5	5
77	в его	13	5
78	выражение в	2	5
79	то ни	2	5
80	смысле слова	1	5
81	свою очередь	1	5
82	того же	2	5
83	в контексте	1	5
84	лишь на	1	5
85	и на	6	5
86	к другому	1	5
87	самого начала	3	5
88	с самого	3	5
89	к этому	4	5
90	в данном	2	5
91	в себе	2	4
92	бы в	1	4
93	бы то	2	4
94	и их	1	4
95	темой и	1	4
96	связь с	2	4
97	на то	2	4
98	как раз	8	4
99	значение в	1	4
100	в отношении	2	4
101	того что	5	4
102	тем же	2	4
103	мы видели	1	4
104	то что	11	4
105	а как	4	4
106	речь в	1	4
107	русском языке	1	4
108	сказать что	2	4
109	ничего не	4	4
110	с ними	1	4
111	и тем	1	4
112	тому что	7	4
113	что он	13	4
114	было бы	5	4
115	конечно не	1	4
116	только на	1	4
117	все эти	2	3
118	форму и	1	3
119	еще не	1	3
120	одно и	1	3
121	к которым	1	3
122	во всяком	3	3
123	в другом	4	3
