N	2gram	Vinokur_St_1	slovoVRo
1	и в	44	41
2	в нем	5	30
3	и т	30	28
4	то есть	2	26
5	т п	9	23
6	литературного языка	1	20
7	могут быть	5	19
8	во всех	8	17
9	не только	18	16
10	и не	16	16
11	точки зрения	11	16
12	но и	10	16
13	а не	16	15
14	то же	5	14
15	и на	1	14
16	в то	9	14
17	и его	8	14
18	может быть	15	14
19	и др	1	14
20	не может	8	14
21	в сущности	2	13
22	в его	9	13
23	в этом	21	12
24	до конца	1	12
25	же время	4	12
26	языка и	4	12
27	как бы	4	12
28	так и	9	11
29	в узком	1	10
30	язык и	1	10
31	в той	6	10
32	узком смысле	1	10
33	слово в	1	10
34	себя в	1	9
35	все эти	5	9
36	таким образом	7	9
37	той или	1	9
38	или иной	1	9
39	как в	13	8
40	но в	10	8
41	с точки	8	8
42	как мы	1	8
43	или в	1	8
44	может не	2	8
45	слова в	1	8
46	прежде всего	7	8
47	отношение к	2	7
48	все же	8	7
49	стиля и	1	7
50	в слове	5	7
51	в своей	6	7
52	не в	12	7
53	вовсе не	19	7
54	всех его	1	7
55	во всяком	6	7
56	того же	3	6
57	при этом	2	6
58	в плане	1	6
59	это не	8	6
60	в них	1	6
61	к своему	1	6
62	в отношении	9	6
63	оно не	1	6
64	только в	10	6
65	и даже	5	6
66	а в	17	6
67	отношении к	1	6
68	в каждый	1	5
69	и к	1	5
70	в самом	7	5
71	он в	1	5
72	т д	21	5
73	далеко не	1	5
74	всяком случае	6	5
75	все это	5	5
76	в основе	3	5
77	не на	1	5
78	к нему	2	5
79	слово как	1	5
80	точек зрения	1	5
81	с другой	9	5
82	еще более	4	5
83	поэзии и	1	4
84	в ней	3	4
85	еще не	3	4
86	с его	1	4
87	за пределы	2	4
88	перед нами	1	4
89	в которой	4	4
90	но именно	2	4
91	всех этих	2	4
92	не как	1	4
93	в каждом	3	4
94	и с	3	4
95	лишь в	3	4
96	входит в	1	4
97	языка но	1	4
98	как и	9	4
99	речи в	1	4
100	том же	1	4
101	в процессе	1	4
102	и для	3	4
103	ничего не	2	4
104	о нем	1	4
105	все его	1	4
106	с одной	3	4
107	одной стороны	2	4
108	и все	2	4
109	там где	5	4
110	и потому	2	4
111	и от	1	4
112	кроме того	1	4
113	здесь в	1	4
114	быть и	2	4
115	другой стороны	7	4
116	также и	9	3
117	в первом	2	3
118	его же	2	3
119	в зависимости	1	3
120	зависимости от	1	3
121	следовательно в	1	3
122	данном случае	6	3
123	в своем	2	3
124	бы и	4	3
125	момент его	1	3
126	из этих	6	3
127	языка а	1	3
128	является лишь	1	3
129	в себе	2	3
130	связанные с	3	3
131	вообще не	2	3
132	ни были	2	3
133	и сам	2	3
134	его в	2	3
135	было бы	17	3
136	он не	2	3
137	точку зрения	3	3
138	которые в	2	3
139	не должно	1	3
140	а иногда	2	3
141	она не	2	3
142	не могло	1	3
143	никогда не	5	3
144	в разных	1	3
145	не могут	1	3
146	в других	2	3
147	к тому	1	3
148	поэтического языка	1	3
149	и этим	1	3
150	образом в	1	3
151	автора к	1	3
152	о том	17	3
153	и во	2	3
154	те или	1	3
155	или иные	1	3
156	того что	9	3
157	в том	36	3
158	языка на	1	3
159	бы ни	1	3
160	в качестве	4	3
161	конечно не	2	3
162	и других	1	3
163	из них	8	3
164	его и	1	3
165	для него	6	3
166	так как	5	3
167	у него	2	3
168	именно в	6	3
169	не было	4	3
170	более того	1	3
171	в истории	3	3
172	не были	1	3
173	с этим	3	3
174	в данном	14	3
175	и там	1	3
176	по существу	2	3
177	с этой	3	3
178	в результате	3	3
179	хотя бы	6	3
180	одной из	1	3
181	из этого	1	3
182	в свое	2	3
183	но эти	1	3
184	а между	1	2
185	не должны	1	2
186	например в	8	2
187	на самом	6	2
188	то в	3	2
189	в котором	5	2
190	той же	5	2
191	а как	2	2
192	мы не	2	2
193	же как	3	2
194	время как	2	2
195	конечно и	3	2
196	и то	5	2
197	между собой	1	2
198	столь же	4	2
199	в ее	4	2
200	но не	3	2
201	и речи	2	2
202	что они	7	2
203	сих пор	7	2
204	как к	3	2
205	хотя и	1	2
206	от этого	2	2
207	в целом	5	2
208	или во	1	2
209	у каждого	1	2
210	принципиальное и	2	2
211	в известном	1	2
212	другом случае	1	2
213	эпохи и	3	2
214	и те	2	2
215	не могла	2	2
216	а вовсе	1	2
217	время и	1	2
218	как увидим	1	2
219	том и	1	2
220	и по	5	2
221	слов о	1	2
222	на все	1	2
223	для них	1	2
224	действительно не	1	2
225	нисколько не	2	2
226	был бы	1	2
227	том что	29	2
228	в этих	2	2
229	но он	2	2
230	не его	1	2
231	и эти	1	2
232	без всяких	2	2
233	даже в	3	2
234	тому что	3	2
235	в английском	1	2
236	дело не	4	2
237	самый язык	1	2
238	на язык	1	2
239	явление в	1	2
240	для нас	7	2
241	в сознании	2	2
242	ему не	1	2
243	у нас	11	2
244	ни о	1	2
245	и стиля	1	2
246	xx века	1	2
247	в духе	1	2
248	на протяжении	1	2
249	правда не	1	2
250	и о	1	2
251	то время	2	2
252	так в	1	2
253	на том	1	2
254	можно было	13	2
255	произведения не	1	2
256	и вообще	3	2
257	в другом	3	2
258	можно сказать	1	2
259	а также	2	2
260	в лучшем	1	2
261	между тем	3	2
262	и тем	3	2
263	с которыми	2	2
264	так что	6	2
265	же и	4	2
266	уже не	1	2
267	и у	2	2
268	если мы	1	2
269	в виде	3	2
270	как более	2	2
271	в одном	1	2
272	с этими	1	2
273	для того	10	2
274	в другой	1	2
275	до сих	7	2
276	чем он	1	2
277	а с	3	2
278	а на	3	2
279	поэта в	1	2
280	совершенно не	5	2
281	что все	2	2
282	в частности	4	2
283	так же	5	2
284	которые являются	1	2
285	такого рода	2	2
286	для понимания	1	2
287	этом случае	2	2
288	лучшем случае	1	2
289	того или	4	2
290	как раз	4	2
291	не является	3	2
292	одна из	1	2
293	тем и	1	2
294	и другим	1	2
295	у них	1	2
296	потому что	6	2
297	с ней	1	2
298	сказать что	7	2
299	или иного	4	2
300	к этому	1	2
301	как известно	1	1
302	художественного произведения	1	1
303	жил в	2	1
304	тех же	1	1
305	словами и	1	1
306	и есть	1	1
307	чего не	1	1
308	речи на	1	1
309	и до	1	1
310	из его	1	1
311	к особенностям	1	1
312	не имеют	1	1
313	ведь и	3	1
314	в меру	1	1
315	которыми он	2	1
316	его не	1	1
317	слово во	1	1
318	смотреть на	1	1
319	мы имеем	2	1
320	место в	1	1
321	оба эти	2	1
322	и такой	1	1
323	почти исключительно	1	1
324	но даже	1	1
325	случае в	4	1
326	он был	3	1
327	бы то	1	1
328	без всякого	2	1
329	не исчерпываются	1	1
330	но как	1	1
331	и стилистической	1	1
332	а только	1	1
333	в сторону	2	1
334	и нуждается	1	1
335	со всеми	2	1
336	не все	3	1
337	в новом	4	1
338	иногда и	2	1
339	или иное	3	1
340	в свои	1	1
341	в настоящем	1	1
342	конечно совершенно	1	1
343	в одной	1	1
344	ответ в	1	1
345	в течение	1	1
346	стороны и	1	1
347	что как	2	1
348	то или	3	1
349	в одних	1	1
350	на анализе	1	1
351	в очень	3	1
352	целый ряд	2	1
353	что по	1	1
354	слова он	1	1
355	отнесены к	1	1
356	еще на	1	1
357	себе как	1	1
358	так или	2	1
359	бы не	2	1
360	в этой	11	1
361	время этот	1	1
362	от необходимости	1	1
363	должен звучать	1	1
364	на то	4	1
365	в чужую	3	1
366	что она	4	1
367	задний план	3	1
368	и частично	1	1
369	от которого	1	1
370	не значит	3	1
371	он должен	2	1
372	чем у	2	1
373	и было	1	1
374	нашего времени	1	1
375	какой бы	1	1
376	с такими	1	1
377	ни был	1	1
378	в основу	4	1
379	значительной степени	1	1
380	бы они	1	1
381	то ни	1	1
382	бы быть	1	1
383	его текст	1	1
384	заключается в	4	1
385	его словом	1	1
386	но их	1	1
387	и дает	1	1
388	в свой	2	1
389	которая в	1	1
390	литературной и	2	1
391	этой работы	2	1
392	в ином	1	1
393	только одно	1	1
394	ни в	3	1
395	о которых	1	1
396	как общее	1	1
397	ни одной	2	1
398	и уже	2	1
399	всегда и	1	1
400	несмотря на	2	1
401	чем в	3	1
402	на этот	3	1
403	и некоторые	1	1
404	в один	1	1
405	примеров из	5	1
406	места в	2	1
407	но если	4	1
408	от своего	1	1
409	а главное	1	1
410	и без	3	1
411	слова здесь	1	1
412	и языка	6	1
413	мы называем	1	1
414	не столько	1	1
415	степени не	1	1
416	в которых	5	1
