N	2gram	Berdyaev_M_1	IolandNe
1	и с	3	3
2	записок из	5	2
3	и не	11	2
4	должен быть	2	2
5	творчества достоевского	1	2
6	в этом	20	2
7	он не	24	2
8	ничего не	3	2
9	самого себя	2	2
10	что в	10	2
11	о достоевском	7	2
12	нисколько не	1	1
13	все эти	2	1
14	то и	1	1
15	человеке и	8	1
16	о жизни	1	1
17	для него	11	1
18	того чтобы	2	1
19	мертвого дома	1	1
20	того что	7	1
21	преступления и	3	1
22	отношению к	2	1
23	когда его	1	1
24	и о	1	1
25	не так	3	1
26	тех же	1	1
27	произведения и	1	1
28	вплоть до	1	1
29	от нее	5	1
30	для других	1	1
31	и та	1	1
32	это было	1	1
33	художественном творчестве	1	1
34	так и	1	1
35	его личности	3	1
36	и ничего	1	1
37	но когда	1	1
38	в основе	2	1
39	достоевского с	2	1
40	них не	1	1
41	жизни и	2	1
42	по отношению	2	1
43	себя в	3	1
44	и сам	1	1
45	стало быть	1	1
46	братья карамазовы	1	1
47	у всех	2	1
48	если бы	2	1
49	не остается	2	1
50	от этого	2	1
51	всего творчества	1	1
52	и еще	3	1
53	это был	1	1
54	я нисколько	1	1
55	в значительной	1	1
56	униженных и	1	1
57	только для	1	1
58	для того	2	1
59	есть только	2	1
60	бы в	2	1
61	из подполья	10	1
62	а в	4	1
63	самого достоевского	2	1
64	и в	28	1
65	достоевского за	1	1
66	и наказания	1	1
67	был человек	2	1
68	и оскорбленных	1	1
69	все это	6	1
70	более чем	1	1
71	тем что	4	1
72	и др	1	1
73	к достоевскому	8	1
74	достоевского она	1	1
75	я не	1	1
76	никогда не	14	1
77	в них	4	1
78	нее и	1	1
79	и без	1	1
