N	2gram	Kanaev_Sov_1	Myslijsy
1	может быть	12	26
2	таким образом	11	24
3	в этом	7	23
4	в том	4	23
5	и в	7	23
6	и не	6	18
7	что в	2	17
8	при этом	3	15
9	только в	1	15
10	то же	3	14
11	в себе	3	14
12	как и	6	14
13	так как	4	14
14	для нас	3	14
15	если бы	1	13
16	не было	1	12
17	а не	3	12
18	том что	1	12
19	не в	3	11
20	по себе	1	11
21	не может	17	11
22	по отношению	1	10
23	не только	4	10
24	мы можем	6	10
25	и потому	3	10
26	мы не	9	8
27	в своем	1	8
28	но в	3	8
29	заключает в	1	8
30	было бы	3	8
31	о том	1	8
32	сказать что	1	8
33	отношению к	1	8
34	мы говорим	1	7
35	с этим	2	7
36	что это	2	7
37	в нем	3	7
38	что такое	2	7
39	это не	4	7
40	и что	2	7
41	вовсе не	1	7
42	могут быть	2	7
43	независимо от	1	6
44	и к	3	6
45	в которой	2	6
46	когда мы	3	6
47	вместе с	4	6
48	говорить о	2	5
49	один и	1	5
50	хотя и	1	5
51	как бы	4	5
52	так сказать	2	5
53	и мы	3	5
54	должно быть	1	5
55	по крайней	1	5
56	не менее	2	5
57	с ним	1	5
58	не имеет	1	5
59	такие же	2	5
60	к нему	1	5
61	крайней мере	1	5
62	не можем	7	5
63	уже в	3	5
64	в его	2	5
65	допустим что	1	5
66	не из	1	5
67	что же	5	5
68	этом случае	1	5
69	все это	3	5
70	а в	4	5
71	таким же	1	5
72	во всяком	2	5
73	есть не	1	4
74	что все	2	4
75	его в	1	4
76	мы имеем	1	4
77	точки зрения	12	4
78	сих пор	1	4
79	тем не	2	4
80	и более	1	4
81	в то	1	4
82	это последнее	1	4
83	на котором	2	4
84	же самое	2	4
85	если же	2	4
86	и может	1	4
87	каждый раз	6	4
88	и та	1	4
89	то и	2	4
90	в одном	3	4
91	только на	1	4
92	до сих	1	4
93	так же	1	4
94	в данном	1	4
95	и все	3	4
96	между ними	1	4
97	есть то	1	4
98	в таком	2	4
99	человека и	1	3
100	самом деле	2	3
101	на самом	1	3
102	и есть	2	3
103	в первом	3	3
104	и до	1	3
105	мы уже	1	3
106	той же	2	3
107	еще не	3	3
108	там где	1	3
109	в действительности	1	3
110	в самом	2	3
111	все эти	5	3
112	так в	1	3
113	и тот	1	3
114	и если	1	3
115	на его	2	3
116	к одному	1	3
117	и по	2	3
118	в каждом	8	3
119	не будет	1	3
120	том случае	1	3
121	но уже	1	3
122	все равно	1	3
123	с точки	5	3
124	но это	1	3
125	их в	4	3
126	в науке	2	3
127	только не	1	3
128	никогда не	1	3
129	же время	1	3
130	связи с	1	3
131	те же	1	3
132	мы в	1	3
133	из одного	2	3
134	и только	1	3
135	вообще и	1	3
136	и следовательно	1	3
137	этот вопрос	1	3
138	уже не	2	3
139	себе в	1	3
140	и их	1	3
141	всяком случае	2	3
142	и из	1	3
143	нельзя сказать	1	3
144	именно в	1	3
145	так называемых	3	3
146	все более	1	3
147	кроме того	1	3
148	в процессе	1	3
149	но тем	1	2
150	такое же	1	2
151	как мы	2	2
152	что иное	1	2
153	хотя конечно	1	2
154	в ней	1	2
155	иное как	1	2
156	то он	1	2
157	это сравнение	1	2
158	более и	1	2
159	в отдельных	1	2
160	несколько слов	1	2
161	жизни к	1	2
162	в нашем	2	2
163	из этих	2	2
164	в наших	3	2
165	то этим	1	2
166	что она	3	2
167	он не	1	2
168	человека в	1	2
169	наука не	1	2
170	в мире	1	2
171	она и	1	2
172	одна и	1	2
173	чем в	1	2
174	но что	1	2
175	и при	1	2
176	в первый	1	2
177	иметь перед	1	2
178	от его	1	2
179	вопрос о	4	2
180	сами по	1	2
181	и вообще	1	2
182	же мы	2	2
183	можем сказать	1	2
184	она не	1	2
185	самого начала	3	2
186	мысли в	1	2
187	его значения	1	2
188	и его	1	2
189	в области	3	2
190	у нас	3	2
191	с и	1	2
192	не могут	2	2
193	развивается только	1	2
194	и это	1	2
195	как происходит	1	2
196	данном случае	1	2
197	можно было	1	2
198	но мы	3	2
199	что его	1	2
200	как нет	1	2
