N	3gram	Medvedev_F_2	Sotsiolo
1	в том что	2	2
2	в конце концов	2	2
3	не в том	3	2
4	это и есть	1	1
5	в настоящее время	1	1
6	и должно было	1	1
7	истории литературы как	1	1
8	и в этом	5	1
9	только то что	1	1
10	по крайней мере	1	1
11	этом не было	1	1
12	именно в том	1	1
13	сама по себе	1	1
14	не было бы	1	1
15	истории литературы и	1	1
16	в то же	5	1
17	в этой области	1	1
18	в связи с	10	1
19	на первый план	2	1
20	то же время	5	1
21	ровно ничего не	1	1
22	чуть ли не	1	1
23	наука о литературе	1	1
24	в противном случае	1	1
25	и в то	3	1
26	науки о литературе	1	1
27	с одной стороны	1	1
28	во всяком случае	5	1
