N	3gram	Propp_Isto_3	Sovremen
1	с точки зрения	1	5
2	не может быть	1	4
3	мы видели что	3	3
4	с самого начала	1	3
5	тем не менее	5	2
6	друг с другом	1	2
7	во всяком случае	2	2
8	через некоторое время	2	2
9	каждого из них	1	2
10	в свою очередь	1	2
11	может быть и	1	2
12	мы это увидим	1	1
13	мы видим не	1	1
14	что иное как	3	1
15	уже знаем что	1	1
16	в такой же	1	1
17	в связи с	3	1
18	и пр но	1	1
19	это означало бы	1	1
20	по отношению к	2	1
21	равно как и	1	1
22	на самом деле	1	1
23	и той же	1	1
24	так же как	1	1
25	это или нет	1	1
26	в этом случае	5	1
27	до сих пор	5	1
28	но тем не	2	1
29	сами по себе	1	1
30	есть не что	1	1
31	существенно отличается от	1	1
32	но они не	1	1
33	прежде всего мы	1	1
34	можно было бы	1	1
35	и прежде всего	1	1
36	но все же	2	1
37	мы знаем что	1	1
38	ничего не доказывают	1	1
39	мы видим что	4	1
40	одной и той	1	1
41	не что иное	3	1
42	и эта сторона	1	1
43	мы уже знаем	2	1
44	часто встречающееся в	2	1
45	в том что	5	1
46	в данном случае	3	1
47	на этот вопрос	1	1
48	может быть в	1	1
49	она не может	1	1
50	и у нас	1	1
51	с одной стороны	2	1
