1	не что иное как	2	3
2	дело в том что	2	2
3	с другой стороны он	1	1
4	еще и потому что	1	1
5	в том смысле что	1	1
6	или по крайней мере	1	1
7	что бы то ни	1	1
8	бы то ни было	1	1
9	с этой точки зрения	1	1
10	тем не менее в	1	1
11	говоря уже о том	1	1
12	указывает на то что	1	1
13	но тем не менее	3	1
14	с точки зрения истории	1	1
15	во что бы то	1	1
16	с такой точки зрения	1	1
17	и то и другое	1	1
18	в то же время	3	1
19	но это не так	1	1
20	и в этом смысле	3	1
21	не говоря уже о	1	1
22	бы то ни стало	1	1
23	уже о том что	1	1
