N	3gram	Berdyaev_V_1	KulturaY
1	в том что	2	15
2	и т д	2	14
3	с другой стороны	1	6
4	по крайней мере	1	5
5	том что он	2	4
6	вместе с тем	1	3
7	но все же	1	2
8	к тому что	3	2
9	д и т	1	2
10	хотя бы и	1	2
11	так и в	1	2
12	т д и	1	2
13	с тем чтобы	1	1
14	между тем если	1	1
15	это еще не	2	1
16	того что он	1	1
17	имеет своим предметом	1	1
18	все это как	1	1
19	все равно не	1	1
20	бы и не	2	1
21	вместо того чтобы	2	1
22	уже не с	1	1
23	потому что оно	1	1
24	но в нем	1	1
25	не в силах	2	1
26	после того как	1	1
27	и вместе с	1	1
28	против того что	1	1
29	но прежде всего	1	1
