N	2gram	Voloshinov_1	Formalny
1	и в	3	24
2	в его	1	23
3	художественного произведения	1	23
4	и не	1	20
5	не может	4	16
6	точки зрения	1	16
7	формального метода	1	16
8	может быть	1	14
9	с точки	1	13
10	не менее	1	11
11	то же	1	10
12	а не	1	10
13	в ней	1	10
14	в то	1	9
15	же время	1	8
16	и на	1	8
17	но и	1	7
18	не только	1	7
19	о литературе	1	6
20	и все	1	6
21	художественной структуры	1	6
22	социального общения	2	6
23	и истории	1	5
24	с другими	1	4
25	не из	1	4
26	литературного произведения	1	4
27	если бы	1	4
28	для него	1	3
29	бы в	1	3
30	связи с	1	3
31	вещей и	1	3
32	к тому	1	3
33	в конкретном	1	3
34	один из	2	3
35	в каждом	1	3
36	в особенности	1	3
37	может и	1	2
38	тех же	1	2
39	влияния на	1	2
40	вполне понятно	1	2
41	и должно	1	2
42	нет и	1	2
43	в системе	1	2
44	науку о	1	2
45	подхода к	1	2
46	общения и	2	2
47	художественного целого	1	2
48	он в	1	2
49	на нее	1	2
50	зрения их	1	2
51	его от	1	1
52	смысл и	1	1
53	его основе	1	1
54	и социальной	1	1
55	анализа и	1	1
56	марксистскую науку	1	1
57	если в	2	1
58	может не	1	1
59	из этих	1	1
60	во второй	1	1
61	в лингвистике	1	1
62	литературы то	1	1
63	в языке	1	1
64	ни один	1	1
65	методов ее	1	1
66	тому что	1	1
67	поэтики и	1	1
68	мы видим	1	1
69	и событий	1	1
70	несмотря на	1	1
71	не оказать	1	1
72	русской литературы	1	1
73	и методологически	1	1
74	произведения но	1	1
75	своих работ	1	1
