N	2gram	Tiupa_Lite_1	Formalny
1	и в	8	24
2	художественного произведения	1	23
3	в его	7	23
4	прежде всего	11	22
5	и не	12	20
6	так и	4	18
7	точки зрения	6	16
8	не может	5	16
9	в этом	12	15
10	в нем	2	14
11	может быть	13	14
12	таким образом	3	13
13	на почве	2	13
14	с точки	2	13
15	в своем	11	11
16	как и	6	11
17	в своей	4	11
18	в их	3	11
19	не менее	7	11
20	должно быть	1	11
21	то же	5	10
22	вовсе не	1	10
23	и его	4	10
24	а не	16	10
25	в то	5	9
26	и на	1	8
27	как в	5	8
28	и с	1	8
29	лишь в	4	8
30	не в	8	8
31	же время	5	8
32	в ее	1	8
33	произведения и	1	8
34	именно в	1	8
35	то что	10	8
36	в свою	1	8
37	на самом	1	7
38	должна быть	2	7
39	с ее	1	7
40	не только	24	7
41	жизни и	3	7
42	до конца	1	7
43	и от	1	7
44	но и	17	7
45	еще не	4	6
46	самом деле	2	6
47	отнюдь не	2	6
48	в целом	8	6
49	все эти	2	6
50	в этой	4	6
51	как бы	7	6
52	она не	1	6
53	свою очередь	1	6
54	на основе	1	6
55	в пределах	3	6
56	и здесь	1	6
57	до сих	1	6
58	в том	16	6
59	было бы	2	6
60	как это	8	6
61	художественное произведение	2	6
62	сих пор	1	6
63	и все	1	6
64	а в	3	6
65	о литературе	1	6
66	бы ни	1	5
67	хотя бы	2	5
68	во всех	1	5
69	но в	3	5
70	в самом	3	5
71	при этом	19	5
72	в понимании	1	5
73	не могло	2	5
74	должен быть	2	5
75	как мы	1	5
76	искусства и	5	5
77	непосредственно в	1	5
78	в литературе	1	5
79	того что	6	5
80	только на	2	5
81	со стороны	4	5
82	с другой	3	5
83	и др	3	5
84	в искусстве	2	5
85	художественных произведений	1	4
86	с его	5	4
87	по отношению	3	4
88	в которой	1	4
89	не как	4	4
90	в мире	2	4
91	искусства в	1	4
92	как проблема	1	4
93	как о	1	4
94	друг друга	4	4
95	при таком	1	4
96	никогда не	4	4
97	если бы	1	4
98	для этого	4	4
99	в формах	4	4
100	всяком случае	2	4
101	с одной	2	4
102	литературного произведения	4	4
103	одной стороны	2	4
104	в связи	4	4
105	в частности	15	4
106	отношению к	2	4
107	с этой	5	4
108	что в	3	4
109	к этой	1	4
110	во всяком	3	4
111	культуры и	1	3
112	мы не	1	3
113	по аналогии	3	3
114	зависимости от	1	3
115	бы то	1	3
116	в литературоведении	1	3
117	но не	4	3
118	со всеми	1	3
119	в общем	1	3
120	отношение к	1	3
121	и читатель	1	3
122	как к	1	3
123	все же	4	3
124	целый ряд	1	3
125	и как	1	3
126	в себе	7	3
127	не приводит	1	3
128	так сказать	1	3
129	он не	1	3
130	перестает быть	4	3
131	роли в	1	3
132	так например	1	3
133	в каждом	1	3
134	то ни	1	3
135	значение в	1	3
136	материала и	1	3
137	его в	3	3
138	в жизни	6	3
139	произведение как	1	3
140	в них	1	3
141	со всей	1	3
142	лучшем случае	1	3
143	они не	1	3
144	в отношении	1	3
145	литературы как	1	3
146	тем самым	5	3
147	но для	1	3
148	не о	1	3
149	в основе	3	3
150	связи с	6	3
151	сводится к	3	3
152	отличается от	1	3
153	всего в	3	3
154	к тому	2	3
155	литературы на	1	3
156	об искусстве	1	3
157	аналогии с	3	3
158	борьба с	1	3
159	воздействия на	2	3
160	наконец в	1	3
161	и всякое	1	3
162	в лучшем	1	3
163	один из	3	3
164	в большинстве	1	3
165	и других	1	3
166	для него	2	3
167	не для	1	3
168	в особенности	1	3
169	со всем	1	3
170	и даже	3	3
171	в области	3	3
172	бытия в	1	3
173	не было	3	3
174	в россии	2	3
175	произведение в	2	3
176	произведения искусства	3	3
177	ни на	1	3
178	в художественном	4	3
179	более того	1	3
180	у них	1	3
181	же в	5	3
182	между ними	1	3
183	от всех	1	3
184	что он	5	3
185	и развитие	1	2
186	же как	1	2
187	чтобы не	2	2
188	тех же	3	2
189	оно было	1	2
190	в зависимости	1	2
191	в году	13	2
192	а как	2	2
193	от всякой	2	2
194	вопрос о	1	2
195	конститутивным моментом	1	2
196	во внешнем	1	2
197	а только	2	2
198	за пределы	2	2
199	идет о	1	2
200	более и	1	2
201	к новому	1	2
202	однако не	1	2
203	в действительности	1	2
204	в произведении	1	2
205	он в	1	2
206	в нашем	1	2
207	и если	1	2
208	и вот	1	2
209	и более	1	2
210	ни были	1	2
211	но все	1	2
212	подход к	1	2
213	каждого элемента	1	2
214	это не	4	2
215	с начала	1	2
216	с тем	1	2
217	жизни но	1	2
218	в эту	1	2
219	не так	1	2
220	не от	1	2
221	на всю	1	2
222	бы быть	1	2
223	раз и	2	2
224	на него	1	2
225	жизни не	2	2
226	одна из	3	2
227	язык поэзии	1	2
228	на языке	1	2
229	и является	2	2
230	может и	1	2
231	данного произведения	1	2
232	не есть	2	2
233	приводит к	3	2
234	как с	1	2
235	на нее	1	2
236	произведение искусства	8	2
237	историю литературы	1	2
238	каждого из	1	2
239	еще в	4	2
240	произведения как	1	2
241	на художественную	1	2
242	и что	1	2
243	к действительности	1	2
244	в различных	1	2
245	не выходит	1	2
246	все в	1	2
247	между тем	2	2
248	ее от	1	2
249	и всякая	1	2
250	что и	1	2
251	во всей	1	2
252	не сводится	3	2
253	действительности не	1	2
254	только в	8	2
255	уже не	7	2
256	не можем	1	2
257	если мы	1	2
258	большинстве случаев	1	2
259	в душе	3	2
260	в одном	1	2
261	в современном	1	2
262	как такового	1	2
263	как раз	4	2
264	общения и	1	2
265	перейти к	1	2
266	или иначе	9	2
267	не на	2	2
268	была бы	1	2
269	есть лишь	1	2
270	мира в	3	2
271	художественного целого	2	2
272	все более	2	2
273	вместе с	1	2
274	и особенно	1	2
275	подхода к	1	2
276	самого искусства	1	2
277	целом ряде	1	2
278	одновременно с	1	2
279	по существу	1	2
280	литературе и	1	2
281	в чужом	4	2
282	искусства как	2	2
283	совершается в	1	2
284	для этой	1	2
285	места в	1	2
286	ни было	1	2
287	в своих	4	2
288	отношении к	1	2
289	тот или	1	2
290	жизни в	1	2
291	одной из	1	2
292	от литературы	2	2
293	только как	1	2
294	самого художественного	1	2
295	что такое	2	2
296	как таковое	1	2
297	ту же	2	1
298	этого в	1	1
299	также и	3	1
300	например в	3	1
301	достаточно вспомнить	1	1
302	прочим и	1	1
303	и есть	3	1
304	между двумя	1	1
305	установка на	1	1
306	по преимуществу	4	1
307	из его	2	1
308	едва ли	1	1
309	определяется в	1	1
310	и этот	1	1
311	той же	3	1
312	и само	2	1
313	место лишь	1	1
314	во внутреннем	1	1
315	а для	2	1
316	х годов	2	1
317	ему в	1	1
318	целого в	1	1
319	для литературы	1	1
320	его основная	1	1
321	это время	1	1
322	ограничение его	1	1
