N	2gram	Medvedev_S_1	Myslijsy
1	для нас	3	31
2	и в	3	24
3	может быть	2	23
4	то что	2	20
5	и не	1	19
6	в том	5	18
7	что в	2	16
8	не только	3	15
9	по себе	1	15
10	не в	3	13
11	было бы	2	13
12	то же	2	12
13	но не	1	12
14	не может	1	12
15	мы не	1	11
16	таким образом	2	11
17	только в	2	11
18	вовсе не	1	9
19	но и	2	9
20	как бы	2	9
21	в этом	5	8
22	том что	2	8
23	а в	1	8
24	в чем	1	7
25	как и	1	7
26	между собою	1	7
27	всяком случае	1	7
28	прежде всего	1	7
29	тем что	1	7
30	во всяком	1	7
31	и как	1	6
32	в то	1	6
33	связи с	1	6
34	между тем	1	6
35	и только	3	6
36	с другой	1	6
37	не было	1	6
38	только как	2	6
39	столь же	1	5
40	все же	1	5
41	не от	1	5
42	по крайней	1	5
43	с ним	1	5
44	так и	1	5
45	о том	1	5
46	крайней мере	1	5
47	в них	1	5
48	представляется нам	1	5
49	только для	1	5
50	или не	1	5
51	а между	1	4
52	еще не	2	4
53	главным образом	2	4
54	в котором	1	4
55	место в	1	4
56	стало быть	1	4
57	они не	1	4
58	образом в	1	4
59	никогда не	1	4
60	и что	2	4
61	что он	1	4
62	с одной	1	4
63	вряд ли	1	3
64	тем же	1	3
65	полагает что	1	3
66	но она	1	3
67	только тогда	1	3
68	очевидно что	2	3
69	что это	1	3
70	в целом	1	3
71	что без	1	3
72	что она	1	3
73	на все	1	3
74	его в	1	3
75	это не	1	3
76	далеко не	2	3
77	в этих	1	3
78	быть не	1	3
79	мысли в	1	3
80	те же	1	3
81	том как	1	3
82	что на	1	3
83	на ней	1	3
84	одной стороны	1	3
85	или нет	1	3
86	и есть	1	2
87	по отношению	2	2
88	за пределы	2	2
89	сама по	1	2
90	все эти	1	2
91	и по	1	2
92	в каждом	1	2
93	как совокупность	1	2
94	тому что	1	2
95	и его	1	2
96	но только	1	2
97	же время	1	2
98	когда мы	1	2
99	что все	1	2
100	связь между	1	2
101	один из	1	2
102	не дает	1	2
103	у него	1	2
104	быть для	1	2
105	к которому	2	2
106	а с	1	2
107	и затем	1	2
108	между ними	1	2
109	точке зрения	1	2
110	зависит от	1	2
111	в связи	1	2
112	и потому	1	2
113	можно принять	1	2
114	все это	7	2
115	слова но	1	2
116	из себя	1	2
117	в его	3	2
118	бы в	1	2
119	мы должны	1	2
120	хотя бы	1	2
121	я и	1	1
122	должна быть	2	1
123	этом не	1	1
124	перейти к	1	1
125	какие в	1	1
126	от друга	1	1
127	для наших	1	1
128	не без	1	1
129	ними в	1	1
130	а тем	1	1
131	но как	1	1
132	друг от	1	1
133	мы думаем	1	1
134	дает нам	1	1
135	перед нами	1	1
136	и наконец	1	1
137	иначе и	1	1
138	не значат	1	1
139	так называемым	1	1
140	же не	1	1
141	с каким-либо	1	1
142	на общие	1	1
143	же это	1	1
144	обобщения как	1	1
145	и более	1	1
146	в таких	1	1
147	это дает	1	1
148	ничего не	1	1
149	и им	1	1
150	ровно ничего	1	1
151	это зависит	2	1
152	бы он	1	1
153	только то	1	1
154	никак не	1	1
155	на что	1	1
156	мы понимаем	1	1
157	и остаются	1	1
158	и самые	1	1
159	наше время	1	1
160	именно на	1	1
161	конечно не	1	1
162	представить себе	1	1
163	может служить	1	1
164	не один	1	1
165	именно в	1	1
166	на основании	1	1
167	следующее как	1	1
168	теперь он	1	1
169	все то	1	1
170	можно будет	1	1
171	ни одно	1	1
172	и о	1	1
173	между собой	1	1
174	даже больше	1	1
175	в наше	1	1
176	его собственная	1	1
177	это как	1	1
178	тем более	2	1
179	своих мыслей	1	1
180	из тех	1	1
181	условий то	1	1
182	в заключение	1	1
183	ни на	1	1
184	в процессе	1	1
