N	3gram	Bakhtin_Fr_4	Problemy
1	с точки зрения	2	13
2	то же время	8	9
3	в то же	8	9
4	в том что	1	6
5	но в то	1	5
6	в конце концов	4	5
7	зрения на мир	1	4
8	на самом деле	1	4
9	не может быть	1	4
10	подобно тому как	3	3
11	это не значит	1	3
12	в этом отношении	1	3
13	с другой стороны	3	3
14	значит конечно что	1	2
15	и до конца	3	2
16	до сих пор	1	2
17	и не может	1	2
18	и в то	4	2
19	в той же	1	2
20	таким образом все	2	2
21	но это не	1	2
22	начала и до	3	2
23	в данном случае	1	2
24	не только в	2	2
25	не значит конечно	1	2
26	с начала и	3	2
27	в большинстве случаев	5	2
28	все же не	1	2
29	мы даем здесь	1	1
30	а следовательно и	1	1
31	мы уже говорили	5	1
32	дело в том	1	1
33	в свою очередь	1	1
34	подойти к нему	1	1
35	то же самое	1	1
36	героем и автором	1	1
37	и в других	2	1
38	он остается в	1	1
39	как мы уже	5	1
40	раз и навсегда	1	1
41	так и в	1	1
42	может быть и	1	1
43	они и не	1	1
44	она так же	1	1
45	то время как	1	1
46	но вовсе не	1	1
47	как мы сказали	1	1
48	ни в одном	1	1
49	тем что он	1	1
50	в противоречии с	1	1
51	таким образом и	3	1
52	на первый взгляд	1	1
53	рассеяны по всему	1	1
54	тех или иных	1	1
55	в самой жизни	1	1
56	мы увидим дальше	1	1
57	и на его	1	1
58	перед нами в	1	1
59	другой стороны эта	1	1
60	в основе этого	1	1
61	о том что	2	1
62	и вот в	1	1
63	более или менее	3	1
64	таким образом в	3	1
65	в маленьком масштабе	1	1
66	в то время	2	1
67	но в них	1	1
68	это и есть	3	1
69	и независимо от	1	1
70	и земли в	1	1
71	с самого начала	3	1
72	нужно сказать что	2	1
73	и так сказать	1	1
74	можно сказать что	1	1
75	в литературе как	1	1
76	что это не	1	1
77	в полной мере	1	1
78	в его романе	1	1
79	до известной степени	1	1
80	как существенный момент	1	1
81	для того чтобы	3	1
82	видеть и изображать	1	1
83	именно тем что	1	1
84	что и в	1	1
85	как мы видели	2	1
