N	3gram	Trubetskoy_1	slovoVRo
1	то же время	10	12
2	в то же	10	12
3	той или иной	3	9
4	с точки зрения	9	8
5	в большинстве случаев	2	6
6	не может не	3	5
7	в каждый данный	1	5
8	во всяком случае	6	5
9	каждый данный момент	1	4
10	но в то	1	4
11	в данном случае	3	3
12	более или менее	4	3
13	а между тем	5	2
14	в том и	2	2
15	в этом случае	3	2
16	до сих пор	5	2
17	и не может	3	2
18	в лучшем случае	3	2
19	до известной степени	1	2
20	но по существу	1	2
21	в другом случае	2	2
22	и в этом	1	2
23	на том же	1	2
24	том и в	2	2
25	того или иного	2	2
26	в свою очередь	1	2
27	как бы ни	1	2
28	к тому что	2	2
29	можно было бы	3	2
30	и в том	2	2
31	друг с другом	14	2
32	и в другом	2	2
33	а следовательно и	2	1
34	то есть не	1	1
35	прежде всего в	1	1
36	дело в том	1	1
37	как бы не	1	1
38	в нем самом	1	1
39	уже не на	1	1
40	которых мы говорили	1	1
41	отличается от того	1	1
42	же время в	1	1
43	бы то ни	4	1
44	с ним в	1	1
45	в этом отношении	1	1
46	во всех областях	1	1
47	в противном случае	1	1
48	по крайней мере	1	1
49	и в частности	1	1
50	в значительной степени	1	1
51	то ни было	1	1
52	и с точки	1	1
53	мы не знаем	1	1
54	жизни но и	1	1
55	противоречат друг другу	1	1
56	его жизни и	1	1
57	во всех этих	1	1
58	с отказом от	1	1
59	к одному из	1	1
60	эта точка зрения	1	1
61	за ними не	1	1
62	о которых мы	1	1
63	не может быть	4	1
64	свою точку зрения	1	1
65	тем не менее	1	1
66	и во всяком	2	1
67	о том что	2	1
68	всех областях жизни	1	1
69	с самого начала	1	1
70	он еще не	1	1
71	и прежде всего	1	1
72	неизбежно приводит к	1	1
73	или в лучшем	2	1
74	бы друг с	1	1
75	наиболее полное и	1	1
76	о котором идет	2	1
77	будучи по существу	2	1
78	тех или иных	1	1
79	для того чтобы	6	1
80	в том что	7	1
