N	3gram	Medvedev_F_1	Problemy
1	и т п	4	9
2	в пределах одного	1	9
3	с точки зрения	13	8
4	в большинстве случаев	2	8
5	до сих пор	6	7
6	по отношению к	4	5
7	то же время	8	5
8	в то же	8	5
9	и не может	2	4
10	как и все	2	4
11	в отличие от	1	4
12	сама по себе	2	4
13	не может быть	5	4
14	и т д	8	4
15	более или менее	6	3
16	как мы увидим	2	3
17	с другой стороны	1	3
18	но в то	2	3
19	быть более или	1	2
20	в настоящее время	10	2
21	в этом смысле	1	2
22	как раз и	1	2
23	оно должно быть	1	2
24	в точке пересечения	1	2
25	как если бы	2	2
26	может быть и	3	2
27	в отношении к	1	2
28	к одному знаменателю	1	2
29	тем не менее	1	2
30	но все же	1	2
31	друг от друга	2	2
32	по себе но	1	2
33	может быть более	1	2
34	бы ни были	2	1
35	историка литературы и	1	1
36	в этом его	1	1
37	не с точки	1	1
38	вполне понятно что	1	1
39	в целом его	1	1
40	очень важное место	1	1
41	же время не	1	1
42	все эти вопросы	1	1
43	реагировать на него	2	1
44	а вовсе не	2	1
45	прежде всего в	3	1
46	и наконец в	2	1
47	как и всякое	1	1
48	и до сих	1	1
49	в том числе	1	1
50	в том и	1	1
51	одной стороны и	4	1
52	же как и	1	1
53	в этом пункте	2	1
54	слова но лишь	1	1
55	и во всех	1	1
56	настоящее время начинает	1	1
57	если же он	1	1
58	а не как	1	1
59	хотя бы и	1	1
60	сами по себе	2	1
61	бы ни было	1	1
62	бы то ни	3	1
63	но и в	1	1
64	точки зрения своей	1	1
65	занимает очень важное	1	1
66	между тем как	1	1
67	часть нашей работы	1	1
68	при этом не	1	1
69	том числе и	1	1
70	резко отличается от	1	1
71	за ней в	1	1
72	б м эйхенбаум	1	1
73	увидим дальше что	1	1
74	и не в	2	1
75	в данной социальной	1	1
76	так сказать в	1	1
77	получается впечатление что	1	1
78	то что было	1	1
79	мы увидим дальше	1	1
80	т е в	1	1
81	большое значение в	1	1
82	и пр он	1	1
83	до конца и	1	1
84	дело идет о	2	1
85	значительно и важно	1	1
86	то ни было	1	1
87	с одной стороны	4	1
88	мы здесь не	1	1
89	смысле этого слова	3	1
90	в связи с	2	1
91	в той же	1	1
92	слово т е	1	1
93	художественного произведения или	1	1
94	как один из	1	1
95	и отчасти с	1	1
96	так или иначе	1	1
97	и в их	2	1
98	не должна быть	1	1
99	во всяком случае	4	1
100	в конкретном и	1	1
101	всего того что	1	1
102	в точном смысле	1	1
103	до настоящего времени	2	1
104	большинстве же случаев	1	1
105	обрабатывается именно как	1	1
106	в каждом своем	1	1
107	если же они	1	1
108	и в том	1	1
109	т е как	2	1
110	вместо того чтобы	1	1
111	или менее глубокой	1	1
112	для историка литературы	1	1
113	самом деле в	1	1
114	совершенно не изучены	1	1
115	если бы оно	2	1
116	бы оно было	2	1
117	между этими двумя	1	1
118	в данную эпоху	1	1
119	в большинстве же	1	1
120	совершается в пределах	1	1
121	так и в	4	1
122	не может не	1	1
123	на самом деле	6	1
124	вовсе не как	1	1
125	в каждом элементе	1	1
126	этой точки зрения	1	1
127	определяющего влияния на	1	1
128	не только не	2	1
129	и в идеологическом	1	1
130	т п в	1	1
131	разобранная нами особенность	1	1
132	а лишь в	1	1
133	как мы знаем	1	1
134	выдвинул у нас	1	1
135	и всякое иное	1	1
136	в том что	1	1
137	и до настоящего	1	1
138	все это не	1	1
139	мы увидим что	1	1
140	и в каждом	2	1
141	не менее в	1	1
