N	2gram	Savitsky_P_1	Vladivir
1	и в	14	30
2	в этом	10	20
3	то что	4	20
4	и не	12	18
5	в том	9	18
6	и с	2	14
7	а н	5	14
8	не только	17	12
9	том что	4	12
10	что в	4	12
11	в его	2	11
12	а в	4	11
13	а также	4	10
14	не было	2	10
15	в с	4	10
16	все же	1	9
17	было бы	6	9
18	не в	5	9
19	в то	7	9
20	не может	4	9
21	н н	3	9
22	потому что	3	9
23	в своем	4	8
24	но в	9	8
25	но и	6	8
26	вместе с	1	8
27	точки зрения	3	7
28	никогда не	1	7
29	не менее	2	7
30	в эти	1	7
31	соловьева и	1	7
32	может быть	5	7
33	а не	2	7
34	между прочим	2	7
35	для нас	2	7
36	также и	1	6
37	он был	1	6
38	хотя и	3	6
39	и к	4	6
40	в себе	3	6
41	только в	7	6
42	всяком случае	1	6
43	прежде всего	3	6
44	во всяком	1	6
45	и то	1	5
46	и я	1	5
47	с этим	2	5
48	соловьев и	1	5
49	как и	1	5
50	в котором	4	5
51	по себе	4	5
52	и что	1	5
53	того что	2	5
54	тот же	3	5
55	россия и	1	5
56	как бы	4	5
57	в основном	1	5
58	все это	2	5
59	в результате	1	5
60	с с	2	4
61	то же	9	4
62	в ней	6	4
63	и на	1	4
64	время в	2	4
65	что его	1	4
66	с его	1	4
67	не очень	1	4
68	в которой	1	4
69	что это	1	4
70	в этой	1	4
71	и если	4	4
72	в нем	3	4
73	м а	2	4
74	его в	1	4
75	и мы	2	4
76	мы знаем	1	4
77	в этих	1	4
78	мы должны	4	4
79	можно судить	1	4
80	не есть	1	4
81	и о	5	4
82	эти последние	1	4
83	все существующее	1	4
84	судить по	1	4
85	со стороны	2	4
86	именно в	2	4
87	так же	1	4
88	в это	1	4
89	в начале	2	4
90	можно говорить	1	3
91	отношения к	2	3
92	был и	1	3
93	и вот	2	3
94	во всех	2	3
95	но не	3	3
96	отличие от	1	3
97	и как	3	3
98	более или	1	3
99	из этих	1	3
100	и вселенская	3	3
101	те же	1	3
102	с богом	1	3
103	в них	2	3
104	вселенской церкви	1	3
105	должно быть	2	3
106	или менее	1	3
107	в отношении	10	3
108	с точки	3	3
109	не столько	2	3
110	в отличие	1	3
111	в россии	3	3
112	же время	7	3
113	в области	11	3
114	где он	1	3
115	и это	2	3
116	никак не	2	3
117	что и	1	3
118	владимира соловьева	1	3
119	уже в	1	3
120	в виде	2	3
121	на этих	2	3
122	последние годы	1	3
123	нет ничего	1	3
124	в данном	1	3
125	да и	2	3
126	еще более	2	3
127	тем более	2	3
128	хотя бы	8	3
129	это в	1	3
130	и особенно	1	3
131	я и	3	2
132	также что	1	2
133	и есть	2	2
134	что если	1	2
135	есть нечто	2	2
136	не вполне	1	2
137	есть для	1	2
138	россии и	4	2
139	в общем	2	2
140	как к	1	2
141	в самом	1	2
142	во многих	1	2
143	на то	1	2
144	не могла	1	2
145	в статье	2	2
146	мысли и	1	2
147	и по	1	2
148	о в	5	2
149	заключается в	3	2
150	это не	3	2
151	начала и	2	2
152	на свои	1	2
153	у с	1	2
154	с тем	3	2
155	говорится о	1	2
156	к а	1	2
157	мы не	3	2
158	еще в	1	2
159	нисколько не	1	2
160	д д	2	2
161	и при	1	2
162	и очень	1	2
163	с которой	1	2
164	она не	1	2
165	иной раз	1	2
166	не имеет	1	2
167	тогда когда	1	2
168	и притом	1	2
169	с и	1	2
170	само по	1	2
171	того чтобы	1	2
172	казалось бы	1	2
173	не о	2	2
174	в русском	2	2
175	исходить из	1	2
176	которое в	2	2
177	относиться к	1	2
178	в настоящее	1	2
179	в последние	2	2
180	возможно что	1	2
181	настоящее время	1	2
182	история и	1	2
