N	2gram	Tiupa_Hudo_2	Myshleni
1	в том	15	33
2	том что	19	27
3	точки зрения	2	26
4	то что	6	20
5	в этом	13	19
6	с точки	2	18
7	того что	1	17
8	мышления и	1	16
9	не только	11	15
10	и в	28	15
11	что в	5	14
12	того чтобы	4	12
13	и т.д	2	12
14	что он	8	12
15	в самом	5	11
16	мы не	1	10
17	было бы	3	10
18	для того	4	10
19	но и	9	10
20	ребенка в	1	10
21	в сущности	1	9
22	в своем	5	9
23	о том	12	9
24	может быть	8	9
25	не может	4	9
26	не является	2	9
27	заключается в	1	8
28	не в	13	8
29	никогда не	5	8
30	казалось бы	6	8
31	так и	8	8
32	если бы	6	8
33	и что	1	8
34	едва ли	3	7
35	он не	4	7
36	высшей степени	1	7
37	по себе	1	7
38	к тому	7	7
39	и т.п	1	7
40	с одной	3	7
41	потому что	2	7
42	мы знаем	2	7
43	одной стороны	3	7
44	как бы	5	7
45	и не	18	7
46	самом деле	3	6
47	мы уже	3	6
48	по отношению	7	6
49	в этой	5	6
50	и к	2	6
51	что это	5	6
52	как он	3	6
53	как и	11	6
54	как мы	2	6
55	но в	2	6
56	по своей	1	6
57	вовсе не	2	6
58	с другой	3	6
59	к которому	1	6
60	там где	1	6
61	в частности	7	6
62	вместе с	2	6
63	как это	7	6
64	сказать что	2	6
65	на деле	1	5
66	показать что	1	5
67	то же	6	5
68	полагает что	1	5
69	уже в	1	5
70	приводит к	2	5
71	это не	6	5
72	что с	1	5
73	можно было	3	5
74	и даже	1	5
75	социальной среде	1	5
76	по существу	1	5
77	отношению к	7	5
78	все что	3	5
79	с в	1	4
80	хотя бы	2	4
81	с его	5	4
82	из этих	2	4
83	конечном счете	3	4
84	независимо от	1	4
85	как в	5	4
86	все же	2	4
87	в которой	1	4
88	том чтобы	1	4
89	что все	3	4
90	в них	3	4
91	несмотря на	3	4
92	со всей	2	4
93	в своей	6	4
94	от его	1	4
95	признать что	1	4
96	к этому	1	4
97	их в	1	4
98	даже в	1	4
99	того как	2	4
100	и его	5	4
101	и с	6	4
102	в конечном	4	4
103	так как	1	4
104	только в	4	4
105	который в	2	4
106	в качестве	4	4
107	для всех	1	4
108	в начале	1	4
109	потребность в	2	4
110	как раз	4	4
111	а с	3	4
112	прежде всего	3	4
113	так же	3	4
114	все это	3	4
115	для нас	3	4
116	а в	6	4
117	по поводу	3	4
118	человека и	3	3
119	здесь и	1	3
120	отношения между	1	3
121	для которого	1	3
122	мы имеем	1	3
123	и ее	3	3
124	что можно	1	3
125	он сам	2	3
126	точка зрения	1	3
127	в общем	1	3
128	что они	4	3
129	когда он	1	3
130	бы и	4	3
131	он в	1	3
132	все эти	1	3
133	что она	7	3
134	при этом	11	3
135	что у	3	3
136	состоит в	7	3
137	об этом	7	3
138	те же	2	3
139	лишь в	2	3
140	с другими	3	3
141	о которых	2	3
142	личности не	2	3
143	во время	1	3
144	таким же	1	3
145	контакт с	1	3
146	в самой	1	3
147	этом отношении	1	3
148	в основе	2	3
149	числе и	1	3
150	для себя	6	3
151	и это	3	3
152	данном случае	2	3
153	и сам	5	3
154	с собой	2	3
155	с ним	7	3
156	ничего не	5	3
157	но мы	1	3
158	и только	2	3
159	все время	3	3
160	мышление и	1	3
161	одной из	3	3
162	но не	4	3
163	это же	1	3
164	в следующем	1	3
165	вернуться к	1	3
166	из них	2	3
167	для него	5	3
168	со стороны	3	3
169	а не	14	3
170	в данном	2	3
171	только для	2	3
172	которых он	1	3
173	не существует	1	3
174	об отношении	1	3
175	или в	3	3
176	и все	7	3
177	лежит в	1	3
178	бы с	2	3
179	к этой	1	3
180	тем самым	2	3
181	том числе	1	3
182	также и	1	2
183	же как	2	2
184	в котором	6	2
185	все те	2	2
186	той же	2	2
187	что между	1	2
188	что если	1	2
189	говорить о	2	2
190	принадлежит к	1	2
191	и самого	1	2
192	столь же	3	2
193	во всех	1	2
194	то он	1	2
195	не то	1	2
196	только тогда	1	2
197	друг от	1	2
198	нет и	1	2
199	за пределы	1	2
200	отнюдь не	2	2
201	в течение	1	2
202	наряду с	5	2
203	ней в	1	2
204	перед нами	11	2
205	в полном	1	2
206	как уже	2	2
207	его к	1	2
208	следующим образом	3	2
209	самое важное	1	2
210	от этого	1	2
211	за собой	1	2
212	представляет собой	1	2
213	раз в	3	2
214	в себе	9	2
215	в мышлении	1	2
216	но ведь	1	2
217	всей его	1	2
218	роли в	2	2
219	не следует	1	2
220	же это	1	2
221	в силу	1	2
222	из виду	1	2
223	и более	1	2
224	подобно тому	4	2
225	в другом	2	2
226	в поведении	1	2
227	с такой	2	2
228	иначе говоря	1	2
229	в один	1	2
230	и тогда	2	2
231	в этих	3	2
232	том же	1	2
233	с уверенностью	1	2
234	всякий раз	3	2
235	стало быть	1	2
236	нас к	1	2
237	и другое	1	2
238	от жизни	1	2
239	не могло	1	2
240	для всего	1	2
241	на язык	1	2
242	учения о	1	2
243	этих двух	1	2
244	к ней	2	2
245	и теперь	1	2
246	следует что	1	2
247	что на	3	2
248	к себе	3	2
249	во все	1	2
250	но все	1	2
251	в других	4	2
252	как только	3	2
253	же самое	3	2
254	его с	1	2
255	той или	1	2
256	говоря словами	1	2
257	с ее	5	2
258	от друга	1	2
259	в себя	1	2
260	не возникает	1	2
261	на том	1	2
262	когда в	3	2
263	как у	2	2
264	можно сказать	6	2
265	а также	2	2
266	нас в	1	2
267	в его	11	2
268	что и	4	2
269	в другой	1	2
270	к личности	1	2
271	жизни он	2	2
272	о своих	1	2
273	как например	1	2
274	его внутренней	1	2
275	приведенных выше	1	2
276	и тем	1	2
277	теперь в	2	2
278	и других	1	2
279	на одном	1	2
280	в одном	3	2
281	у него	5	2
282	тем что	6	2
283	от того	1	2
284	известно о	1	2
285	не понимают	1	2
286	были бы	1	2
287	или иной	2	2
288	именно в	2	2
289	с ней	1	2
290	и составляет	2	2
291	на которых	1	2
292	человека к	1	2
