N	3gram	Tiupa_Anal_1	Problemy
1	и т п	3	9
2	с точки зрения	4	8
3	до сих пор	1	7
4	по отношению к	5	5
5	сам по себе	1	5
6	то же время	6	5
7	в то же	8	5
8	и не может	4	4
9	в отличие от	6	4
10	не может быть	16	4
11	друг с другом	1	4
12	в самом деле	2	4
13	в той или	3	3
14	более или менее	1	3
15	к тому же	4	3
16	как мы увидим	1	3
17	с другой стороны	2	3
18	но в то	2	3
19	той или иной	6	3
20	с самим собой	1	3
21	как и в	1	3
22	в художественном творчестве	1	2
23	в этом смысле	1	2
24	том что он	2	2
25	как раз и	1	2
26	и та же	1	2
27	того и другого	2	2
28	как если бы	1	2
29	в том или	2	2
30	и то же	1	2
31	одно и то	1	2
32	одна и та	1	2
33	я не могу	1	2
34	от автора и	1	2
35	о том как	1	1
36	но прежде всего	1	1
37	если в самом	1	1
38	обойтись без другого	1	1
39	не одного только	1	1
40	а вовсе не	1	1
41	прежде всего в	1	1
42	как бы не	1	1
43	а с целью	1	1
44	большей или меньшей	4	1
45	в этом последнем	1	1
46	также и в	1	1
47	в том числе	3	1
48	в том и	2	1
49	то же самое	2	1
50	в том же	1	1
51	по крайней мере	1	1
52	на том или	1	1
53	в таком случае	3	1
54	сами по себе	2	1
55	в этом сознании	1	1
56	бы то ни	3	1
57	но и в	2	1
58	между тем как	1	1
59	так как если	1	1
60	в собственном смысле	1	1
61	том числе и	1	1
62	том или ином	3	1
63	и не в	4	1
64	вследствие чего она	1	1
65	с другим чужим	1	1
66	но в таком	1	1
67	может служить и	1	1
68	не в его	1	1
69	то ни было	3	1
70	время оно и	1	1
71	не о том	2	1
72	с одной стороны	3	1
73	смысле этого слова	1	1
74	в связи с	1	1
75	в той же	1	1
76	таком случае это	1	1
77	в равной степени	2	1
78	же время оно	1	1
79	отношение между ними	1	1
80	в большей или	1	1
81	или меньшей степени	1	1
82	с ним как	1	1
83	все же не	1	1
84	это возможно в	1	1
85	в рассказе и	1	1
86	ни на что	1	1
87	или иной форме	1	1
88	собственном смысле слова	1	1
89	во всяком случае	1	1
90	приходится прибегать к	1	1
91	в произведении и	1	1
92	самом деле в	1	1
93	о том что	3	1
94	в душевной жизни	1	1
95	слова о нем	1	1
96	этой точки зрения	1	1
97	никогда не бывает	1	1
98	он не есть	1	1
99	конечно далеко не	1	1
100	части нашей работы	1	1
101	в том что	9	1
102	в процессе его	1	1
