N	3gram	Tiupa_Lite_1	Vvedenie
1	в том что	11	12
2	о том что	2	12
3	не может быть	1	8
4	тем не менее	2	8
5	до сих пор	1	6
6	в самом деле	1	6
7	то же время	5	6
8	в то же	5	6
9	в той мере	1	5
10	с другой стороны	1	5
11	по отношению к	2	4
12	в этом отношении	2	4
13	можно было бы	1	4
14	по крайней мере	1	4
15	в данном случае	4	4
16	не только в	4	4
17	и в этом	1	4
18	так или иначе	8	4
19	во всяком случае	2	4
20	с одной стороны	2	4
21	в конечном итоге	1	3
22	но в то	1	3
23	но все же	1	3
24	на том что	1	2
25	в другом месте	1	2
26	состоит в том	5	2
27	дело в том	2	2
28	не говоря уже	2	2
29	подобно тому как	2	2
30	во второй половине	1	2
31	в соответствии с	1	2
32	с точки зрения	2	2
33	на задний план	1	2
34	в начале xix	1	2
35	в связи с	4	2
36	в целом ряде	1	2
37	а также и	1	2
38	по этому поводу	1	2
39	это еще не	1	2
40	и того же	1	1
41	тех пор пока	1	1
42	только потому что	1	1
43	как уже говорилось	1	1
44	мы имеем дело	1	1
45	прежде всего в	3	1
46	теми или иными	1	1
47	может быть названа	1	1
48	как один из	1	1
49	и как раз	1	1
50	на самом деле	1	1
51	во многих случаях	1	1
52	в том же	3	1
53	может быть назван	1	1
54	дело не только	2	1
55	как это было	1	1
56	в лучшем случае	1	1
57	говоря уже о	1	1
58	в отличие от	5	1
59	по тому же	1	1
60	только в том	2	1
61	только то что	1	1
62	себе самому и	1	1
63	том или ином	1	1
64	и я и	4	1
65	том что не	1	1
66	в этом качестве	1	1
67	с этой точки	3	1
68	ту или иную	2	1
69	и то что	2	1
70	в духовной жизни	1	1
71	в зависимости от	1	1
72	на эту тему	1	1
73	а не только	1	1
74	то ни было	1	1
75	платона и аристотеля	1	1
76	одним из наиболее	2	1
77	какой бы то	1	1
78	в момент своего	1	1
79	бы то ни	1	1
80	хотя бы на	1	1
81	прежде всего разумеется	1	1
82	тем что в	1	1
83	на вопрос что	1	1
84	перед собой задачу	1	1
85	этой точки зрения	3	1
86	в целом но	2	1
87	различие между ними	1	1
88	в тексте не	1	1
89	до тех пор	1	1
90	имел в виду	1	1
91	с различной степенью	1	1
92	в свою очередь	1	1
93	с самого начала	1	1
94	и прежде всего	3	1
95	в тексте этого	1	1
96	было бы именовать	1	1
97	одного и того	1	1
98	языка на котором	1	1
99	но в силу	1	1
100	естественно не мог	1	1
101	все же в	2	1
102	из того что	2	1
103	друг для друга	2	1
104	как мы знаем	1	1
