N	3gram	Vygotskiy__2	PoTuStor
1	с точки зрения	18	6
2	по ту сторону	2	4
3	на самом деле	2	4
4	с самого начала	1	4
5	в этом смысле	2	3
6	до сих пор	1	3
7	по сравнению с	5	3
8	во всяком случае	6	3
9	не может быть	6	3
10	можно сказать что	1	3
11	из тех же	1	2
12	на этой ступени	1	2
13	друг на друга	1	2
14	так же как	1	2
15	в самом деле	4	2
16	не могут быть	1	2
17	в переводе на	1	2
18	о том что	4	2
19	в конечном счете	4	2
20	если бы он	1	1
21	не следует что	1	1
22	дело в том	1	1
23	мы имеем в	1	1
24	и социального в	1	1
25	имеем в виду	1	1
26	подобно тому как	2	1
27	то же самое	2	1
28	на первый план	1	1
29	ни в коем	1	1
30	бы то ни	1	1
31	в области психологии	1	1
32	в этом отношении	3	1
33	совершенно так же	1	1
34	можно было бы	5	1
35	рано или поздно	1	1
36	как со стороны	1	1
37	только для того	1	1
38	полном согласии с	1	1
39	в коем случае	1	1
40	так как он	1	1
41	находится во власти	1	1
42	в данном случае	3	1
43	то ни было	1	1
44	шаг за шагом	1	1
45	с одной стороны	7	1
46	в высшей степени	7	1
47	в этом нет	1	1
48	в связи с	6	1
49	в применении к	1	1
50	а с другой	4	1
51	может быть сделан	1	1
52	с ним и	1	1
53	но вместе с	1	1
54	во всей их	1	1
55	в свое время	1	1
56	в том что	21	1
57	на вопрос о	2	1
58	вернулись к тому	1	1
59	центральный пункт всего	1	1
60	этой точки зрения	1	1
61	а вместе с	1	1
62	вместе с ним	3	1
63	мы не можем	3	1
64	как часть социального	1	1
65	в некоторых отношениях	1	1
66	неизбежно приходим к	1	1
67	связи с этим	1	1
68	и теперь в	1	1
69	решающее для всей	1	1
70	по его мнению	1	1
71	или во всяком	2	1
72	часть социального целого	1	1
73	его мысли и	1	1
74	это самое важное	1	1
75	и притом чисто	1	1
76	таким образом и	1	1
77	в полном согласии	1	1
78	в том смысле	1	1
79	что в них	1	1
80	друг с другом	2	1
81	на всю жизнь	1	1
82	для того чтобы	10	1
83	мы увидим что	2	1
84	той или иной	1	1
85	он прежде всего	1	1
86	для всех других	1	1
