N	3gram	Tiupa_Teor_1	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	3	6
3	более или менее	2	5
4	в том числе	2	5
5	по крайней мере	1	5
6	а с другой	2	5
7	для того чтобы	1	5
8	о том что	1	4
9	том числе и	1	4
10	так или иначе	4	3
11	точно так же	1	3
12	так же как	1	3
13	в связи с	1	3
14	тем не менее	3	3
15	в том что	8	3
16	области духовной культуры	1	2
17	и потому что	1	2
18	то же самое	1	2
19	те и другие	1	2
20	заключает в себе	1	2
21	то или иное	1	2
22	может быть и	2	2
23	то ни было	1	2
24	бы то ни	1	2
25	то же время	5	2
26	той или иной	1	2
27	можно сказать что	2	2
28	есть как бы	1	2
29	в то же	5	2
30	и те и	1	2
31	каждая из этих	1	1
32	и в сущности	1	1
33	и того же	3	1
34	в слове о	2	1
35	а между тем	1	1
36	состоит в том	5	1
37	одном и том	1	1
38	иметь в виду	1	1
39	по отношению к	4	1
40	имеем в виду	3	1
41	одного и того	3	1
42	в соответствии с	2	1
43	в области духовной	1	1
44	и в то	1	1
45	до известной степени	2	1
46	в одном и	1	1
47	вследствие того что	1	1
48	при этом не	1	1
49	том или ином	1	1
50	при этом может	1	1
51	случае мы имеем	1	1
52	в том или	1	1
53	слове о полку	2	1
54	в данном случае	5	1
55	неизбежно заключает в	1	1
56	в первом случае	1	1
57	но в то	1	1
58	как видно из	1	1
59	и том же	1	1
60	в отличие от	6	1
61	и в этой	1	1
62	в ритмическом отношении	1	1
63	о полку игореве	2	1
64	еще и потому	1	1
65	тем или иным	1	1
66	с другой стороны	5	1
67	как бы в	1	1
68	не совпадает с	1	1
69	а в том	1	1
70	только то что	1	1
71	но не с	1	1
72	не может быть	4	1
73	что даже в	1	1
74	к чему не	1	1
75	в то время	1	1
76	в свою очередь	2	1
77	тем и другим	1	1
78	ни к чему	1	1
79	не только не	2	1
80	мы имеем в	3	1
81	как и ее	1	1
82	именно потому что	1	1
