N	3gram	Berdyaev_N_1	Tvorches
1	в том что	1	6
2	о том что	1	5
3	не только в	1	2
4	в наше время	3	2
5	в свою противоположность	1	2
6	переходит в свою	1	2
7	от других людей	1	2
8	с одной стороны	2	1
9	это значит что	1	1
10	по своему духовному	1	1
11	добро и зло	1	1
12	как и в	1	1
13	заключает в себе	1	1
14	потому что не	1	1
15	равно как и	2	1
16	с другой стороны	2	1
17	других людей и	1	1
18	до этого быть	1	1
19	до сих пор	1	1
20	в отличие от	1	1
21	быть понята как	1	1
22	не менее чем	1	1
23	и того же	1	1
24	я не могу	1	1
25	но она не	1	1
26	к этой теме	1	1
27	он не может	2	1
28	не значит что	3	1
29	то что в	1	1
30	к вопросу о	1	1
31	исторической эпохи и	2	1
32	прежде всего они	1	1
33	не могут быть	1	1
34	одного и того	1	1
35	в известном смысле	1	1
36	вместе с тем	2	1
37	он создает себе	1	1
38	от жизни в	1	1
39	века с ее	1	1
40	сами по себе	1	1
41	это не значит	2	1
42	людей и от	1	1
