N	2gram	Potebnia_M_2	Myshleni
1	речи и	1	28
2	таким образом	11	26
3	в том	18	24
4	и в	24	23
5	том что	8	21
6	в целом	3	20
7	с точки	1	18
8	в этом	8	17
9	того чтобы	2	17
10	то что	20	17
11	не только	15	16
12	так же	2	16
13	того что	7	15
14	для того	5	15
15	как и	7	14
16	может быть	23	14
17	но и	9	14
18	в его	2	14
19	что в	16	14
20	в развитии	1	12
21	не может	12	12
22	сказать что	2	11
23	как бы	9	11
24	с другой	6	10
25	прежде всего	7	10
26	внутренней речи	1	9
27	и с	1	9
28	между тем	6	9
29	одной стороны	3	9
30	другой стороны	2	9
31	же точно	1	9
32	вместе с	11	9
33	и не	19	9
34	человеческой речи	5	8
35	то же	12	8
36	мысли к	2	8
37	заключается в	1	8
38	в ходе	1	8
39	самого начала	2	8
40	в процессе	1	8
41	с самого	2	8
42	и на	8	8
43	с одной	4	8
44	мы не	11	7
45	вопрос о	2	7
46	по отношению	2	7
47	в самом	4	7
48	в другом	2	7
49	с тем	4	7
50	в то	6	7
51	мыслью и	1	7
52	так как	10	7
53	что он	4	7
54	все это	2	6
55	столь же	5	6
56	независимо от	9	6
57	с этим	7	6
58	могли бы	2	6
59	в себе	10	6
60	лишь в	1	6
61	и тем	3	6
62	с этой	1	6
63	по сравнению	1	6
64	мысли и	1	6
65	и его	2	6
66	взрослого человека	1	6
67	о том	5	6
68	связь между	2	6
69	только в	11	6
70	между этими	1	6
71	мы можем	12	6
72	тем что	7	6
73	от того	5	6
74	именно в	1	6
75	потому что	49	6
76	собственном смысле	1	5
77	сравнению с	1	5
78	из того	1	5
79	между собой	1	5
80	бы в	2	5
81	в собственном	2	5
82	перед нами	1	5
83	и как	6	5
84	но в	4	5
85	то время	4	5
86	на то	5	5
87	он не	1	5
88	и более	1	5
89	на основании	1	5
90	представить себе	1	5
91	если бы	11	5
92	тем самым	4	5
93	по себе	15	5
94	тому что	2	5
95	значение слова	1	5
96	мысли в	3	5
97	по своей	1	5
98	как мы	1	5
99	что может	2	5
100	и что	4	5
101	можно сказать	1	5
102	так и	5	5
103	что для	3	5
104	ребенка и	1	5
105	слова и	3	5
106	что мы	11	5
107	и все	3	5
108	тем более	1	5
109	мы должны	2	5
110	в какой	2	5
111	в своих	1	5
112	в котором	4	4
113	к известному	1	4
114	которую мы	1	4
115	время как	4	4
116	в чем	7	4
117	с его	2	4
118	но не	12	4
119	как в	10	4
120	все остальные	5	4
121	все эти	2	4
122	что она	3	4
123	при этом	13	4
124	отношений между	3	4
125	их в	2	4
126	что все	2	4
127	было бы	13	4
128	ни в	1	4
129	не столько	2	4
130	не в	13	4
131	но вместе	2	4
132	к тому	1	4
133	должен быть	1	4
134	для себя	1	4
135	по мере	5	4
136	мы видим	2	4
137	только что	3	4
138	для всех	1	4
139	в одном	6	4
140	до сих	4	4
141	а с	2	4
142	в психологическом	1	4
143	мысль с	1	4
144	этого слова	6	4
145	сих пор	4	4
146	от мысли	1	4
147	хотя бы	2	4
148	в свою	6	4
149	к этому	2	4
150	как на	3	4
151	отношения к	2	3
152	человека и	3	3
153	в такой	1	3
154	сам по	4	3
155	и то	3	3
156	связи между	1	3
157	самом деле	2	3
158	с таким	3	3
159	полагает что	3	3
160	мы называем	3	3
161	оба эти	2	3
162	мы и	1	3
163	в их	1	3
164	ответ на	1	3
165	в общем	2	3
166	друг от	1	3
167	что они	5	3
168	которые не	3	3
169	нашего сознания	1	3
170	в одной	1	3
171	что именно	1	3
172	многое из	1	3
173	все же	5	3
174	в которой	5	3
175	что это	3	3
176	он в	1	3
177	из этих	4	3
178	речи но	1	3
179	как он	4	3
180	в наших	1	3
181	друг другу	1	3
182	и если	4	3
183	всех остальных	1	3
184	том чтобы	1	3
185	факт что	2	3
186	его не	3	3
187	на все	3	3
188	между отдельными	1	3
189	на две	2	3
190	такой же	4	3
191	в которых	1	3
192	должны были	1	3
193	всего его	1	3
194	тогда когда	10	3
195	в самых	1	3
196	не могло	1	3
197	ничего не	1	3
198	во всем	2	3
199	в каком	3	3
200	необходимо предполагает	1	3
201	могут быть	8	3
202	что оно	4	3
203	и это	2	3
204	от друга	1	3
205	свою очередь	6	3
206	об этом	1	3
207	одного из	1	3
208	этих двух	1	3
209	и следовательно	2	3
210	которое мы	3	3
211	который в	1	3
212	связи с	6	3
213	уже в	5	3
214	то и	9	3
215	и других	2	3
216	всяком случае	7	3
217	мы находим	2	3
218	вовсе не	9	3
219	в природе	5	3
220	во всех	7	3
221	превращается в	2	3
222	а не	18	3
223	ко всем	2	3
224	смысле этого	3	3
225	только для	5	3
226	если не	4	3
227	с мы	1	3
228	и от	3	3
229	сознания и	1	3
230	с действительно	1	3
231	в исследовании	1	3
232	от всех	1	3
233	во всяком	7	3
234	книги в	1	2
235	он может	1	2
236	тех же	1	2
237	но тем	3	2
238	между двумя	6	2
239	и до	1	2
240	не вижу	1	2
241	если к	1	2
242	той же	3	2
243	есть не	5	2
244	существенным признаком	1	2
245	что между	1	2
246	что если	6	2
247	бы что	2	2
248	само слово	1	2
249	оно есть	1	2
250	которое не	1	2
251	с мыслью	1	2
252	что его	3	2
253	в ее	1	2
254	со всеми	1	2
255	только тогда	3	2
256	который мы	1	2
257	себе и	1	2
258	несколько более	1	2
259	за пределы	2	2
260	чем мы	1	2
261	что как	1	2
262	иначе чем	1	2
263	хотя и	3	2
264	и понимания	1	2
265	и наконец	1	2
266	в противоположность	1	2
267	от этого	1	2
268	бы и	1	2
269	в нашем	2	2
270	нами в	1	2
271	главным образом	4	2
272	а скорее	2	2
273	всех этих	2	2
274	свою собственную	1	2
275	он должен	1	2
276	не к	1	2
277	быть с	1	2
278	одной и	2	2
279	на этом	2	2
280	одно и	2	2
281	но все	2	2
282	значительной степени	1	2
283	том же	1	2
284	к другу	1	2
285	из всех	1	2
286	что мысль	1	2
287	с другими	5	2
288	вопрос и	1	2
289	в них	5	2
290	мы видели	1	2
291	должно быть	2	2
292	звуком и	3	2
293	в этих	3	2
294	и при	3	2
295	место между	1	2
296	одном из	4	2
297	и той	2	2
298	и эти	1	2
299	того кто	3	2
300	с развитием	1	2
301	эта мысль	1	2
302	что с	2	2
303	есть прежде	2	2
304	не имеет	6	2
305	дело в	1	2
306	того как	7	2
307	к этим	1	2
308	никогда не	4	2
309	слова так	2	2
310	слова как	1	2
311	же время	2	2
312	что звук	1	2
313	на него	3	2
314	начиная с	1	2
315	ничего кроме	1	2
316	про себя	1	2
317	бы он	1	2
318	его звуком	1	2
319	на вопрос	3	2
320	во-вторых в	1	2
321	мы думаем	1	2
322	что у	2	2
323	понимание и	1	2
324	на нее	1	2
325	не с	3	2
326	поэтому в	1	2
327	мысли которая	1	2
328	на их	1	2
329	и поэтому	2	2
330	от них	3	2
331	и болезнь	1	2
332	вслед за	3	2
333	в ту	1	2
334	если это	2	2
335	он что	1	2
336	один из	2	2
337	процессов в	1	2
338	звук и	6	2
339	человека с	1	2
340	которые мы	3	2
341	уже не	4	2
342	всеми остальными	1	2
343	в известном	1	2
344	одно из	3	2
345	к мысли	2	2
346	для него	10	2
347	всю мысль	1	2
348	в известной	1	2
349	заметить что	6	2
350	не хотим	1	2
351	чтобы показать	1	2
352	его мысли	1	2
353	в немногих	1	2
354	на ее	1	2
355	по всей	1	2
356	если мы	3	2
357	связано с	2	2
358	чтобы убедиться	1	2
359	в стороне	1	2
360	которых мы	3	2
361	в слове	13	2
362	и слово	1	2
363	под влиянием	8	2
364	виде в	1	2
365	и потому	2	2
366	как это	2	2
367	человека к	1	2
368	его на	2	2
369	при переходе	1	2
370	психология не	1	2
371	в течение	1	2
372	в словах	3	2
373	там где	4	2
374	в состоянии	6	2
375	внешнего мира	4	2
376	мысли но	2	2
377	мы только	1	2
378	о котором	2	2
379	психологии есть	1	2
380	как явление	1	2
381	указывает на	2	2
382	в связь	1	2
383	а в	8	2
384	между ними	2	2
385	занимает в	1	2
386	жизни и	1	2
387	ее в	1	2
388	можно назвать	2	2
389	эту последнюю	1	2
390	не иначе	1	1
391	ту же	1	1
392	нас более	1	1
393	и т	6	1
394	одним из	1	1
395	например в	3	1
396	представляется вопрос	1	1
397	на самом	2	1
398	значении этого	1	1
399	переход от	1	1
400	этого последнего	3	1
401	бы для	1	1
402	нам кажется	4	1
403	по которым	1	1
404	или по	2	1
405	которое выражается	2	1
406	не имеют	2	1
407	от всяких	1	1
408	чем именно	1	1
409	во-первых в	1	1
410	с в	2	1
411	мы уже	1	1
412	от своего	1	1
413	чувства которые	1	1
414	связаны между	1	1
415	подумать что	1	1
416	только это	1	1
417	будет искать	1	1
418	принадлежит к	1	1
419	и другая	1	1
420	но даже	3	1
421	то это	3	1
422	для нашей	1	1
423	которое заставляет	1	1
424	же что	3	1
425	себе что	1	1
426	последней в	1	1
427	не исчезнет	1	1
428	к общему	4	1
429	в ней	3	1
430	на другом	2	1
431	столько же	1	1
432	в отличие	1	1
433	еще не	4	1
434	на них	1	1
435	пример того	1	1
436	быть в	1	1
437	стороны если	1	1
438	одного предмета	1	1
439	только после	2	1
440	друг к	1	1
441	итак мы	1	1
442	когда становится	1	1
443	мысли если	1	1
444	могло быть	1	1
445	относительно поздно	1	1
446	которые связаны	1	1
447	мы будем	1	1
448	не то	2	1
449	в сторону	1	1
450	очевидно что	3	1
451	по направлению	2	1
452	можем не	1	1
453	что так	1	1
454	отличие от	1	1
455	значение для	1	1
456	сама по	2	1
457	один и	1	1
458	случаев но	1	1
459	это самое	2	1
460	в истории	1	1
461	что во	2	1
462	если она	1	1
