N	4gram	Vinokur_Ku_3	Vvedenie
1	в то же время	1	6
2	той мере в какой	1	5
3	и т д но	1	5
4	в той мере в	1	5
5	и в самом деле	3	3
6	и тем не менее	3	3
7	в том отношении что	1	3
8	заключается в том что	1	2
9	одной и той же	1	2
10	но также и в	1	2
11	только после того как	2	1
12	уже само по себе	1	1
13	без особых пояснений понятно	1	1
14	и в этом ее	1	1
15	в том-то и дело	1	1
16	заключается не только в	1	1
17	в той или иной	2	1
18	уже о том что	1	1
19	том-то и дело что	1	1
20	в собственном смысле слова	1	1
21	с этой точки зрения	1	1
22	и т д и	1	1
23	языковедение в свое время	1	1
24	было до сих пор	1	1
25	говоря уже о том	1	1
26	то же самое что	1	1
27	на этот вопрос мы	1	1
28	лишь как указание на	1	1
29	уже не только как	1	1
30	вовсе не в том	1	1
31	не говоря уже о	2	1
32	в том чтобы выяснить	1	1
33	было бы сказать что	3	1
34	особых пояснений понятно что	1	1
35	той или иной степени	1	1
36	заключается вовсе не в	1	1
37	научное языковедение в свое	1	1
38	собственном смысле этого слова	1	1
39	в том что не	2	1
40	одного и того же	2	1
41	не только в том	1	1
42	в самом деле как	1	1
43	обратить внимание на те	1	1
44	до тех пор пока	4	1
45	ответа на этот вопрос	1	1
