N	2gram	Bakhtin_Pr_3	Problema
1	то что	11	42
2	вовсе не	11	35
3	то есть	1	33
4	и в	34	32
5	и не	29	31
6	есть ее	1	24
7	не просто	1	23
8	в этом	16	19
9	не менее	3	19
10	тем не	2	18
11	не только	10	17
12	потому что	12	16
13	в себе	6	15
14	по себе	3	15
15	в виде	4	15
16	а не	9	15
17	но в	16	14
18	может быть	19	14
19	как бы	27	14
20	в нем	19	13
21	как раз	4	13
22	сказать что	2	13
23	том что	3	12
24	что в	7	12
25	так и	6	12
26	и т	8	11
27	также и	1	11
28	есть нечто	1	11
29	так как	4	11
30	о том	2	11
31	и даже	7	11
32	то же	14	10
33	отнюдь не	2	10
34	в этой	1	10
35	т д	2	10
36	об этом	1	10
37	ничего не	4	10
38	прежде всего	15	10
39	нет ничего	1	10
40	еще не	4	9
41	но не	4	9
42	раз и	3	9
43	того чтобы	1	9
44	и это	4	9
45	и что	5	9
46	но и	12	9
47	по своему	3	9
48	в данном	1	9
49	что же	8	9
50	в том	3	9
51	так же	8	9
52	и о	1	8
53	и ее	2	8
54	и на	6	8
55	все эти	4	8
56	на то	1	8
57	для того	1	8
58	было бы	2	8
59	он и	5	8
60	в своей	3	8
61	когда мы	1	8
62	есть только	3	8
63	данном случае	1	8
64	даже и	4	8
65	не может	19	8
66	но это	4	8
67	во всех	2	7
68	тоже не	1	7
69	всех этих	2	7
70	ни в	4	7
71	в них	2	7
72	как мы	7	7
73	здесь не	1	7
74	никогда не	8	7
75	того что	5	7
76	что он	23	7
77	только в	6	7
78	тем что	4	7
79	все это	16	7
80	и все	19	7
81	во всяком	5	7
82	и то	3	6
83	самом деле	13	6
84	на самом	11	6
85	говорить о	3	6
86	но как	4	6
87	за пределы	2	6
88	и как	3	6
89	в самом	8	6
90	и если	2	6
91	при этом	4	6
92	его в	4	6
93	это не	5	6
94	что такое	2	6
95	как символ	3	6
96	в то	12	6
97	таким образом	5	6
98	в виду	3	6
99	в его	22	6
100	этом смысле	4	6
101	так что	5	6
102	в конце	5	6
103	о чем	2	6
104	хотя и	3	6
105	мы уже	6	5
106	она есть	1	5
107	в своем	2	5
108	перед нами	1	5
109	не являются	1	5
110	то в	2	5
111	но уже	1	5
112	все равно	4	5
113	далеко не	3	5
114	с тем	5	5
115	в котором	3	5
116	связи с	1	5
117	ни о	1	5
118	той или	2	5
119	можно сказать	1	5
120	в других	1	5
121	или иной	2	5
122	еще и	1	5
123	не знал	2	5
124	не является	2	5
125	мы должны	5	5
126	функции в	3	4
127	в их	1	4
128	мы и	2	4
129	совсем не	3	4
130	с которыми	2	4
131	сама по	2	4
132	как в	4	4
133	как он	3	4
134	после этого	1	4
135	их в	3	4
136	что тут	1	4
137	входит в	2	4
138	он есть	2	4
139	мы говорили	1	4
140	не в	9	4
141	тому что	2	4
142	и весь	1	4
143	а в	5	4
144	в дальнейшем	1	4
145	не говоря	1	4
146	если бы	4	4
147	никак не	1	4
148	и только	2	4
149	один из	2	4
150	д и	1	4
151	только на	4	4
152	мы можем	1	4
153	именно как	1	4
154	и пр	1	4
155	не было	2	4
156	если не	3	4
157	и вообще	2	4
158	ни на	1	4
159	и для	8	4
160	или в	1	4
161	и ни	1	4
162	конце концов	3	4
163	не хочет	2	3
164	но она	1	3
165	того же	2	3
166	в чем	5	3
167	без которого	1	3
168	сказать и	1	3
169	в ее	3	3
170	что они	6	3
171	анализ этого	1	3
172	с этим	2	3
173	что это	5	3
174	но он	3	3
175	но ведь	1	3
176	да и	4	3
177	но именно	2	3
178	он не	15	3
179	но все	5	3
180	что все	4	3
181	же касается	1	3
182	или на	1	3
183	в жизни	2	3
184	как и	18	3
185	несмотря на	1	3
186	на этот	1	3
187	нисколько не	2	3
188	что значит	2	3
189	в этих	1	3
190	точки зрения	8	3
191	с точки	4	3
192	в которых	2	3
193	есть еще	1	3
194	в отношении	9	3
195	знал что	2	3
196	что вы	2	3
197	только не	1	3
198	или как	2	3
199	и его	16	3
200	как будто	7	3
201	и делает	2	3
202	к тому	5	3
203	что оно	2	3
204	для себя	6	3
205	говорит и	1	3
206	можно было	1	3
207	ясно что	1	3
208	для этого	3	3
209	о нем	2	3
210	что его	3	3
211	к нему	14	3
212	и во	3	3
213	во всей	1	3
214	что здесь	1	3
215	будь то	1	3
216	мы увидим	2	3
217	же и	2	3
218	уже не	2	3
219	уже в	3	3
220	из них	5	3
221	говорит о	2	3
222	всяком случае	5	3
223	случае не	1	3
224	до сих	1	3
225	с другой	4	3
226	таком выражении	1	3
227	а наоборот	1	3
228	оно не	1	3
229	что не	7	3
230	в символ	1	3
231	сейчас же	1	3
232	быть и	2	3
233	сих пор	1	3
234	только для	1	3
235	от нас	1	3
236	но для	3	3
237	пока еще	2	3
238	хотя бы	5	3
239	с ним	8	3
240	или не	1	3
241	хотя в	1	3
242	может и	1	3
243	другой стороны	3	3
244	себе не	1	3
245	себе но	1	3
246	я и	2	2
247	ли вы	6	2
248	например в	2	2
249	мы здесь	1	2
250	и потому	2	2
251	в первом	1	2
252	по преимуществу	1	2
253	и до	1	2
254	по его	1	2
255	из подполья	36	2
256	и ничего	1	2
257	что если	1	2
258	слово о	7	2
259	в сущности	11	2
260	на себя	1	2
261	сказать о	1	2
262	себе что	1	2
263	собою и	4	2
264	он сам	5	2
265	с его	6	2
266	то он	1	2
267	не то	2	2
