N	2gram	Trubetskoy_1	Komedia
1	и в	14	22
2	том что	9	12
3	в том	17	11
4	но и	10	11
5	в то	10	10
6	не только	9	10
7	из них	3	10
8	как и	4	9
9	и т	3	9
10	может быть	9	9
11	таким образом	11	8
12	должны были	1	8
13	и не	19	8
14	о том	7	8
15	в этой	4	7
16	и других	1	7
17	в которой	1	6
18	в конце	3	6
19	а в	5	6
20	не в	4	6
21	что в	4	6
22	то же	11	6
23	к тому	7	6
24	тому же	1	6
25	ни в	2	6
26	что он	6	6
27	одного из	1	6
28	и по	3	6
29	о которых	3	5
30	на его	1	5
31	когда же	1	5
32	так и	1	5
33	потому что	5	5
34	в истории	1	5
35	между тем	5	5
36	и даже	2	5
37	в его	4	5
38	прежде всего	8	5
39	один из	1	5
40	при этом	5	5
41	с другой	1	5
42	все это	6	5
43	во время	2	5
44	и вот	2	4
45	же время	10	4
46	в другом	3	4
47	конце концов	3	4
48	точки зрения	11	4
49	в нем	5	4
50	в их	4	4
51	к этому	1	4
52	на него	1	4
53	но в	2	4
54	как мы	1	4
55	в качестве	3	4
56	что они	3	4
57	тем что	3	4
58	в котором	2	4
59	ясно что	2	4
60	именно в	3	4
61	что и	3	4
62	мы можем	2	4
63	в результате	2	4
64	в политическом	1	4
65	несмотря на	3	4
66	так как	4	4
67	участие в	2	4
68	главным образом	3	3
69	все же	4	3
70	и с	7	3
71	в свои	1	3
72	их к	2	3
73	вопрос о	5	3
74	место в	2	3
75	одной из	3	3
76	так же	2	3
77	отношению к	1	3
78	чаще всего	1	3
79	не менее	1	3
80	и все	1	3
81	на то	5	3
82	в виде	3	3
83	и у	1	3
84	всего в	1	3
85	в сознании	3	3
86	даже в	1	3
87	к которому	1	3
88	мы не	1	3
89	как это	1	3
90	могут быть	1	3
91	казалось бы	1	3
92	его в	4	3
93	в течение	2	3
94	здесь мы	1	3
95	в начале	2	3
96	не удалось	1	3
97	по отношению	2	3
98	идет о	1	3
99	в этом	17	3
100	и о	2	3
101	да и	3	3
102	на основании	2	3
103	только в	5	3
104	у него	2	3
105	же как	1	3
106	по своему	1	3
107	этом отношении	1	3
108	и на	5	3
109	он не	5	3
110	в частности	2	3
111	и как	3	3
112	речь идет	2	3
113	для всех	6	2
114	что по	1	2
115	в себе	9	2
116	во всяком	9	2
117	если они	2	2
118	тех же	1	2
119	бы то	4	2
120	того же	1	2
121	в состоянии	1	2
122	именно на	2	2
123	не может	22	2
124	даже не	2	2
125	для себя	2	2
126	еще и	1	2
127	для них	3	2
128	вовсе не	1	2
129	только при	1	2
130	что к	1	2
131	к нему	2	2
132	сих пор	5	2
133	внешней политики	1	2
134	и теперь	1	2
135	и во	3	2
136	не следует	1	2
137	на такое	1	2
138	до сих	5	2
139	и без	1	2
140	то и	1	2
141	между прочим	1	2
142	ли это	4	2
143	в принципе	1	2
144	как видно	1	2
145	по своей	1	2
146	но не	4	2
147	из всего	1	2
148	путь к	4	2
149	вместе с	4	2
150	только один	1	2
151	что касается	1	2
152	в сущности	1	2
153	в себя	1	2
154	к ней	1	2
155	то что	13	2
156	из которых	5	2
157	на все	1	2
158	видно из	1	2
159	которых мы	1	2
160	в других	2	2
161	мог бы	1	2
162	с ее	1	2
163	ее в	2	2
164	что у	1	2
165	или в	3	2
166	то ни	4	2
167	даже если	2	2
168	до самого	1	2
169	в силу	2	2
170	на нем	1	2
171	время когда	2	2
172	всяком случае	6	2
173	со своей	1	2
174	этой цели	1	2
175	тем не	1	2
176	видеть в	2	2
177	или менее	4	2
178	было только	1	2
179	ту же	1	2
180	под именем	1	2
181	образом в	1	2
182	для этого	3	2
183	одна из	3	2
184	и тем	2	2
185	ни было	1	2
186	он был	1	2
187	его творчество	1	2
188	и таким	1	2
189	в самом	3	2
190	такой же	1	2
191	у других	2	2
192	до конца	1	2
193	из всех	2	2
194	хоть и	1	2
195	еще не	3	2
196	в своих	6	2
197	от них	1	2
198	не к	2	2
199	столь же	1	2
200	же самое	1	2
201	все что	4	2
202	всего этого	1	2
203	в области	2	2
204	время и	1	2
205	на себя	2	2
206	было бы	5	2
207	одному из	2	2
208	как будто	2	2
209	со стороны	4	2
210	мир со	1	2
211	а то	1	2
212	указывает на	2	2
213	которую можно	1	2
214	собой и	3	2
215	мы знаем	1	2
216	но это	2	2
217	в свою	1	2
218	стоящих перед	1	1
219	если и	1	1
220	единственное что	1	1
221	материал для	1	1
222	любовь к	2	1
223	может и	1	1
224	не допускать	1	1
225	в полном	1	1
226	на ее	1	1
227	теми же	1	1
228	как поступить	1	1
229	это особенно	1	1
230	в борьбе	2	1
231	приводит к	4	1
232	который оказывается	1	1
233	в значительной	3	1
234	в культурной	1	1
235	бы в	1	1
236	этой роли	2	1
237	чтобы в	2	1
238	собой в	1	1
239	связь с	1	1
240	данном случае	3	1
241	из области	1	1
242	не могла	1	1
243	говорить о	3	1
244	от своих	1	1
245	они не	1	1
246	отказаться от	4	1
247	исходит из	1	1
248	людей или	2	1
249	бы на	1	1
250	ее не	1	1
251	жизни и	4	1
252	есть по	1	1
253	людей и	2	1
254	образованием и	1	1
255	больше чем	2	1
256	не была	1	1
257	в союзе	1	1
258	на это	2	1
259	и для	6	1
260	нас не	1	1
261	как на	8	1
262	общественное мнение	1	1
263	уже знаем	1	1
264	сущности и	1	1
265	что народ	1	1
266	на такой	2	1
267	которых идет	1	1
268	но при	1	1
269	все равно	1	1
270	большинстве случаев	2	1
271	друг другу	2	1
272	понимать как	1	1
273	и тот	2	1
274	при жизни	1	1
275	для решения	1	1
276	с понятием	1	1
277	на эту	2	1
278	к ее	1	1
279	не по	1	1
280	в жизни	1	1
281	с ней	1	1
282	из двух	1	1
283	в большинстве	3	1
284	отклик в	1	1
285	от которого	1	1
286	представить себе	2	1
