N	3gram	Voloshinov_1	Problema
1	с точки зрения	10	11
2	тем не менее	2	10
3	в том что	4	8
4	по крайней мере	1	6
5	сам по себе	2	6
6	в данном случае	3	5
7	ни в каком	1	5
8	ни в какой	1	4
9	во всяком случае	3	4
10	на самом деле	2	3
11	и тем не	1	3
12	в зависимости от	2	3
13	в каком случае	1	3
14	о том что	1	3
15	и ни в	1	3
16	и т д	1	3
17	хотя и не	1	2
18	мы не будем	1	2
19	хотя бы и	2	2
20	как будто бы	1	2
21	тот или иной	1	2
22	в себе и	1	2
23	или по крайней	1	2
24	жизни и в	1	2
25	а также и	1	2
26	только в таком	1	2
27	мы все время	1	2
28	для того чтобы	1	2
29	чем иным как	1	2
30	в то время	1	2
31	ничего общего с	1	2
32	не чем иным	1	2
33	и прежде всего	5	2
34	является для него	1	2
35	что в данном	1	2
36	в то же	5	2
37	вовсе не является	1	2
38	и только в	1	2
39	если бы он	3	1
40	и может быть	2	1
41	но все же	1	1
42	а следовательно и	2	1
43	в чем не	2	1
44	только потому что	1	1
45	иметь в виду	1	1
46	дело в том	1	1
47	ни в каких	1	1
48	мы можем не	1	1
49	это было бы	1	1
50	равно как и	1	1
51	в таком виде	1	1
52	том что он	2	1
53	нам кажется что	1	1
54	что же касается	1	1
55	в нем и	1	1
56	по сравнению с	1	1
57	и не может	1	1
58	что он не	1	1
59	бы то ни	1	1
60	при этом мы	1	1
61	ни в чем	2	1
62	только то что	2	1
63	и мышления не	1	1
64	во всех областях	1	1
65	в жизни и	1	1
66	одно и то	1	1
67	в таком случае	2	1
68	до сих пор	3	1
69	отнюдь не является	1	1
70	можно сказать о	1	1
71	но и его	1	1
72	вообще не существует	1	1
73	мы не знаем	1	1
74	с одной стороны	1	1
75	на первый взгляд	1	1
76	для искусства в	1	1
77	в чем же	1	1
78	не допускать никаких	1	1
79	так и с	1	1
80	он теперь уже	1	1
81	но именно в	1	1
82	жизни таким образом	1	1
83	мы считаем излишним	1	1
84	так и в	2	1
85	в свою очередь	1	1
86	это и есть	1	1
87	и не допускать	1	1
88	с самого начала	5	1
89	всякий художественный образ	1	1
90	в настоящее время	1	1
91	ничего не говорит	1	1
92	а может быть	1	1
93	что это не	1	1
94	именно в области	1	1
95	могут быть и	1	1
96	у нас в	2	1
97	это вовсе не	1	1
98	бы для него	1	1
99	выходит за пределы	1	1
100	не теряет своей	1	1
101	может быть даже	1	1
