N	3gram	Berdyaev_M_2	Problema
1	в том что	2	9
2	сама по себе	1	8
3	той или иной	1	8
4	сам по себе	1	6
5	и в этом	3	6
6	не может быть	8	5
7	что иное как	3	4
8	потому что он	2	4
9	есть не что	3	4
10	не что иное	3	4
11	может быть и	2	3
12	что это за	1	3
13	в конце концов	1	3
14	не есть ни	1	3
15	что же такое	1	3
16	та или иная	1	3
17	о том что	2	3
18	там и здесь	6	3
19	что и в	4	3
20	именно потому что	1	3
21	же как и	3	2
22	с точки зрения	1	2
23	до сих пор	3	2
24	в чем не	2	2
25	но и в	1	2
26	ни к какому	1	2
27	по сравнению с	1	2
28	у нас не	2	2
29	не сама по	1	2
30	ни в чем	2	2
31	но также и	1	2
32	на самом деле	1	2
33	только и можно	1	2
34	и там и	6	2
35	значение и не	1	1
36	не то чтобы	1	1
37	сказать что всякий	1	1
38	это не есть	1	1
39	к другу и	2	1
40	а не в	2	1
41	нас не было	2	1
42	это означает что	2	1
43	как и во	2	1
44	есть прежде всего	5	1
45	том что он	1	1
46	что он не	1	1
47	несет с собой	1	1
48	но он не	1	1
49	но это не	2	1
50	с самим собою	2	1
51	самого себя в	1	1
52	значит также и	1	1
53	который может быть	1	1
54	как и в	2	1
55	и отличается от	1	1
56	смысле этого слова	1	1
57	и не было	1	1
58	во втором случае	1	1
59	и в этой	1	1
60	превратить его в	1	1
61	да и нет	2	1
62	друг к другу	5	1
63	но это и	1	1
64	ни в какие	1	1
65	так же как	3	1
66	а может быть	1	1
67	может быть никакого	1	1
68	от того что	3	1
69	выход за пределы	1	1
70	нет ничего кроме	1	1
71	это и есть	3	1
72	и никогда не	2	1
73	на то что	1	1
74	значение но и	1	1
75	то в чем	1	1
76	и во всем	1	1
77	к тому что	3	1
78	она не имеет	2	1
79	русской революции и	1	1
80	то же что	1	1
81	приводит нас к	1	1
82	хотя и в	1	1
83	для того чтобы	4	1
84	только тогда когда	1	1
85	для этого необходимо	3	1
