N	2gram	Bakhtin_Pr_1	Tragedij
1	и в	38	18
2	в романе	4	10
3	в этом	15	9
4	не только	9	8
5	и с	17	7
6	и на	3	7
7	может быть	26	7
8	как бы	22	7
9	и не	42	7
10	но в	4	6
11	и его	16	6
12	же время	3	6
13	что он	2	6
14	то же	5	5
15	все же	6	5
16	что это	2	5
17	это не	5	5
18	как и	7	5
19	несмотря на	3	5
20	в то	4	5
21	в дальнейшем	3	5
22	так и	5	5
23	не может	27	5
24	я не	2	4
25	еще не	7	4
26	в себе	4	4
27	в целом	3	4
28	в этой	1	4
29	в нем	15	4
30	том что	3	4
31	и что	2	4
32	но и	9	4
33	и даже	3	4
34	прежде всего	13	4
35	так же	1	4
36	но это	3	4
37	все это	3	4
38	что в	7	4
39	и все	3	4
40	то что	8	4
41	но главное	1	3
42	в мире	3	3
43	и он	2	3
44	отнюдь не	19	3
45	как в	4	3
46	в своем	5	3
47	и как	8	3
48	все эти	5	3
49	при этом	5	3
50	то есть	46	3
51	должно быть	5	3
52	тем самым	4	3
53	что с	1	3
54	о чем	1	3
55	с ее	1	3
56	мог бы	1	3
57	с ним	5	3
58	к нему	10	3
59	в его	43	3
60	для него	1	3
61	как это	2	3
62	ивана карамазова	2	2
63	в первом	1	2
64	она все	1	2
65	и за	1	2
66	а как	3	2
67	никогда не	5	2
68	столь же	2	2
69	с его	2	2
70	отношение к	10	2
71	отличие от	5	2
72	не просто	1	2
73	и я	1	2
74	она как	1	2
75	имеет в	1	2
76	в самом	7	2
77	бы и	1	2
78	он не	3	2
79	что все	2	2
80	его в	9	2
81	в глазах	1	2
82	ни в	11	2
83	нет в	1	2
84	с тем	1	2
85	в отличие	5	2
86	вопрос о	1	2
87	но эта	1	2
88	не в	7	2
89	раз и	2	2
90	но они	4	2
91	одна из	2	2
92	не имеет	9	2
93	не могут	2	2
94	к тому	1	2
95	и это	3	2
96	в ее	4	2
97	данном случае	4	2
98	первого же	1	2
99	ничего не	6	2
100	и здесь	2	2
101	о том	4	2
102	что и	2	2
103	в том	8	2
104	который в	1	2
105	между этими	1	2
106	и ее	2	2
107	уже не	1	2
108	в виде	2	2
109	в душе	1	2
110	в известной	3	2
111	в одном	1	2
112	друг друга	1	2
113	тем что	2	2
114	до конца	1	2
115	было в	1	2
116	с первого	1	2
117	для искусства	1	2
118	в данном	4	2
119	это уже	1	2
120	в частности	2	2
121	по поводу	2	2
122	в таком	3	2
123	а между	1	1
124	ли мы	3	1
125	и т	14	1
126	например в	3	1
127	в сфере	1	1
128	человека и	1	1
129	всех видах	1	1
130	а из	1	1
131	и др	8	1
132	самом деле	6	1
133	это и	1	1
134	и есть	2	1
135	от самого	1	1
136	проникает в	2	1
137	исходит из	1	1
138	ведется в	1	1
139	должна быть	4	1
140	высшей степени	5	1
141	и могут	1	1
142	которую я	1	1
143	что уже	1	1
144	не вполне	2	1
145	на себя	1	1
146	в виду	4	1
147	подчеркнуть что	1	1
148	в ней	4	1
149	без которой	1	1
150	позицию по	4	1
151	в чем	2	1
152	во всех	11	1
153	что иногда	1	1
154	но не	12	1
155	отказ от	1	1
156	но как	2	1
157	в противовес	1	1
158	значение и	1	1
159	с совершенно	2	1
160	большое значение	1	1
161	за пределы	12	1
162	это самое	1	1
163	в истории	2	1
164	рассказа но	1	1
165	у в	3	1
166	выглядит в	1	1
167	и наконец	6	1
168	но несмотря	1	1
169	отнесены к	2	1
170	именно эта	1	1
171	то в	1	1
172	работать и	1	1
173	в которой	1	1
174	бы не	2	1
175	его а	1	1
176	имеет для	1	1
177	только один	1	1
178	как он	1	1
179	если он	1	1
180	не могла	1	1
181	и если	1	1
182	вообще не	7	1
183	творца и	3	1
184	перестает быть	4	1
185	которой не	1	1
186	к одному	1	1
187	не к	6	1
188	не как	1	1
189	душу и	1	1
190	в россии	2	1
191	теперь еще	1	1
192	ориентация на	1	1
193	на этом	2	1
194	таким образом	10	1
195	от нее	1	1
196	здесь мы	2	1
197	в другом	2	1
198	лишь в	2	1
199	это было	1	1
200	которым все	1	1
201	быть не	1	1
202	борьбе за	1	1
203	в них	5	1
204	и кончает	1	1
205	в высшей	5	1
206	выражают его	1	1
207	быть понят	1	1
208	из подполья	1	1
209	этого не	1	1
210	и вне	1	1
211	и прямо	1	1
212	обратимся к	1	1
213	но я	1	1
214	но если	1	1
215	и при	2	1
216	в своей	7	1
217	где мы	1	1
218	в котором	2	1
219	значение для	3	1
220	где на	2	1
221	этого чувства	1	1
222	сам же	1	1
223	и вот	1	1
224	но он	1	1
225	тем не	3	1
226	не могли	2	1
227	это чувство	1	1
228	по себе	1	1
229	тому что	1	1
230	особым образом	1	1
231	не менее	4	1
232	вплоть до	1	1
233	не раз	1	1
234	что эта	2	1
235	она не	2	1
236	и начинает	1	1
237	словами о	1	1
238	как его	3	1
239	и всегда	1	1
240	в самой	2	1
241	или как	3	1
242	связь и	2	1
243	рассказом о	1	1
244	принципиальный отказ	1	1
245	для нас	1	1
246	и теперь	1	1
247	связи с	2	1
248	не нужен	1	1
249	входят в	3	1
250	в области	11	1
251	ли это	1	1
252	в момент	1	1
253	к себе	2	1
254	значение только	1	1
255	могут быть	5	1
256	свободы ибо	1	1
257	что оно	2	1
258	его с	1	1
259	быть отнесены	1	1
260	не есть	6	1
261	как некое	1	1
262	в применении	3	1
263	как мы	7	1
264	и о	5	1
265	того чтобы	2	1
266	всего этого	1	1
267	человека с	1	1
268	умирает в	1	1
269	можно было	4	1
270	на нее	1	1
271	известной мере	1	1
272	по сравнению	1	1
273	на них	3	1
274	собою но	1	1
275	но может	1	1
276	часто и	1	1
277	и должно	3	1
278	а также	1	1
279	мы понимаем	1	1
280	личности героя	1	1
281	роман и	1	1
282	от него	3	1
283	между тем	7	1
284	уже чисто	1	1
285	нуждается в	2	1
286	отметить что	7	1
287	в форме	4	1
288	к личности	2	1
289	все время	1	1
290	и первое	1	1
291	того что	2	1
292	с ними	4	1
293	только в	13	1
294	во всем	2	1
295	как нечто	3	1
296	же взгляда	1	1
297	с одной	3	1
298	всегда с	1	1
299	именно на	1	1
300	есть в	1	1
301	только на	1	1
302	дело с	6	1
303	и чисто	1	1
304	как ницше	1	1
305	за бортом	5	1
306	в общем	1	1
307	слова в	7	1
308	т п	13	1
309	и должна	3	1
310	не для	1	1
311	с этими	1	1
312	ее не	1	1
313	к ним	1	1
314	идет в	1	1
315	страдания детей	1	1
316	мир на	1	1
317	рядом с	5	1
318	в особенности	2	1
319	чувствует себя	1	1
320	чисто эстетической	1	1
321	с другим	1	1
322	именно в	1	1
323	в каких	2	1
324	что не	4	1
325	обратиться к	1	1
326	только по	4	1
327	не было	2	1
328	а на	1	1
329	на этот	1	1
330	а не	5	1
331	власти и	1	1
332	с которым	1	1
333	его как	3	1
334	одну из	1	1
335	в связи	2	1
336	с помощью	7	1
337	и психологически	1	1
338	отметим лишь	1	1
339	вместе с	1	1
340	и особенно	1	1
341	до этого	1	1
342	и потому	4	1
343	если так	1	1
344	видит в	1	1
345	сравнению с	1	1
346	искусства но	4	1
347	необходимо подчеркнуть	1	1
348	в той	1	1
349	смысле этого	1	1
350	применении к	3	1
351	деятельность не	2	1
352	для понимания	2	1
353	этого слова	1	1
354	и от	3	1
355	формы по	2	1
356	здесь есть	1	1
357	не является	3	1
358	известной степени	4	1
359	в результате	1	1
360	это как	1	1
361	а к	2	1
362	в двух	2	1
363	к счастью	1	1
364	это может	1	1
365	бы в	1	1
366	и которое	1	1
367	хотя бы	4	1
368	только что	1	1
369	я в	1	1
370	жизни в	1	1
371	виде и	1	1
372	совершенно не	7	1
373	в иной	1	1
374	но этот	1	1
375	объект для	1	1
376	что под	1	1
377	эстетика как	2	1
378	есть и	1	1
379	к этой	1	1
380	и эта	2	1
381	это в	1	1
382	это понятие	1	1
