N	2gram	Vinokur_Vv_1	PoTuStor
1	может быть	24	17
2	и в	27	16
3	в этом	34	9
4	таким образом	19	9
5	мы можем	2	9
6	прежде всего	8	9
7	и с	2	8
8	точки зрения	7	8
9	и его	5	8
10	не может	13	8
11	совершенно не	1	8
12	не только	21	7
13	сказать что	5	7
14	я и	1	6
15	самом деле	6	6
16	при этом	3	6
17	с точки	2	6
18	и это	6	6
19	для него	1	6
20	и к	1	6
21	еще не	4	5
22	в чем	4	5
23	отношение к	3	5
24	все эти	3	5
25	что такое	10	5
26	нуждается в	2	5
27	как бы	5	5
28	на самом	1	4
29	и ее	4	4
30	и на	3	4
31	но в	10	4
32	в этой	3	4
33	в нем	13	4
34	его в	6	4
35	мысли и	2	4
36	все это	6	4
37	самого начала	1	4
38	как мы	9	4
39	с самого	1	4
40	так и	1	4
41	можно сказать	3	4
42	в его	10	4
43	а потому	3	4
44	с ними	1	4
45	только в	13	4
46	так как	13	4
47	и даже	5	4
48	но и	5	4
49	и не	13	4
50	и все	1	4
51	хотя бы	5	4
52	все что	1	4
53	отношения к	1	3
54	тех же	1	3
55	во всех	2	3
56	в общем	12	3
57	и есть	3	3
58	и как	9	3
59	и художественного	1	3
60	учение о	2	3
61	с их	5	3
62	на две	1	3
63	и вот	3	3
64	на этом	3	3
65	на этой	3	3
66	этом смысле	11	3
67	том что	26	3
68	во время	1	3
69	сих пор	5	3
70	культура и	1	3
71	в одном	4	3
72	по крайней	4	3
73	до сих	5	3
74	по сравнению	3	3
75	в конечном	1	3
76	с другими	1	3
77	крайней мере	4	3
78	в том	31	3
79	только на	3	3
80	мы знаем	1	3
81	всяком случае	3	3
82	в области	4	3
83	и др	2	3
84	вместе с	6	3
85	как это	5	3
86	сравнению с	3	3
87	могут быть	4	3
88	что в	11	3
89	в этих	3	3
90	а в	5	3
91	то что	17	3
92	между ними	2	3
93	только как	6	3
94	жизни и	2	3
95	во всяком	3	3
96	же как	3	2
97	в самом	12	2
98	мы уже	1	2
99	мы не	2	2
100	и о	1	2
101	метода и	1	2
102	говорить о	3	2
103	что можно	2	2
104	того же	3	2
105	и говорить	1	2
106	между собой	1	2
107	из этих	5	2
