N	3gram	Tiupa_Anal_2	FransuaR
1	о том что	6	5
2	в то же	2	5
3	то же время	2	5
4	с одной стороны	4	4
5	в самом деле	1	4
6	в этом отношении	3	3
7	и тот же	1	2
8	мы уже отмечали	1	2
9	в том что	6	2
10	во всех языках	1	2
11	никак не может	1	2
12	во всех этих	1	2
13	и то что	2	2
14	сказать что в	1	2
15	как один из	1	2
16	и т.п и	1	2
17	но и в	1	2
18	с точки зрения	2	2
19	то есть в	2	2
20	в данном случае	5	2
21	с другой стороны	2	2
22	заключается в том	1	1
23	мы видим как	1	1
24	пространственных и временных	1	1
25	одним и тем	1	1
26	жизни включая и	1	1
27	еще и до	1	1
28	как это было	1	1
29	можно сказать что	1	1
30	свидетельствует о том	1	1
31	между тем как	1	1
32	не совпадает с	1	1
33	в целом ряде	1	1
34	до известной степени	1	1
35	и тем же	1	1
36	по отношению к	4	1
37	но и для	1	1
38	в обоих случаях	2	1
39	в значительной степени	2	1
40	более или менее	1	1
41	не только в	2	1
42	и даже в	1	1
43	той или иной	3	1
44	мы узнаем из	1	1
45	только то что	1	1
46	как и всякий	1	1
47	в связи с	1	1
48	жизнью и смертью	1	1
49	со всех сторон	1	1
50	дело только с	1	1
51	на этот вопрос	1	1
52	с самим собой	1	1
53	и ничему не	1	1
54	не мог найти	1	1
55	не может быть	1	1
