N	2gram	Medvedev_B_1	NovoeSre
1	а не	1	17
2	и в	1	16
3	и не	2	11
4	в эпоху	1	9
5	что в	1	9
6	в ней	2	5
7	не только	1	5
8	все это	2	5
9	прежде всего	1	4
10	не было	1	4
11	и потому	1	4
12	с другой	1	3
13	должна быть	1	3
14	вопрос о	1	3
15	еще не	1	3
16	за пределы	1	3
17	в своей	1	3
18	можно было	2	2
19	так и	1	2
20	и на	1	2
21	что все	1	2
22	другой стороны	1	2
23	как будто	1	2
24	из ее	1	2
25	также что	1	1
26	говорить о	1	1
27	на формальной	1	1
28	и во	1	1
29	в значительной	1	1
30	и нет	1	1
31	о свободе	1	1
32	всяком случае	1	1
33	значительной степени	1	1
34	выходит за	1	1
35	было бы	1	1
36	было и	1	1
37	моментом в	1	1
38	у нас	3	1
39	творчества и	1	1
40	и более	1	1
41	будто бы	1	1
42	к ней	1	1
43	в области	1	1
44	во всяком	1	1
